Q,K1,K2,K3,K4,A
次のうち、水溶液にするとアルカリ性を示すものはどれ ?,二酸化炭素,塩素,食塩,アンモニア,アンモニア
酸性やアルカリ性を示すpHにおいて、中性を表す値は何2,9,3,S,7,7
どちらも優れていて優劣がつけがたいという意味の言葉「!いずれアヤメかの〇〇〇」。 の〇〇〇は何 ?,ヒヤシンス,アマリリス,クロッカス,カキツバタ,カキツバタ
次の麻雀に関する説明のうち、間違っているものはどれ?   「,大三元は役満である,最終局をオーラスという,親の風は東である,同じ租は5枚ずつある,同じ租は5枚ずつある
徐のついていないシャツのことを、あるアルファベットを用いてなんといつ ?,Uシャツ,Sシャツ,Tシャツ,Vシャツ,Tシャツ
"野球で、1球もストライクを取れずに出したフォアボールを特に「何のアル 2
ボール」という2?",ストレート,スプリット,ダイレクト,エンタイトル,ストレート
NHK大河ドラマ『真田丸』」で、脚本を担当した脚本家は誰?,遊川和彦,宮藤互九郎,三谷幸喜,松尾スズキ,三谷幸喜
メジャーリーグのチームで、「ツインズ」といえば上につく州の名前は回角,イリノイ,アイダホ,フロリダ,ミネソタ,ミネソタ
米倉涼子が主人公の原口元子を演じた、松本清張の原作のドラマといえば『「黒潮の何』 ?,帽子,手袋,手帖,物,手帖
アルンたダサ人シルリシンンクスムキ月うセリフが登場する、藤子不二雄Aの漫画は何 ?,プロゴルファー猿,腐太郎がくる!!,衝ウせぇえるすまん,怪物くん,腐太郎がくる!!
どこをまっすぐに切っても、その断面が必ず円になる立体図形は何 ?,三角柱,円柱,円すい,球,球
高橋ヒロシの漫画『クローズ』の舞台となる鈴蘭男子高校。別名は「何の学校」 ?,ハゲタカ,スズメ,コンドル,カラス,カラス
山陽新幹線が結ぶのは博多とどこの員R 2,新理戸,岡山,新大阪,姫路,新大阪
次のうち、卿ひろみの楽曲はどれ ?,1億2千万の瞳,4億8千万の瞳,3億6千万の瞳,2億4千万の瞳,2億4千万の瞳
朝鮮戦争が起こったのは次のうちどの年代 ?,1870年代,1820年代,1950年代,1990年代,1950年代
葉島ビスコの漫画『桜蘭高校ホスト部』の次の登場人物のうち、女性は上:壮4,直之塚光邦,,須王壇,藤岡ハルヒ,藤岡ハルヒ
酸性の水溶液とアルカリ性の水溶液を混合して中和させたとき、同時に生じる物質を何という 3?,塩,酢,糖,味噌,塩
及雀で、一部の索子と融のみを使った役満の役は何?_,黄一色,日一色,赤一色,緑一色,緑一色
「ルチャリブレ」といえば、メキシコ式のどんな格闘技 ?,プロレス,柔道,ボクシング,テコンドー,プロレス
次のうち、横浜市に本視を置く紳士服メーカーはとどれ?,コナカ,イナカ,タナカ,モナカ,コナカ
ミシガン州デトロイトに本拠地を置く、メジャーリーグのチームはどご2,ロイヤルズ,タイガース,エンゼルス,レッズ,タイガース
ニューギニアに住む島ビトフーイの、ほかの鳥には見られない特徴は回角,毒を持つ,放電する,炎を吐く,体が透明,毒を持つ
「足利幕府」とも呼ばれる武家政権は何?,室町幕府,調安幕府,江戸幕府,鍵昼幕府,室町幕府
JRAの騎手・三浦皇成の妻である元グラビアタレントは誰 ?,仲根かすみ,小池栄子,ほしのあき,熊田雌子,ほしのあき
NHK連続テレビ小説 『あさが来た」の主題歌『365日の紙飛行機』を歌ったグループは何 ?,HKT48,AKB48,SKE48,NMB48,AKB48
なまめかしく、男性の気を引くような女性の様子す、フランス語で何という ?,コケティッシュ,ソケティッシュ,ポケティッシュ,モケティッシュ,コケティッシュ
安野モヨコの漫画『働きマン』の主人公、松方弘子の職業は何?_,モデテル,雑誌の編集者,保険の営業,プログラマー,雑誌の編集者
小説『城之崎にて』や【『暗夜行路」を書いた白樺派の作家は誰2,武者小路実篤,志軟直哉,里見簿,有島武郎,志軟直哉
日本サッカーの次のタイトルのうら計EE GI還fdルMAモ3Y】たす4れ?,Jリーグ,天皇杯,ナビスコカップ,国体,国体
由伊大輔のマンガ『〇〇幼精ハコネちゃん』。〇〇は何 2,温泉,娯楽,寝室,料理,温泉
キリスト教において、人が生まれながらに背負っている罪のことを何といつ ?,原罪,人罪,生罪,育罪,原罪
ひとつの二酸化炭素分子の中に、炭素原子はいくつある2,2Zつ,1つ,4つ,3つ,1つ
次のうち、『ウルトラマン』にはは登場していない怪獣はどれ2,キングギドラ,ゼットン,ジャヤミラフ,レッドキング,キングギドラ
代表曲に『搭てられて』『めぐり人逢い』などがある女性演歌歌手〇〇〇)洋子。の〇〇は何 ?,小山,大山,長山,短山,長山
『仮面ライダーカブト』 に登場する仮面ライダーガタックのモチーフとなった昆虫は何?,サソリ,クワガタムシ,スズメバチ,カブトムシ,クワガタムシ
相撲界の隠語で「馬力」といえば、ヲのうち何を指す2,衣,酒,睡眠,,酒
映画『羊たちの沈黙』『ハンニバル』などの作品に登場した殺人鬼は上:壮4,ジグソウ,ジェイソン,ハンニバル・レクター,フレディ,ハンニバル・レクター
次のうち、「ベースメイク」ではなく「ポイントメイク」に使う化粧品はとどれ?,口紅,コンシーフー,"プア

アンデ

ンテーショ
ン",化粧下地,口紅
頭皮に密着するように髪の毛を編みこんでいくB系テイストの強いヘアスタイルを何という?,ポテトロウ,パンプキンロウ,トマトロウ,コーンロウ,コーンロウ
次の金属単体の中で、最も密度が低いのはとれ?,氏,殺,アルミニウム,鉄,アルミニウム
野球で俗にこに「クリーンアップトリオ」と呼ばれるのは、何番バッターから何番バッター 2?2,7番から9番,5番から7番,3番から5番,1番から3番,3番から5番
三角形の「内接円」と「外接円」で、より大きいのはどちらの円 ?,大きさは等しい,外接円,内接円,三角形によって異なる,外接円
付け根の低い犬の尾を何という?,ハイセットテール,トップセットテール,ローリングテール,ローセットテール,ローセットテール
漫画雑誌『週刊少年サンデー』を発行している出版邊はどこ?2,秋田書店,講談往,集英吐,小学館,小学館
ウくのちぁ20四にコリルレ4 放:をフにした芸術作品はどれ ?,見返り美人図,無原罪のお宿り,風紳雷利図扉風,釈迎十大弟子,無原罪のお宿り
次のうち、実際に存在する鉱物はどれ 2?,カクセン石,イイダセン石,コワセン石,マワセン石,カクセン石
テレビ朝日の番組『痛快! ビッグダディ』に出演し、「ビッグダディ」の愛称で呼ばれるタレントは誰 ?,林下清志,森下清志,"杉    ^圭
ク下清志","木下:
下清志",林下清志
ネットワーク機能を持った家電のことを日本語で何という?,情報家電,,高機能家電,双方向家電,情報家電
次の世界遺産のうち、カナダにあるのはどれ2?,自由の女紳,シャンボール城,プラハ,ケベック,ケベック
Jリーグで、「住友金属工業サッカー部」を前身とするクラブはどこ2?,ガンバ大阪,"ロア
ッソ熊本",鹿島アントラーズ,湘南ベルマーレ,鹿島アントラーズ
ヘリウム、ネオン、アルゴンなど周期表の第18族に属する元素の総称は回角,希ガス,ハロゲン,アクチノイド,ランタノイド,希ガス
次のうち、日本以外の国で制作されたRPGはどれ ?2              「,ウルティマ,世界樹の迷宮,ファイナルファンタジー,MOTHER,ウルティマ
次のうち、2013年時点で東北にない都市は?,川口市,石巻市,いわき市,ー関市,川口市
映画『さくらん』や『ヘルタースケルター』の監督を務めた女性写真家は誰 ?,河瀬直美,秋上上直子,里川実花,西川美和,里川実花
次の巨人軍監督経験者のうち、現役時代は投手として活躍したのは誰 ?,長嶋茂雄,原辰徳,王貞治,堀内恒夫,堀内恒夫
日本で使用されている地図記号で、屯(まんじ)の記号が表すのはどれ?,城跡,理吐,寺院,量地,寺院
お笑い芸人の藤本淳史、俳優の香川昭之、タレントの菊川愉といえば、出身大学はどこ ?,早稲田大学,慶應義塾大学,京都大学,東京大学,東京大学
「みんなちがってみんないい」 という言葉で知られる、人金子みすゞの詩のタイトルは何 ?,バカとテストと召喚獣と,オカンとボクとオトンと,君と羊と青と,わたしと小鳥と印と,わたしと小鳥と印と
大今良時の漫画『破の形』。 「二」は何と読む ?     -,こえ,みみ,かぜ,おと,こえ
"下紀広 大介   膨男|   ワー         力
ヽ  IMのが:ー』に登場する侵略者「近界民」。何と読む ?",サーバー,アンバー,リカバー,ネイバー,ネイバー
星座の利話で、いて座が狙っているとされる星座は何 ?,かに座,さそり座,はくちょう座,わし座,さそり座
民事介入暴力を専門とする弁護士・井上まひるの活躍を描いた、伊丹十三監督の1992年の映画は何 ?,アルルの女,カレーライスの女,ミンボーの女,スーパーの女,ミンボーの女
_ 能の演目『葵上』『夕顔』『浮舟』『玉申』の題材となっている古典文どゴちくけ] 2,落窪物語,竹取物語,伊勢物語,源氏物語,源氏物語
スイスのスケーターの名がついた、片方の足を頭上でつかんで行うフィギュアスケートのスピンは何 ?,ビールマンスピン,ブランデーマンスピン,ワインマンスピン,ウィスキーマンスピン,ビールマンスピン
次の水溶液のうち、電池に接続しても電流が流れないものはどれ2?,塩酸,水酸化ナトリウム水溶液,食塩水,砂糖水,砂糖水
1560年の桶筑間の戦いで、繊田信長が破った大名は誰 ?               「,毛利元就,起田信玄,今川義元,上杉謙信,今川義元
ビリヤードの1番から15番のボールのうち、特に9番から15番のボールを総称して何という?,サワー,チューハイ,フィズ,ハイボール,ハイボール
台湾で、『悪作劇之物』というタイトルでドラマ化された漫画は何 ?,イタズラなKiss,あすなろ白書,テニスの王子様,ビーチガール,イタズラなKiss
BSテジタルチューナーとモニターを接続する映像信号用のコネクターを何という3?,M端子,D端子,F端子,Z端子,D端子
アメリカの州は、独立当時はいくつの州だった?,3州,13州,53州,33州,13州
アメリカの都市ニューヨークの、ある果物に因んだ愛称は何 ?,ビッグ・アップル,スモール・オレンジ,ビッグ・オレンジ,スモール・アップル,ビッグ・アップル
期間限定ユニット「後浦なつみ」のメンバーではないのは次のうち、誰 ?,安倍なつみ,後膝真希,膝本美貴,松浦亜弥,膝本美貴
次のうち、野球で「危険球」とほぼ同じ意味で使われる用語はどれ ?,パームボール,ビーンボール,スピットボール,ファイヤボール,ビーンボール
東京六大学野球の試合が行われる球場はどこ2    _,東京ドーム,紳宮球場,横浜スタジアム,甲子園球場,紳宮球場
少女漫画家として活動する男子高校生を主人公とする椿いづみの漫画「月刊少女のび〇くん』 。 ののは何 ?,田崎,島崎,野崎,池崎,野崎
次のうち、月刊の漫画雑誌はどれ ?,ビッグコミック,イブニング,週刊ヤマングジャンプ,ゲッサン,ゲッサン
元バレーボール選手・竹下佳江は、現役時代に「世界最小最強〇〇〇」と呼ばれた。〇〇〇は何 ?,ウイングスパイカー,リベロ,ミドルブロッカー,セッター,セッター
野球で、サイクルヒット達成に必要な安打数は最低でもいくつ?,3,5,4,6,4
次のうち、もっとも長い消化器官はとれ?,大腸,小腸,食道,"==|
月",小腸
次のうち、日本海に浮かぶ島はどれ 2?,淡路島,屋久島,八丈島,佐渡島,佐渡島
乗用車の、ナンバープレート3ナンバーは何を表す?,普通乗用車,小型乗用車,小型貨物車,普通貨物車,普通乗用車
生花に保存液や着色料などを含ませて乾燥させた、長く錯賞できる花を何という3?,ブリリアントフラワー,プリザーブドフラワー,ブリティッシュフラワー,プリズムフラワー,プリザーブドフラワー
ハゲ頭をネタにして人気を博す、斉膝司と須藤散志のお笑いコンビはトレンディの〇の〇の〇。 〇〇〇は ?,エンジェル,デビル,ミカエル,サタン,エンジェル
味の悪い魚のことを、猫さえ見向きもしないということから、俗に何という ?,ねこうらみ,ねこしらず,ねこまたぎ,ねこさらい,ねこまたぎ
果肉が美しい緑色をしていることから、エメラルド・フルーツと言われるのは?,ブドウ,メロン,キウイ,ピーマン,キウイ
次のうち、最も新しい時代に起こった乱はどれ?,島原の乱,応仁の乱,王申の乱,承久の乱,島原の乱
『雨上がりの夜空に』などのヒット曲がある、足野清志郎が率いたロックバンドは何 ?,HOUND DOG,RCサクセション,バービーボーイズ,レベッカ,RCサクセション
次のうち、モーグル競技の採点の基準となる3つの要素に含まれないものはとれ?,プロポーション,スピード,ターン,エア,プロポーション
アニメ 『交響詩伺エウレカセブンの世界に登場するメカ「LFO」の飛行形態は、何を模した姿 ?,ゴンドラ船,サーフィン,高飛び込み,跳泳,サーフィン
「本能寺の変」なと歴史上の出来事を軽快なリズムに乗せて踊る、吉本の2人組ユニットは何 ?,アインシュタイン,ゆりやんレトリイバアァ,エグスプロージョン,スーパーノヴァ,エグスプロージョン
1964年にジョン・ケメニーらによって開発された、初心者向けプログラミング言語は何 ?,BASIC,BEGINNER,EASY,SIMPLE,BASIC
ファッションでこれを付ける人もいる、インド人やイスラム教徒が頭に巻く布は何?,ターバン,サリー,アオザイ,ヒジャーブ,ターバン
サッカーで、 「トリノ・ダービー」で戦う2つのチームは、ユヴェントスFCとどこ?,ジェノア,サンプドリア,トリノFC,ACミフン,トリノFC
太雀で、自分の左側に座っている人の捨てたものでしかできないのは次のうちどれ?,ナー,カン,ポン,ロン,ナー
江戸時代、「東海道」に対して「裏街道」とも呼ばれた道は何 ?,奥州街道,中山道,日光街道,北海首,中山道
次のヨーロッパの国のうち、海に面していない国はどれ 2?,スイス,ドイツ,イギリス,イタリア,スイス
「グリーンモンスター」と呼ばれる巨大なフェンスで知られる、レッドソックスの本拠地球場はどこ ?,ドジャースタジアム,マーリンズパーク,ヤンキースタジアム,フェンウェイパーク,フェンウェイパーク
野球で、列断ミスなどによるまずいプレーのことを英語で何という ?,ボーンヘッド,オーバーヘッド,バブルヘッド,スキンヘッド,ボーンヘッド
"穂積の漫画『さよならソルシエ』の舞台は
、19
世紀のど
この都
市?",モスクワ,上海,ニューヨーク,パリ,パリ
1928年から1932年まで、「5か年計画」と呼ばれる殖産興業政策を行っiPこだま:当たす呈/,日本,イギリス,アメリカ,ソビエト連邦,ソビエト連邦
次のうち、「申歯」を指す表現はどれ 2?,い歯,あ歯,え歯,う歯,う歯
靴下などに広く用いられる、棒針編みの最も基本的な編み方のひとつは回角,メリヤス編み,シリアス編み,カシアス編み,テンソル編み,メリヤス編み
「力のモーメント」とは、物体に働くどんな力を表す量のこと ?,浮上させようとするカカ,回転させようとするカカ,発光させようとするカカ,破像さすようとするカ,回転させようとするカカ
笠原倫と紳谷隆光の漫画『タオの緑』の題材となっているスポーツは回角,サーフィン,ボウリング,ゴルフ,弓道,ゴルフ
小学校教師・芳賀稲子を主人公とする、深谷かほるの漫画は何 ?,トタンの女,ダイヤの女,ブリキの女,ハガネの女,ハガネの女
『誰より好きなのに』や【『大丈夫などのヒット曲がある歌手は誰?,古内南子,古内北子,古内西子,古内東子,古内東子
J.K.ローリングの小説 『ハリー・ポッターと謎の〇OO〇OO〇』。〇〇〇は回角,プリンセス,プリンス,キング,クイーン,プリンス
次のうち、日本で最も医者の数が多い診療科目はどれ ?,内科,外科,眼科,小児科,内科
父は勘三郎、弟は七之助。女優の前田愛を妻に持つ歌舞伎俳優は誰 ?,中村勘九郎,中村吉右衛門,中村狼章,中村橋之助,中村勘九郎
メキシコサラマンダーという別名もある、かつて一世を風肛した熱帯魚は何 ?,ウーパールーパー,ルーパールーパー,ウーパーウーパー,ルーパーウーパー,ウーパールーパー
地球を大きなひとつの磁石と考えたとき、N極にあたる地点がある大陸た(jpミっすず,南極大陸,北アメリカ大陸,アフリカ大陸,ユーラシア大陸,南極大陸
ランコム、ゲラン、ロクシタンといえば、どこの国の化粧品メーカー ?,中国,ロンア,韓国,フフンス,フフンス
サッカーにおける試合終了のことを、和製英語を使って何という ?,タダタイムアウト,タイムアップ,タイムダウン,タイムオフ,タイムアップ
森田まさのりの漫画『べしゃり暮らし』で、主人公・上妻詩右が目指している職業は何 ?,放送作家,お笑い芸人,寿本職人,アナウンサー,お笑い芸人
有名な詩『可子の実』 が収録された『落梅集』や『若茶集』などの詩集で知られる詩人は誰 ?,井原西鶴,夏目激石,島崎藤村,借川龍之介,島崎藤村
ホクト株式会往のCMで流れる、様々な種類のキノコを紹介した曲は何 ?,きのこの応援歌,きのこの鎮魂歌,さきのこの詩,さのこの唄,さのこの唄
次のうち、クレジットカードや商品乱などに偽造防止のためにE刷されているものはとどれ?,アナグラム,ダイヤグラム,ホログラム,キログラム,ホログラム
「難破船』や『北ウイング』などのヒット曲がある歌手は誰?_,中島みゆき,中森明楽,中村あゆみ,中山美穂,中森明楽
次のうち、イスラム教で、食べることが禁じられている肉はどれ?,壮,豚,,牛,豚
毎年8月11日の国民の邊日は何 ?,谷の日,山の日,海の日,川の日,山の日
「+」の数で効果が表される、日焼け止めの指標のひとつは何 ?,PB,PC,PA,PD,PA
岩産物の囚入量に移動距離をかけて産出する、農産物較送の斑境への負何を表す数字は何 ?,フードリムジン,フードマイレージ,フードターミナル,フードトラベル,フードマイレージ
次のうち、解熱鎮痛作用があり、風下薬や鎮痛薬によく含有される成分はとどれ?,イブプロフェン,フェキソフェエナジン,ゲンノショウコ,ビタミンC,イブプロフェン
漫画のタイトルで『シュガー』 !アマリリス』『セイント・テール』の前に共通してつく単語は何 ?,探偵,刑事,怪次,怪人,怪次
次の麻雀の役の種類のうち、あがったときに最も多くの点数を得られるのはとれ?,滴員,役満,倍満,,役満
フェルメールの絵画『和牛乳を注ぐ女』で、モテルの女性は何に牛乳を注いでいる ?,窓の外,ガラスのコップ,陶妖,子どもの口,陶妖
次のうち、スキー競技の種目「大回転競技」を意味する言葉はどれ2?,ダウンヒル,スロープスタイル,ハーフパイプ,ジャイアントスラローム,ジャイアントスラローム
京成電鉄、 京浜急行電鉄、京王電鉄の「京」は、いずれもどこの都市を指している ?,京都,北京,東京,南京,東京
ジョージ秋山の漫画『浮浪吉』の舞台となっているのは何時代?_,明治時代,江戸時代,大正時代,戦国時代,江戸時代
「また逢う日まで』などのヒット曲を歌った、「和製トム・ジョーンズ」と呼ばれた歌手は誰 ?,尾崎将司,尾崎豊,尾崎紀世彦,尾崎紅葉,尾崎紀世彦
小説 『博士の愛した数式』を書いた作家は誰 ?     ー,有川浩,石田衣良,引川洋子,東野圭吾,引川洋子
漫画『幽康遊却白書』の主人公、幽助のフルネームは何幽助 ?,役原,,清飯,南野,清飯
源義経の従者となった豪傑を主人公とする、室町時代の御伽草子は何 ?,竹取物語,弁慶物語,鐘値物語,源氏物語,弁慶物語
アニメ映画『メリダとおそろしの森』の主人公、メリダが得意とする起凌は何 ?,己,合,村,ビピストル,己
小笠原道大はどんな競技の選手だった ?2,競泳,ボクシング,マフソン,野球,野球
野球で打撃行為はバッティング、投球行為はピッチングといいますが、守備行為は何という ?,トレーディング,ホールディング,ウェディング,フィールディング,フィールディング
学園を舞台にしているのは「仮面ライダー何』 2,キバ,電王,フォーゼ,ウィザード,フォーゼ
「チェ」という愛称で呼ばれた、キューバなどの革命運動に参加した早命家は誰 ?,カストロ,ケネディ,ゲバラ,トルーマン,ゲバラ
次の芸名・グループ名のうち、正しい表記になっているものはどれ2?,キンタロー、,ですよ、,モーニング娘、,藤岡弘、,藤岡弘、
夜空に浮かぶ星で、肉上限で見える星のほとんどは、次のうちどれに分類される ?,恒星,衛星,彗星,,恒星
スキー競技で、ジャンプやクロスカントリーなどの種目を総称して何といつ ?,アルペン,フィギュア,コンパルソリー,ノルディック,ノルディック
代表曲『お岩木山』で知られる、「ビタミンボイス」と呼ばれる歌声でおなじみの演歌歌手は誰 ?,五海ひろし,三山ひろし,九木ひろし,七川ひろし,三山ひろし
"洛語家の
パ   ことを
五    を 「路家
!嘱家」ともい
 いますが、この「路家」の読みは何 ?",はなしか,かたりか,しゃべりか,わめさか,はなしか
野球のスコアブックで三振を表すアルファベットは何 ?,K,L,T,S,K
細度100%の金は、「何金」 と言われる 2,24金,18金,20金,14金,24金
次の人間の内臓の機能のうち、「表」が担っているものはどれ2?,血液中の老廃物のろ過,アルコールの分解,全身への血液の送出,食べ物をたくわえる,食べ物をたくわえる
漫画『永沢君』の作者は誰 ?,長谷川町子,さくらももこ,曰井儀人,藤子不二雄,さくらももこ
「史記』を編野した中国・治の密紀は誰?,司馬坪,司馬光,司馬達等,可馬違,可馬違
次のうち、古文言葉「おこなふ」の意味として適切なものはどれ?,剣道修行をする,信道修業をする,華道修行をする,仏道修行をする,仏道修行をする
川の蛇行した部分が取り残されてできた湖を何という ?2,新月湖,満月湊,入月湖,三日月湖,三日月湖
"CGアニメ映
ニ  画『ドラ
リドラゴンクエス
ト ユア・ストーリー』のベースとなっていとネモやjpきっす<ル 2",ドラゴンクエストVI,ドラゴンクエストIV,ドラゴンクエスト,ドラゴンクエストV,ドラゴンクエストV
漫画雑誌の名前で『ビジネス』『ヤング』『V』の後ろに共通してつく単語は何?,サンデー,マガジン,チャンピオン,ジャンプ,ジャンプ
次のうち、昔の日本で「ワニ」とよばれていた魚は何 ?            」,マグロ,サメ,エイ,カツオ,サメ
ゴルフの第1回日本オープンの優勝者は誰 ?,赤星六郎,枕星四郎,茶星二郎,白星八郎,赤星六郎
アイスティーとレモネードを混ぜた釣み物に名を残す、往年のゴルファーはには上:壮4,サム・スニード,リー・トレビノ,アーノルド・パーマー,ニック・プライス,アーノルド・パーマー
フットサルの「ゴレイロ」は、サッカーでいうとどのポジションに相当する ?,ミッドフィルダー,フォワード,ゴールキーパー,ディフェンダー,ゴールキーパー
将棋の駒で、開始時点で1人1枚しか持っていない駒はどれ ?,香車,飛車,金将,桂馬,飛車
テレビ朝日のクイズ番組『くりいぃむクイズ ミラクル〇』。〇は何 ?,7,5,9,3,9
気化式、超音波式、ハイブリッド式などの種類がある、室内の湿度を保つための家電といえば何 2,加湿器,掃除機,炊飯碧,洗浴機,加湿器
メキシコの地名からつけられた犬の品林は何 2,ソンブレロ,アカプルコ,タコス,ナワワ,ナワワ
人間の臓器の中で、左右一対となっているものは何?,肝臓,"EH
月",背騰,すい騰,背騰
アニメ『名探偵コナン』で、毛利小郎の声を演じている声優は誰2,関智一,小山力也,若本規夫,艇山紀彰,小山力也
スペインのドン・ファン伝説に基づいて作曲された、モーツァルトのオペラは何 ?,ドン・ジョアッキーノ,ドン・ジョバンニ,ドン・ジョルジョ,ドン・ジョエル,ドン・ジョバンニ
"えば、
「ABC」といえ
「NBC」「CBS」どこの国のテレビ局 ?",カナダ,アメリカ,イギリス,フフンス,アメリカ
次のうち、 日本の算数の教育課程で、最も早く学ぶ数はどれ ?,小数,逆数,素数,概数,小数
次のうち、31日が存在するのは何三革。,5月,9月,4月,11月,5月
「クイーンズウェア」 「ジャスパーウェア」などのシリーズが有名な、イギリスの陶磁器メーカーは何 ?,マイセン,ウェッジウッド,リチャードジノリ,ヘレンド,ウェッジウッド
ゴルフコースで、OB区域を表す杭の6は何色 ?,緑,"許
月",白,銀,白
伊藤理佐の漫画『ヒゲびぴよ』に登場3る「ヒゲぴよ」はどんな生き物?,ヒヨコ,金魚,ネコ,ウサギ,ヒヨコ
次のうち、1969年に発売されたビートルズのアルバムはどれ2?,レッド・サブマリン,グリーン・サブマリン,イエロー・サブマリン,ブルー・サブマリン,イエロー・サブマリン
酸性やアルカリ性の基準となる「pH」を日本語でいうと「〇つ〇イオン濃度指数」 ?,酸素,,室素,水素,水素
次のうち、中生代に栄えた恐竜が含まれる分類区分はどれ3?,路乳類,有申類,両生類,,有申類
毛根の未端部に存在し、毛乳頭が受け取った栄養をもとに毛を作り出す細胞を何という?,毛妻細胞,毛姉細肥,毛母細胞,毛娘細胞,毛母細胞
井上康生や高橋尚子などの金メダリストが誕生した夏季オリンピックはのひjpまっず< 4,北京五輪,アトラン夕五輪,バルセロナ五輪,シドニー五輪,シドニー五輪
間魔土が朝比奈三郎に散々な目に合わされ、極楽を案内するという内容の狂言は何?,朝比奈,金岡,惣八,通円,朝比奈
