Q,K1,K2,K3,K4,A
チェスで、ゲーム開始時に角上に置かれる駒の数はいくつ?,8個,4個,32個,16個,32個
次のオペラの主人公のうち、死なないのは誰?,"1
ae
ee",カルメン,蝶々さん,スザンナ,スザンナ
「空想地図研究会』という副題がつけられている、高狂ナラキの漫画は回角,フィッシュスケール,ジグソークーソー,くんくんガール,幕末ゾンビ,ジグソークーソー
江戸幕府の成立はいつ?,1597年,1605年,1603年,1600年,1603年
次のうち、車の通行が日本と同じ左側通行の国はどれ?              「,中国,オーストラリア,ブラジル,アメリカ,オーストラリア
「天体が地球から遠ざかる速さは、地球からの距離に比例する」という法則を何という ?,ハッブルの法則,オールトの法則,カイパーの法則,ケプラーの法則,ハッブルの法則
東京タワーの所在する区は?,中央区,港区,川区,千代田区,港区
日本人初のフルタイム参戦F1ドライバー、中嶋域がデビューしたチームはどれ?,ティレル,マクラーレン,ロータス,ラフルースズ,ロータス
沖縄県出身の小説家池上永一の著作でないものは?,シャングリ・ラ,レキオス,魂込め(まぶいぐみ),テンペスト,魂込め(まぶいぐみ)
国連総会の票決で反対を表すのは赤いランプですが替成を表すのは何色のアンジアル,赤,日,緑,黄,緑
次の物質のうち、水の温度が上がると基本的に溶けにくくなるのはどれ?,グルコース,炭酸水素ナトリウム,塩化ナトリウム,アンモニア,アンモニア
次のうち、アイドルユニット・渡り廊下走り隊の通称はどれ ?,ワフ,ワロタ,ワロス,バロス,ワロタ
ゲーム 『パックマン』で、パックマンを追いかけるモンスターの数は何匹?,5匹,2区,4区,3欧,4区
小麦やとうもろこしの生産が盛んな、北米大陸のミシシッピ有川流域に広がる大晶原地帯を何という?,ケスタ,プレーリー,セルバ,シベリア,プレーリー
次のうち、両国国技館で、大相撲の本場所が行われない月はどれ ?,1月,9月,3月,月,3月
"懐かしのア     オの青い空
の し 」
アニメ 『口ミ

ロミオの育い学』で、口ミオたちが狼団に立ち向かうため結成する団体の名前は何 ?",青い兄弟,曰い兄弟,赤い兄競,球い兄玩,球い兄玩
次の植物の増えかたのうち、「有性生殖」に分類されるものはどれ?,種子,挿し木,分裂,イモ,種子
階の三省のうち、封湊(皇帝の記勅案を突き返す権利)おがあったのは2?,中書省,農林水産省,向書省,門下省,門下省
次のうち、沢村賞を受賞していないにゴたにだヨち四:才,江川卓,江邊豊,星野仙一,西本聖,江川卓
バドミントンの「ユーバー杯」 やテニスの「フェド杯」といえば、次のうちどんな選手による国別対抗戦 ?,女子選手,車いすの選手,50歳以上の選手,18歳以下の選手,女子選手
イクラやキャビアなどが使われる、回クのみあお5EKのjIじとる円有?,タパス,メゼ,アンティパスト,ザクースカ,ザクースカ
永井ゆうじの漫画『ペンギンの問題』 で、いつもベッカムに振り回されている少年の名前は何 ?,山田なおと,山田はると,山田まこと,山田ひろと,山田なおと
高校野球の名門校で松商学園、佐久長聖高校といえば何県の高校?,奈良県,長野県,徳島県,広島県,長野県
『週刊少年サンデー』に連載されていた漫画『AKB48殺人事件」の原作を担当した漫画家は誰 ?,松井優征,青山剛昌,小畑健,ご と う ふみや,青山剛昌
『ロウソクの科学』などの著書がある、電磁誘導を発見したイギリスの物理学者は誰 ?,"ファラ
アァラデー",アンペール,ボルタ,フレミング,"ファラ
アァラデー"
アメリカのTVドラマ、「ダーマ&グレッグ」の登場人物「ダーマ」の夜の仕事は何?,ダンス講師,指圧師,ヨガ講師,ホステス,ヨガ講師
ゲーム 『ヒーローバンク』で、擦丸フクタといつも一緒にいるネズミのと2たる円4,プラチナ,ゴールド,カッパー,シルバー,プラチナ
ロックバンド、Janne Da Arcのボーカルは誰 ?,ToshIl,Taka,aki,YaSu,YaSu
本仮屋ユイカがヒロインを演じた、NHKの朝ドラは?,ちりとてちん,ファイト,純情きらり,てるてる家族,ファイト
すぐ近くに任銀河があることに由来して名づけられた、りょうけん座に2とタロたる円有4,手合い銀河,夫婦銀河,双子銀河,子持ち銀河,子持ち銀河
DNAをつくる塩基のうち、アルファベット1文字で「G」と表されるのは回角,グリコーゲン,グアニン,ガリウム,グルコース,グアニン
外国の結婚式で、ウェディングパーティー用のお酒としても有名なカクテルは?,ギムレット,オレンジ・ブロッサム,マティーニ,キール,オレンジ・ブロッサム
数学で使われる、ユニタリ、エルミ類 ?,行列,関数,数列,集合,行列
海水に溶けている物質で、]番多いのは塩化ナトリウムですが、2番目に:の)】た円有7,硫酸ナトリウム,塩化マグネシウム,塩化カリウム,硫酸マグネシウム,塩化マグネシウム
次のFCソフトのうち、マリオがプレイヤーキャラであるソフトはどれ?,レッキングクルー,ドンキーコングJR.,アイスクライマー,パンチアウト!!,レッキングクルー
スカイドッグという異名を取っていたアメリカンロックのスライドキタリストは!,デヴィッド・リンドレー,デュアン・オールマン,ライ・クーダー,ローウェル・ジョージ,デュアン・オールマン
「室戸台風」「伊勢湾台風」 と共に「昭和の三大台風」と呼ばれるのは次のうちどれ?,ジェーン台風,洞爺丸台風,キティ台風,枕崎台風,枕崎台風
メジャーリーグのカブスとホワイトソックスが本拠地を置く都市はどご2,シカゴ,ニューヨーク,ロサンゼルス,ボストン,シカゴ
パリのオルセー美術館は、もともと何として利用されていた ?,大学,発電所,駅,図書館,駅
国土交通省の前身のひとつである中央省庁として正しいのは次のどれ 2?,北海道開発庁,南海道開発庁,西海道開発店,東海道開発店,北海道開発庁
ギリシャ紳ち話に登場するイカロスの父で、ミノタウロスのために迷宮をにの】た中 : 者4,ダイダロス,アルテミス,ポセイドン,アリアドネ,ダイダロス
正式名称を「ロードレース世界選手権」という、モータースポーツの選手権は何?,MotoGP,上1,F2,F1,MotoGP
のた:E間たと 【ひ】たきるり』。 ヒロインの鈴木夕梨に起こった出来事は次のうちどれ?,記憶喪失になる,超能力を手に入れる,宇宙人にさらわれる,タイムスリップする,タイムスリップする
「栄光のエンブレム」や「ショートサーキット2」などの映画に出演し日本で人気を得た女優は?,アニセー・アルビナ,フィービー・ケイツ,アリー・シーディー,"シン>
ンア・ギ
ア・ギブ","シン>
ンア・ギ
ア・ギブ"
次のうち、第2回三頭政治に数えられない政治家は誰?,クラッスス,アントニウス,オクタビアヌス,レビドゥス,クラッスス
呪艇場で、住之江競艇場といえばどこの都道府県にある 2?,忠岡県,三重県,,大阪府,大阪府
長野オリンピックの公式テーマソングや、AKB48などの曲の振り付けを担当したダンサーは誰 ?,秋まゆみ,自まゆみ,冬まゆみ,春まゆみ,自まゆみ
1992年にJALと日清食品が共同開発した機内食用カップ麺は?,うどんですよ,うどんですかい,うどんでっせ,うどんでんねん,うどんですかい
香川県にある「世界一狭い海峡」の一番狭い箇所はおよそどのくらい?,約36メートル,約1メートル,約28メートル,約10メートル,約10メートル
日本では、犬の血液型は何種類に分類されている ?    ー,5種類,9種類,17種類,19種類,9種類
次の映画のうち、監督が黒漂明ではCRE3Yの1とすず2ル と/全還,七人の侍,まあだだよ,次三四郎,座頭市,座頭市
宝塚歌劇団に組は全部でいくつあと,4組,6組,7組,5組,5組
モーツァルトの作品における音楽の様式とは2?,ロココ様式,ロマネスク様式,バロック様式,ゴシック様式,ロココ様式
「きのこの山」!たけのこの里」を発売しているメーカーは?,ロッテテ,明治,グリコ,森永製菓,明治
xy座標で(-1.-1)は第何象限にある ?,第3象限,第4象限,第2象限,第1象限,第3象限
コンビ「マンブルゴッチ」、トリオ「グーニーズ」といえば、誰が所属していたお笑いグループ?,ゆってい,エエハラマサヒロ,ケンドーコバヤシ,いとうあさこ,ゆってい
のちる2症四にコンリル:人 還コミレミ語に言い換えた言葉はどれ?,多予期間,追跡調査,意見公募,外部委託,多予期間
在原氏が設置した大学別曹は、次のうちどれ?    ーー,奨学院,学館院,弘文院,勧学院,奨学院
『週刊少年チャンピオン』 連載の沼ノ木至の漫画 『〇OO〇O〇すぐ死ぬ』。〇つつ〇は何 ?,背後霊,宇宙人,吸血鬼,ソゾンビピ,吸血鬼
漫画「コータローまかりとおるを書いた編島県出身の漫画家は誰?,星田達也,藤沢とおる,寺沢武一,藤田和日郎,星田達也
サッカーく<くじ・totoの当せんは、1寺から何等まである ?,6等,8等,3等,2等,3等
プロ野球で「マーくん」というマスコットキャラクターがいるチームはとどこ?,中日,千葉ロッテ,ヤクルト,楽天,千葉ロッテ
映画『ロード・オブ・ザ・リング』の主人公フロドと、『ホビット』の主人公ビルボに共通する名前は ?,ガンダルフ,バギンズ,アラゴン,サルマン,バギンズ
次の駅のうち、和皇室専用のホームを持つのはどれ?   「,"コト
涼谷駅",東京駅,,新橋駅,
狂言で、主役のことを「シテ」といいますが、脇役のことを何という ?2,エド,アド,ウド,イド,アド
シェイクスピアの戯曲 『ハムレット』の主人公であるデンマーク土子は誰 ?,マクベス,ジュリエット,ハムレット,ロミオ,ハムレット
8月の誕生石にもなっている、鮮やAZ ass【ひたと引た円,サファイア,ペリドット,ダイヤモンド,ルビー,ペリドット
「列車戦隊トッキュウジャー』で、トッキュウ6号が変身したときの体の色は何色 ?,ブラック,ゴールド,オレンジ,シルバー,オレンジ
次のうち、連載開始が最も遅かった漫画はどれ?,木曜日のフルット,鉄鋼のジャン !,グラップラー辺了牙,みつどもえ,木曜日のフルット
水陸の交通の便がよく、阪和線、紀勢本線、南海本線などの鉄道が走り四国との連絡般がある都市は?,和歌山市,利戸市,大阪市,倉敷市,和歌山市
次のうち小畑健の作品でない作品はどれ?,DEATH NOTE,,バクマン。,人形草紙あやつり左近,
こうの史代の漫画『夕凪の街 桜の国』の主題となっている、太下洋戦当中の出来事は何?,沖縄戦,東京大空醸,原爆投下,真珠湾攻撃,原爆投下
押しボタン式の電話機で、0のすぐ上にあるボタンは何 ?,],8,3,容,8
夫は戦後、官僚・実業家として活躍した多郎、妻は随筆家の正子といえば、この夫婦の名字は何 ?,白島,曰洲,白木,日石,曰洲
奈良の唐招提寺で行われる行事「基網会」は毎年何月に行われる?,4月,8月,6月,月,月
国際単位系における物質量の単位は円時,モル,メル,ミル,マル,モル
セ氏温度に名を残すセルシウスと生物分類で有名なリンネは、共にどこの国出身 ?,スウェーデン,デンマーク,フィンランド,ノルウェー,スウェーデン
次の人物の中で目分の誕生日に死んの】ちゴネ,西郷隆盛,坂本龍馬,勝海舟,板垣退助,坂本龍馬
"ダックスフンドとはドイツ語だが、日本語に
に訳すと何の意味?",タンソク犬,アナホリ犬,アナグマ犬,ウシオイ大,アナグマ犬
プロ野球で、「工藤公康」 「杉内俊哉」「帆足和幸」が、ホークス時代に共通して付けた背番号は何 ?,11,18,21,4/,4/
いきものがかりのメジャーデビュー曲は?,ブルーバード,SAKURA,秋桜,気まぐれロマンティック,SAKURA
"元マラソン選手の藤原新が福長を務め、自らのマネジメントを行っていた会往の
名前は何 ?",株式会往藤原新,株式会往無職ランナー,株式会往我流,株式会往五輪金,株式会往藤原新
ワールシュタットの戦いで、ドイツ・ポーランド連合軍を破った国はどこ?,モンゴル帝国,アイユーブ朝,オスマン帝国,アッバパース朝,モンゴル帝国
高齢運転者が自動車につける「高齢運転者標識」のモチーフになっている植物は何 ?,イチョワウ,サクラ,クローバー,チューリップ,クローバー
バスケットボールで使用するコートの全長は何メートル?,28メートル,36メートル,34メートル,32メートル,28メートル
バパバレーボール一般男子のネットの高さち,2m35cm,2m24cm,2m50cm,2m43cm,2m43cm
「サル、ゴリラ、チンパンジー」という替え歌でも知られる、映画『戦場にかける橋』の挿入歌は何?,クワイ河マーチ,チョロギ河マーチ,レンコン河マーチ,クロマメ河マーチ,クワイ河マーチ
雑誌 『りぼん』に連載されていた漫画『ケロケロちゃいむ』の作者であのJEた : 考4,藤田かもめ,藤田いるか,藤田ほたて,藤田まぐろ,藤田まぐろ
カーリングで、投げたストーンを、すでにあるストーンに当てて両方ともにじき出すショットを何という ?,ウィック,ロール,ピール,レイズ,ピール
地質年代でアンモナイトが絶減したのは何紀?,ペルム紀,ジュラ紀,日亜紀,三畳紀,日亜紀
リン4リレコリアよーにプムセコンルの にの2るハーモニーランドの所在地は?,大分県,東京都,北海道,岐阜県,大分県
酵母や乳酸画などが行う、酸素を使わない呼吸を何という ?,吸気呼吸,好気呼吸,排気呼吸,嫌気呼吸,嫌気呼吸
_ 生1先Y寺加と4(堆内肉欄用にする、 | ニージン人TO:隔粒中 ル*電しコ還トンバ幸/びだ8し ソノ/,人    メイド,女土,アイドル,ナース,人    メイド
サンプラザ中野くんと、バイきんぐの小峠英二が結成したユニットの名前は何 ?,"トい     トN     い
ボーボーズ",フサフサスズ,カツラーズ,モサモサズ,"トい     トN     い
ボーボーズ"
地震の揺れの程度を表す「岩度」の中で、最も絞いものは何 ?,岩度1肥,震度0,震度0絆,岩度1,震度0
コーヒーは当初はどの宗教の信者が気分を高揚させるために飲んでいたの放,ユダヤ教,キリスト教,ヒンドゥー教,イスラム教,イスラム教
コンピューターによって管理された世界を描いた小説のジャンルを何といつ ?,サイバートラック,サイバーアクション,サイバーベンチャー,サイバーパンク,サイバーパンク
ベンツ往の創業者である技術者・ベン>ツのファーストネームは何 ?,マメエル,カール,ハインリヒ,フランク,カール
アメリカのドラマ『HEROES』で、ヒロロ・ナカムラ役を演じた日本人俳優は誰 ?,カシ・ユカ,アシ・タカ,ハシ・リカ,マシ・オカ,マシ・オカ
ビーグル犬の原産国はどこ?,イギリス,アイルランド,カンボジア,日本,イギリス
シュウ、サラ、アヤカ、マナミが登場するアニメは?,一騎当千,クリスタル ブレイズ,ソウルイーター,True tearS,クリスタル ブレイズ
次のうち、もっとも新しくできた朝人生島の国はどれ ?,高詞,新維,高句世,百済,高詞
「グラビアアイドル」の「グラビア」とは元々どんなものの名前 ?,企業,印刷法,,雑誌,印刷法
北方四島のうち、面積が最大なのはとれ?,択捉島,歯舞群島,色丹島,国後島,択捉島
馬のヒヅメは人間でいう何指 ?,親指,中指,人差し指,小指,中指
日本レコード大賞の最優秀新人賞を賞したBEYOOOOONDSは何人組 ?,6人組,8人組,10人組,12人組,12人組
谷亮子といえば元柔道選手ですが、岡本依子といえばどんな競技の元選,柔道,テコンドー,ボクシング,アマチュアレスリング,テコンドー
体にぴったりと容着した服のスタイルを指す「ボディコン」を、略さずに言うと何 ?,ボディコンプレックス,ボディコンパニオン,ボディコンシャス,ボディコントロール,ボディコンシャス
手塚治虫の漫画『リボンの騎士』の主人公の名前は何 ?,エメラルド,ルビー,サファイア,ダイヤ,サファイア
楽天イーグルスの初代首位打者は?,確部公一,鉄外,リック,早野大還,リック
リヤングマガジン』連載の漫画作品『OOOの詩』。〇〇〇は何 ?,日向坂,樽坂,乃木坂,吉本坂,乃木坂
次のうち、アカンサスやコエビソウなどの植物が属する科はどれ2?,ネコノマゴ科,ウサギノマゴ科,イヌノマゴ科,キツネノマゴ科,キツネノマゴ科
陸上の棒高跳びで、バーを跳び越すためにポールを突きさす場所のことを信という2,ボックス,サークル,ホール,ポット,ボックス
1957年に出版され、多くのゴルファ-のバイブル的存在しなった、ベン・オーガンの著書は何 ?,モダン・ゴルフ,ゴルフ・ワールド,マジック・ゴルフ,ゴルフ・ストーリー,モダン・ゴルフ
創業者の妹の名前を邊名にした、世界で最初にマスカラを作ったアメリカの化粧品メーカーはどこ2?,マックスファクター,エスティローダー,メイベリン,ボビイブラウン,メイベリン
女性シンガーソングライター「ケイティ・ペリー」ほはどこの国の出身?,オーストラリア,イギリス,アメリカ,フィンランド,アメリカ
「オストワルト法」といえば、どんな化合物を作る方法 ?,硫酸,硝酸,酢酸,塩酸,硝酸
往団法人・日本煙火協会は、何に関する協会?       ー,線香,マッナチ,花火,タバコ,花火
漫画「ドラえもん」で22世紀に戻ったはずのドラえもんが帰ってきたのはコミックス何巻?,5巻,7巻,6巻,8巻,7巻
バイアスロンの「スーパースプリントクオリフィケーションファイナル」 でては、立射と伏射はどういう順で行う,伏・立・伏・立,立・伏・伏・立,伏・伏・立・立,立・伏・立・伏,伏・伏・立・立
高校数学に登場する、「集合」についての法則に名を残す、19世紀イギリスの数学者は誰 ?,ミ・モルガン,レ・モルガン,ファ・モルガン,ド・モルガン,ド・モルガン
"古語で9
月は何とい
う?",水無月,葉月,長月,紳無月,長月
日本の初代国土交通大臣で、女性初の参議院議長も務めた人物は誰?,羽千景,森山眞弓,土井たか子,川口順子,羽千景
消臭剤「ファブリーズ」を製造販売している会往はどこ2,化圭,P&G,ライオン,ジョンソン&ジョンソン,P&G
臨場感を演出する5.1chサラウンドシンステムにおいて、使われるスピーカーは何個 ?,7個,6個,8個,5個,6個
ウパひルンルムのちまっ85シルングムシレさの)ものはどれ2?,バラライカ,ホワイト・レディ,マルガリータ,XYZ,ホワイト・レディ
橘氏が設置した大学別曹は、次のうちどれ2?      ーーー,弘文院,勧学院,奨学院,学館院,学館院
競馬を題材とした甲斐谷妨の漫画『〇OO〇サークルにようこそ』。〇(つうは何 ?,ウイナーズ,スペシャル,フラッシュ,ビクトリー,ウイナーズ
映画『サウンド・オブ・ミュージック』で、舞台となった国はどこ?,スイス,オーストリア,ドイツ,ベルギー,オーストリア
数学の積分の時に使う、Sを細長くしたような記号は何 2,パイ,"we KK 1
こー",シグマ,インテグラル,インテグラル
元阪邊タイガースの真弓明信がプロ入りした時の球団は2,ロッテオリオンズ,南海ホークス,太牌洋クラブライオンズ,東映フライヤーズ,太牌洋クラブライオンズ
アニメ「詰妖精」で、青い瓶の妖精といえばくるるですが赤い瓶の妖精といえば?,さらら,ちりり,くるる,ほろろ,さらら
大相撲の決まり手はいくつある 2,82手,142手,112手,52手,82手
次のファミコンソフトのうち、プレーヤーが車を操作するゲームではないのはどれ?,F1 レース,ハイウェイスター,マッハライダー,ロードファイター,マッハライダー
清酒と酒粗に分離される前の、どろりとした酒のもとを何という ?2,こうじ,こうほぼ,もろみ,こしきさ,もろみ
アニメ『カードキャプターさくら』で、木之本桜が集めるカードは何 ?,ケルベロスカード,マジックカード,クロウカード,タロットカード,クロウカード
五輪の「古代5種」にふくまれていなかった競技はどれ2?,円朋投,マフソン,走幅跳,やり投げ,マフソン
ヘリウムの価電子はいくつ?,2,3,],0,0
アニメ『おおきく振りかぶって』で、西浦高校野球部の主将を務めているのは誰 ?,阿部隆也,田島悠一郎,三橋廉,化井梓,化井梓
サッカー日本代表がワールドカップ本戦で対戦したことがない国は?,イングランド,ジャマイカ,ロンア,ブラジル,イングランド
革命歌「インターナショナル」が生まれた国はどこ?          」,ソ連,ドイツ,フラフランス,アメリカ,フラフランス
トーリー党を前身とする、イギリスの二大政党のひとつは何 ?,往会党,自由党,共産党,保守党,保守党
アイスホッケーのメジジャーペナルティの退場時間は何分 ?,7分,5分,2分,1分,5分
誕生日が2月6日ではない人は次のうち誰?,奄山雅治,デヴィ夫人,坂井泉水,長嶋茂雄,長嶋茂雄
「『タマーラ』や『イスラメイ』などの作品で知られるロシアの作曲家は上:壮4,ボロディン,キュイ,バラキレフ,ムソルグスキー,バラキレフ
以下の黒澤映画の中で、カラー作品はどれ?,静かなる決闘,どん底,どですかでん,生きものの記録,どですかでん
パチンコ台の種類「CR機」の「CR」とは何の略といわれている ?,コンピューターロボット,カードリーダー,チャイルドレジスタンス,コントロールリリース,カードリーダー
コンピューターの原型を作り、「計算機科学の父」と呼ばれる数学者は上:壮4,ベーリング,イエーリング,ホーキング,チューリング,チューリング
次のうち、Docomoが提供したことがないスマートフォンはどれ2?,IS03,XXDe「rI3,LYNX,GALAXY S,IS03
xの関数「ysax+b」で、aは一般に何と呼ばれる?,積分定数,原点,切片,傾き,傾き
宇宙をモチーフにしたテーマパーク「スペースワールド」があった都道府県はどこ?,長崎県,鹿児島県,品崎県,忠岡県,忠岡県
写真週刊誌 『FRIDAY』を発行している出版邊はどこ2  _,文藝春秋,小学館,新潮往,講談守,講談守
次のうち、最も重い階級でボクシング世界土者になったのは誰 ?,三原正,工藤政志,租原慎二,輸島功一,租原慎二
アニメ『ぺとぺとさん』の主人公・べぺと子の本名は何?,藤村鳩子,藤村音子,藤村糸子,藤村聡子,藤村鳩子
商業施設「四番町スクエア」は、滋賀県の何市にある?   」,彦根市,甲羅市,草津市,栗東市,彦根市
「見返り美人図』などの代表作で知られる、江戸時代の浮世絵師は誰 ?,尾形光丈,喜多川歌座,東洲斎写楽,凌川師宣,凌川師宣
明治時代の「大津事件」で、襲われて負傷したのはどこの国の皇太子 ?,"、主
/月",トルコ,日本,ロンシア,ロンシア
山田芳裕の漫画『デカスロン』は、どんな陸上競技を描いた漫画 ?,七種競技,マフソン,十種競技,中歩,十種競技
日本に生息する2種類のメダカは、「ミナミメダカ」と何 ?,ヒガシノメダカ,キタノメダカ,ミナミノメダカ,ニシノメダカ,キタノメダカ
フィリピンで「加者のゲーム」と呼のとみ放介具とすの】ちず2ル時          -,囲碁,将棋,ビリヤード,チェス,ビリヤード
のび太とドラえもんが恐童ハンターになった時、恐竜を捕まえるために使った道具は何?,タイムとりもち,細胞縮小機,大和のかんづめ,桃太郎町のきびだんご,細胞縮小機
シャブリを生産している国はどこ?,フフランス,ドイツ,チリ,アメリカ,フフランス
作家・津島佑子の父である有名な作も:/           「,宮沢賢治,三島由紀夫,太宰冶,借川龍之介,太宰冶
次の炭素を含む物質のうち、「有機化合物」ではなく「無機化合物」に分類されるものはどれ2?,メタン,二酸化炭素,酢酸,ベンゼン,二酸化炭素
コトヤマの漫画『よふかしのうた』 に登場する少女・七草ナズナの正体は回角,ゾンビ,吸血鬼,宇宙人,ロボット,吸血鬼
1945年6月に国際連合憲章の調印が行われたアメリカの都市はどこ?,サンフランシスコ,ニューヨーク,ポーツマス,ワンシントンD.C.,サンフランシスコ
世界初の日本語ワープロロを開発した会計とは、次のうちどれ?,日本電気,富士通,東芝,日立,東芝
フランス語では!「エスクリム」というスポーツは何 ?     」,フェンシング,アイスホッケー,体操,柔道,フェンシング
競泳のバタフライは、ある泳法から生まれましたが、それはどんな泳法 ?,クロール,立ち泳ぎ,座泳ぎ,育泳ぎ,座泳ぎ
中生代に栄えた巨大動物は?,ゾウ,クジラ,キョウリュウ,マンモス,キョウリュウ
次のうち、88星座にない星座はどれ 2?,こぐま座,こいぬ座,こうま座,こやぎ座,こやぎ座
723年に発布された、胃田の私有を認めた法令は何 ?,永世一身法,三世一身法,ー世一身法,二世一身法,三世一身法
フリーアナウンサーの「宮根誠司」がフリーになる前につとめていたテレビ局は?,朝日放送,"読売テ
7Cナ レビ",毎日放送,関西テレビ,朝日放送
大相撲で、新中子検査を受けられるのは満何歳未満?_,25歳,23歳,20歳,18歳,23歳
シンガーソングライター「上鬼束ちひろ」のデビューシングルは次のうちどれ?,月光,CaQde,シャイン,骸時/edge,シャイン
嫌昼幕府が滅ヒしたのはいつ?,1333年,1346年,1303年,1297年,1333年
プリンセスプリンセスの曲「世界で一番熱い夏」の作詞は誰?,富田京子,中山加奈子,渡辺敦子,今野登成子,富田京子
秋・春の七草に含まれていない植物の種類はどれ2?,マメ科の植物,キキョウ科の植物,シソ科の植物,キク科の植物,シソ科の植物
オールスター戦で、江川卓の9連続三振を9人目で阻んた選手は誰?,近鉄の大石,日ハムの片岡,広島の正田,西武の金森,近鉄の大石
「放送時間には銭湯の女湯から人が消える」などと言われた、菊田一夫脚本のラジオドラマは何 ?,さくらんぼ大将,君の名は,建の鳴る丘,忘電の花びら,君の名は
毎年『放送禁止』という単独ライブを#開催しているお笑い芸人は誰 ?,有吉弘行,ケンドーコバヤシ,バカリズム,カンニング人竹山,カンニング人竹山
ヤード・ポンド法で、1フィートは何インチ ?,8,36,12,220,12
アニメ「あさっての方向。」の登場人物は次のうち誰?,五白川からだ,桶培樹,秋山時乃,雨避小百合,五白川からだ
小説『鹿の王』や『精霊の守り人』を書いたファンタジー作家は誰?_,上野由岐子,上橋楽穂子,上野千稚子,上沼恵美子,上橋楽穂子
NHK「ヤン坊ニン坊トン坊」のトン坊役で声優デビューしたのは誰?,和田勉,久米宏,中村八大,黒柳徹子,黒柳徹子
アニメ雑誌 『アニメディア』を発売している出版邊はどこ?,KADOKAWA,学研プラス,双葉定,徳間書店,学研プラス
「ポセイドン・アドベンチャー」でジーン・ハックマン演じる主人公の職業は?,大学教授,牧師,刑事,医者,牧師
打楽器「トライアングル」を叩く際に使われる棒のことを何と呼ぶ?,ビーター,ホーマー,ペーター,カーター,ビーター
清酒と酒粗に分離される前の、どろりとした酒のもとを何という ?2,こしきさ,もろみ,こうぼ,こうじ,もろみ
芸術家のレオナルド・ダ・ヴィンチが摺いた「最後の晩堆」があるイタリアの都市はどこ?,ミフノ,ヴェネツィア,フィレンツェ,ナポリ,ミフノ
次のうち、南アメリカ大陸にある国はどれ?,ナミビア,トーゴ,ガイアナ,バヌアツ,ガイアナ
コナミのアドベンチャーゲーム !スナッチャー』の「スナッチャー」とは何の名前 ?,"基音
い 思",アンドロイド,ウイルス,宇宙人,アンドロイド
NBAシカゴ・ブルズでスリーピートにも頁献した、デニス・ロッドマンのニックネームは?,ドリーム,ジーク,オーム,ワーム,ワーム
プトレマイオス朝最後の女モクレオパトラは何世。,6世,8世,7世,15世,7世
大相撲に入門したばかりの力士を育有するための施設を何という ?,相撲教名所,相撲梁山泊,相撲予備校,相撲寺子屋,相撲教名所
歯医者などで、進行の度合いをアルファベットの「G」で表す疾患といえば何 ?,,中歯,歯槽騰漏,入れ歯,
次の路線の中でリニアモーターカーを抹用している路線はどれ2?,大阪環状線(大阪),長堀堆見緑地線(大阪),日比谷線(東京),千日前線(大阪),長堀堆見緑地線(大阪)
ボウリングで、第9フレームでのストライクのことを、 逆転への下地になることから何という ?,バリエーション,"プア

アァンデ

ンテーンショ
ン",グラデーション,イントネーション,"プア

アァンデ

ンテーンショ
ン"
『ドラゴンクエスト』シリーズの作品の中で、主人公が結婚するイベントがあるのはパートいくつ?,3,4,S,6,S
