ファミコンゲーム『ダウンタウン熱血物語』」は、何というゲームの続編作品 ?,スペランカー,グラディウス,快低ヤンチャ丸,熱血硬洲くにおくん,熱血硬洲くにおくん
建物内の部屋の配置を記した図のことを何という ?,間取り図,島典図,谷上図,展開図,間取り図
島のヒナが、目の前で動く物体を、親だと思う逢性を何という ?,すりこみ,とりこみ,のりこみ,もりこみ,すりこみ
日本の会注で、トヨタ、日産、ホンダ、ダイハツといえばどんな会証 ?,銀行,鉄道会計,"IT会放
会村",目動車会計,目動車会計
_ モデルの滝沢つつ〇。〇〇〇は何 ?,アンナ,カレン,ティナ,ニコル,カレン
男子ゴルフで全米、全英オープン、全米プロ、マスターズをすべて制することを何という ?,グランドピアノ,グランドキャニオン,グランドクロス,グランドスラム,グランドスラム
次のうち、俳優の石田純一がめったに身に着けないことで知られるアイテムはとれ?,腕時計,時,時ト,ベルト,時ト
ゲーム 『ケロケロキング』で、プレイヤーが飛ばす生き物は何 ?,ウサギ,トンボ,イタチ,カエル,カエル
酸性で黄色、中性で緑色、アルカリ性で青色を示す、pH指示楽として使われる水溶液は何 ?,BSE溶液,BTB溶液,BCG溶液,BBT溶液,BTB溶液
Eテレで放送されている、2歳児から4歳児を対象とした教育エンターテイメント番組は何 ?,おにいさんといっしょ,おかあさんといっしょ,おねえさんといっしょ,おとうさんといっしょ,おかあさんといっしょ
ドラマ『家なき子』に登場する流行語にもなった台詞は『同情するなら〇をくれ』。〇は ?,車,家,金,水,金
次のうち、拭き掃除をする際に用いられる布はどれ?,いぬ上さん,うまさん,ぞうさん,ねこさん,ぞうさん
シアトル・マリナーズや横浜ベイスターズで活躍した、「大魔御」と呼ばれた元プロ野球選手は誰 ?,佐々木主浩,石井一久,吉井理人,野成英雄,佐々木主浩
「山の日」といえば、毎年何月にあとにゴク]り=肝/     ー,5月,7月,8月,10月,8月
ことわざ「弘法にも筆の誤り」の「弘法」が指す僧介は誰2,空海,道元,親牧,最深,空海
中国の文学者・共巡の代表作『阿〇正伝』。〇に入るアルファベットは回角,Q,P,T,C,Q
ナイキのスニーカー「エア・ジョーダン」の「ジョーダン」とは、誰のこと?,バーバラ・ジョーダン,マイケル・ジョーダン,エディ・ジョーダン,キャシー・ジョーダン,マイケル・ジョーダン
栗田あぐりの漫画『片田シャトル』の題材になっているスポーツは何 ?,テニス,ゴルフ,バドミントン,バスケットボール,バドミントン
RPG『ファンタジーライフ』に登場する職業で、弓を使って敵を攻撃でさるのは何 ?,大工,狩人,裁縫師,控据師,狩人
体から甘い匂いがすることから名付けられた、水面を滑走する昆申は_回角,タガメ,ウンカ,アメンボ,カメムンシン,アメンボ
「十八番」や「馬脚をあらわす」といえば、どんな伝統芸能から生まれた言葉 ?,落語,歌舞伎,"へ
余道",俳句,歌舞伎
次のうち、宝塚歌劇団の5つの組に存在しないものはどれ2?,月組,寺組,光組,化組,光組
日本で、音楽の使用料の徴収やその分配などの業務を行っている一般往団法人は何 ?,日本DVD協会,日本LD協会,日本CD協会,日本レコード協会,日本レコード協会
ロシア革命によって1918年に退位した、ロシア・ロロマノフ王朝最後の皇niちす : 半4,ルパン3世,ニコライ2世,バビル2世,カメハメハ1世,ニコライ2世
次のうち、「キャディ」という役目がいるスポーツはどれ?,ラグビー,マフソン,ゴルフ,サッカー,ゴルフ
日本国憲法第25条に規定されている、 「健康で文化的な最低限度の生活を富む権利」を何という ?,生存権,生命権,生息権,生力権,生存権
野球のグラウンドで、一塁から本塁までを結んただ正方形のことを、宝石に例えて何という?,ルビピー,エメラルド,サファイア,ダイヤモンド,ダイヤモンド
相撲において、本場所の8日目のことを何という?,中日,阪紳,楽天,巨人,中日
次のうち、モーターの回転によってゴミを吸引する電化製品はどれ ?,電子レンジ,テレビ,冷大庫,掃除機,掃除機
農作物に害虫がつくのを防ぐために使われる薬のことを何という 2?,英楽,農薬,娠薬,睡眠楽,農薬
「加減乗除」とも呼ばれる、「足し算」「引き算」「掛け算」「割り算」の4つの計算を何という2?,五則演算,四則演算,導則演算,七則演算,四則演算
軽国が、陸地で国境を接する唯一の国はどこ2 _,モンゴル,ロンア,北朝鮮,ネパール,北朝鮮
アニメ『ONE PIECE』」で、田中真弓が声を演じているキャラクターは回角,"ナミ
ee
こつ",ウソップ,ルフィ,ゾロ,ルフィ
漫画『ONE PIECE』で、主人公のルフィが憧れる、赤髪海賊団の頭の名前は何 ?,シャンクス,カイドウワ,ビッグ・マム,ニューゲート,シャンクス
入院患者がベッドから看護師を呼び出すための装置のことを、和製英語で何という ?,ナースコール,ナースポール,ナースドール,ナースホール,ナースコール
「バレンタインテー」があるのは何三革4,1月,5月,2月,3月,2月
叫液に含まれる「アミラーゼ」は、主にどんな物質を分解する酵素 ?,脂肪,食物繊維,でんぶん,ビタミン,でんぶん
八田鮎子の漫画を原作とする、二階堂ふみ、山崎賢人主演の映画は何 ?,オオカミ少女と白王子,オオカミ少女と黒王子,オオカミ少女と青王子,オオカミ少女と赤王子,オオカミ少女と黒王子
アルプス、アンデス、ヒマラヤといえば、どんな地形の領域 ?,海領,在野,山脈,湖,山脈
"「ベーキングパウダー」とも呼ばれる、重曹        1
曹を主成分とする粉は何?",ふく ら し粉,さらし粉,じょうしん粉,うどん粉,ふく ら し粉
ラグビーでフォワードのリーダーとなる背番号8のポジションはどこ?,ナンバーエイト,ナンバーセブン,ナンバーシックス,ナンバーナイン,ナンバーエイト
4人の泳者が、背泳ぎ、下泳ぎ、バタフライ、自由形の順に泳ぎ継いでいく競泳種目は何 ?,メソレー,メドレー,メアレー,メコレー,メドレー
口の中にあり、苦さや甘さなどの味を感じ取る人間の器官は何 ?,喉,歯,"Eヨ
月",古,古
"ドラマ「『Oh, My Dad!!』の主題歌に起用された、GReeeeNの22枚目のシングルは何 ?",愛しYOUへ,愛し君へ,愛し貴様へ,愛し貴君へ,愛し君へ
フランス語で「木のソリ」という意中がある、オリンピックでも行われるウィンタースポーツは何 ?,スノーボード,カーリング,アイスホッケー,リュージュ,リュージュ
次のうち、調味料はどれ ?,おりん,えりん,さりん,みりん,みりん
空港に居合わせた外国人に、来日の理由をインタビューする、テレビ東京の番組は何?,YOUは何しに日本へ ?,SHEは何しに日本へ ?,MEは何しに日本へ ?,THEYは何しに日本へ ?,YOUは何しに日本へ ?
次のファミコンゲームのうち、野球ゲームはとどれ?,脱獄,1943,マインドシーカー,ベースボールスター,ベースボールスター
漫画 『ドカベン』の登場人物、殿馬の下の名前は何 ?,三人,二人,一人,四入,一人
ビリヤードで、テーブルに開けられた穴のことを何という2?,ポケット,ベルト,サスペンダー,エプロン,ポケット
篠原健太の漫画 !彼方のアストラ』の「彼方」は何と読む 2,あなた,じなた,かなた,そなた,かなた
感染すると高い確率で死に至る、工ボラウイルスを病原体とする感染症は何 ?,エボラ肺炎,エボラ潜熱,エボラ出血熱,エボラエンザ,エボラ出血熱
次のうち、ペットとして人気の小動物は何 ?,モンスター,コースター,マイスター,ハムスター,ハムスター
ある兄妹がお菓子の家へ行くという内容のグリム童話は何?,ぐりとぐら,ヘンゼルとグレーテル,ハイジとクララ,ネロとパトラッシュ,ヘンゼルとグレーテル
"「コマーシャル・メッセージ」の略である、放送途中や前後に流される広告のこ
こと
を何とい
つう 2",CC,QM,KM,CM,CM
次のうち、日本のビールの銘柄はどれ 2?,えびす,だいこく,べんてん,ほてい,えびす
ゲーム『首都高バトル』 シリーズで、プレイヤーが操作する乗り物は回角,飛行機,自動車,船,,自動車
相手の言葉をそのまま繰り返すという意味の言葉「〇〇〇返し」。〇〇つつは何 ?,ツバメ,インコ,カラス,オウム,オウム
春になって日増しに暖かくなる途中、一時的に訪れる冷え込みを何という ?,暖の戻り,冷の戻り,温の戻り,奈の戻り,奈の戻り
高校の軽音部を婦台にしたかきふらしの漫画は何?,三者三葉,けいおん!,あっちこっち,ゆゆ式,けいおん!
次のうち、おなかを下していることと、お金がないことを指す言葉はどれ?,キーキー,ヘーヘー,ゼーゼー,ビピーピー,ビピーピー
日本の県庁所在地のうち、最も北にあるのはどこ2?,仙台市,青森市,水戸市,山形市,青森市
陸上の短距離の記録は、何分の]秒まで計測される ?    ー,100分の1秒,1000分の1秒,10000分の1秒,10分の1秒,100分の1秒
モテデル・タレントのアン、歌手の中、歌舞伎俳優の獅章に共通する名どゴちくに 2,田村,中村,木村,河村,中村
プロ野球で試合後、勝利に貢献した選手に行われるインタビューを何インタビューという?,ヒーロー,ドラマチック,シークレット,ロイヤル,ヒーロー
「けばけばしい」の略である、多くの場合化粧がどぎつい様子を意味すとを:ちゃ 閉4,さもい,けばい,むずい,やばい,けばい
次のうち、「あえてはっきり言わない方が良いこともある」という意味のことわざはどれ?,言わぬが鳥,言わぬが花,言わぬが風,言わぬが月,言わぬが花
ベスト10を当てるまで帰れない「帰れま10」というコーナーがあるバラエティ番組は何 ?,欧米かっ!,お試しかっ!,帰れるかっ!,真面目かっ !,お試しかっ!
液体が蒸発するときに奪う熱のことを何という?,酸化熱,液化熱,気化熱,固化熱,気化熱
野球場で、「ブルペン」で練特をする選手のポジションはどこ?2,セカンド,ピッチャー,ファースト,サード,ピッチャー
普通とんかつを作る時に、具材につみあZNあで3Yの】ちずっ6 放      _,小麦粉,日玉粉,溶き卵,パン粉,日玉粉
粘り気があり油などに用いられる、松の幹から取れる樹脂のことを何という ?,まつたに,まつやに,まつばめ,まつもと,まつやに
次のスポーツ用品メーカーのうち、海外で創業されたのはどれ ?,アディダス,ミズノ,ヤマト旧球,ヨネックス,アディダス
次のうち、アニメ『ポケットモンスター』 に登場しないキャラクターはとれ?,ジバニャン,ニャース,ピカチュワウ,ゼニガメ,ジバニャン
次のうち、夏目汰石の作品ではないのはどれ2?,こころ,吾輩は猫である,坊っちゃん,生門,生門
14歳の薫をヒロインとする、川端康成の代表作である小説は何 ?,伊豆の勇者,伊豆の僧但,伊豆の踊子,伊豆の吟遊詩人,伊豆の踊子
次のうち、韓国で生まれた格闘技はとれ?,テコンドー,ボクシング,柔道,レスリング,テコンドー
のjpまっコアルナたこりにコピアシ ァンチェーンにあるのはどれ 2?,タクサン,ジョナサン,アブサン,レイサン,ジョナサン
1973年に『ひらけ! ポンキッキ』で初登場して以来人気の、緑色の恐竜のキャラクターは何 2,コニーちゃん,ムック,Pちゃん,ガチャピン,ガチャピン
次のうち、俳優の大泉洋が声を演じているゲームキャラクターはどれ2?,レイトン教授,成歩堂龍一,桐生一馬,リンク,レイトン教授
ウパjpま27半ミレさり】三に:ゆそシッはないのはどれ 2?,ポルシェ,マツダ,トヨタ,ダイハツ,ポルシェ
生活情報番組『ためしてガッテン』を放送していたテレビ局はどこ?,テレビ朝日,フジテレビ,日本テレビ,NHK,NHK
ボケの石田明とツッコミの井上裕介の2人からなるお笑いコンビは何 2,FUJIWARA,NON STYLE,DonDokoDon,COWCOW,NON STYLE
女優の「ゆう子」と「温子」に共通する名字は何?       ー,大野,小野,浅野,遠野,浅野
次のうち、カルシウムの元素記号はとれ?,CU,Ca,Cm,CC,Ca
1989年1月8日に始まった日本の元号は何?,在泉,在成,座和,在安,在成
トリノ冬季オリンピックで人気者になった「カー娘」とは、どんな競技の選手たちのこと ?,カーリング,フィギュアスケート,スケルトン,モーグル,カーリング
しゃっくりの時に義没 (けいれん)している体の部位といえば、次のうちとこ?,人衝の皮慮,表壁,横隔膜,肺,横隔膜
パソコンで、マウスホイールなどを使って、画面の表示内容を上下左右に移動させる操作を何という3?,ドロップ,シャットダウン,クリック,スクロール,スクロール
2019年7月に公開された新海誠監督のアニメ映画『〇OO〇の子』。〇〇は何 ?,空気,換気,元気,天気,天気
観劇用の小さな双眼鏡を「〇〇〇グラス」という。〇〇〇は何 ?,オクラ,オサラ,オペラ,オテラ,オペラ
ホルモン焼き屋の娘・チエを主人公とする、はるき悦呈の漫画は何 ?,じゃりン子チエ,嫌信ものがたり,かりあげクン,クレヨンしんちゃん,じゃりン子チエ
ファッションビジネスでも活躍するタレント、紳田O〇。〇〇は何 ?,れの,おの,みの,うの,うの
江戸時代の蘭学者・青木慣陽が、角きん対策として尊培を奨励した食べ物は何 ?,サツマイモ,レンコン,サトウキビピ,トウモロコシ,サツマイモ
次のうち、計算するために使う道具はどれ2?,そろばん,三角定規,分度器,コンパス,そろばん
野球で、投手や打者が滑り止めとして使用する白い袋は何 ?,ヤングバッグ,ベイビーバッグ,ンニアバッグ,ロージンバッグ,ロージンバッグ
恐ろしい相手を目の前にして、動けなくなることを「へビににらまれた何」という 2?,カエル,スズメ,メダカ,ウサギ,カエル
「左を制する者は世界を制す」といえば、どんなスポーツの格言 ?,ゴルフ,ボクシング,柔道,テニス,ボクシング
沢口靖子や長澤まさみのデビューのきっかけとなったオーディション「東宝の〇〇」。〇〇〇は何 ?,シンデレラ,プリンセス,ヴィーナス,マーメイド,シンデレラ
特撮番組『ウルトラQ』 に登場する怪獣で、「モグラ怪獣」という別名があるのは何 ?,モングラー,バルンガ,ガメロン,タランチュラ,モングラー
テザサインやコーディネートで、メリハリを出すために少しだけ加えられる「差し色」のことを何という 2?,イノセントカラー,パーセントカラー,アクセントカラー,コンセントカラー,アクセントカラー
「へのへのもへじ」で上邊を表している文字は何2,も,じ,の,へへ,も
トンカツやエビフライを作る時に共通する調理方法は次のうちどれ ?,揚げる,炊く,炒める,蒸す,揚げる
形がある植物の葉に似ていることから名づけられた、足が不自由な人が使う道具といえば何 ?,松葉杖,竹葉杖,桜葉杖,多葉杖,松葉杖
ニッカド電池の正極は水酸化ニッケルですが、負極は何2,水酸化カドカワ,水酸化カドヘリン,水酸化カドゥケウス,水酸化カドミウム,水酸化カドミウム
秋に赤や黄色に色づく、「もみじ」とも呼ばれる植物は何 ?,カエデ,サクラ,ケヤキ,マン,カエデ
メロスを主人公とする、太宰治の小説は何 ?                              「,歌えメロス,叫べベメロス,中れメロス,走れメロス,走れメロス
千円札の裏に描かれている日本の山は何 ?,半踊山,貧波山,富士山,利尻山,富士山
ルイージが主人公のゲーム『ルイージマンション』は次のひうちどのようなジャンルにあたる2?,ホラーゲーム,レースゲーム,落ち物パズルゲーム,音楽ゲーム,ホラーゲーム
敵味方に分かれてエアガンを撃ち合う競技「サバゲー」とは、何という言葉の略 ?,サバイバルサンバ,サバイバルダンス,サバイバルルンバ,サバイバルゲーム,サバイバルゲーム
物理学の仕事、タングステン、電力の単位・ワットから連想されるアルファベットは何 ?,Y,X,W,Z,W
次の任天堂のゲームのうち、RPGはとれ?,Wii Sports,パンチアウト!!,MOTHER,スプラトゥーン,MOTHER
タレント・橋本志穂の夫である、たけし軍団に所属するお笑い芸人は上:壮4,トラディショナル・タカ,ファイナル・タカ,ガダルカナル・タカ,オプショナル・タカ,ガダルカナル・タカ
アニメ『「ドラえもん』のひみつ人道具「〇〇〇マシン」と「〇〇〇ふるろしさき」の〇の〇〇は何 ?,どこでも,タダイム,スモール,もしも,タダイム
次の酸のうち、分子内に硫黄原子が含まれているのはどれ?   「,塩酸,酢酸,硫酸,硝酸,硫酸
感情を表に出さない無表情のことを(つつ〇フェイス」といいます。〈〇の)CXうに入る言葉は何 ?,ページワン,ポーカー,ブラックジャック,ダウト,ポーカー
「ありがとうオリコゴ炉」など、韻を踏んだラップネタでおなじみのま笑いコンビは何 ?,バナナマン,ジョイマン,ミサイルマン,サンドワウィッチマン,ジョイマン
「曲の最初に戻って演奏する」という意味がある、「D.C.」と記される音楽記号は何 ?,クレシェンド,フォルナテ,レガート,ダ・カーポ,ダ・カーポ
ファッション用語で「ノーブラ」といえば、何を着けていないこと ?,ブラジャー,ストッキング,腕時計,ネクタイ,ブラジャー
1シルfm レたニンルン 陸/ず2のた:トTBG有名な日本の化粧品会往は何 ?,ドクターエーラボ,ドクタービーラボ,ドクターディーラボ,ドクターシーラボ,ドクターシーラボ
。 口野球で使われているバットは、通、どんな素材でできている ?,|          木,]               竹,]     スポンジ,]            金属,|          木
野球で、遅い球を「スローボール」というのに対し、速い球を何という?,ファストボール,ビーンボール,フォークボール,ソフトボール,ファストボール
環境保全に関する「3R」の3つの「R」とは、リデュース、リユースと何?,リサイクル,リタイヤ,リバース,リターン,リサイクル
次のうち、サッカーの正ゴールキーパーが多くつけている痛番号はどれ?,51番,31番,1番,11番,1番
明石家さんまが「向上長」として出演するフジテレビの番組『さんまの〇つ〇の〇』。〇〇の〇びは何?2 3,お笑い向上委員会,恋愛向上委員会,トーク向上委員会,ギャグ向上委員会,お笑い向上委員会
コートや毛布に使われるヒツジの毛を何という?,キートン,カートン,シートン,ムートン,ムートン
ギリシャで、唯一、夏季オリンピックが開催された都市はどこ 3,オリンピア,スパルタ,アテネ,テッサロニキ,アテネ
アニメ 『涼宮ハルヒの憂鬱』で、涼宮ハルヒが団長を務める団体の名前は何 ?,SOS団,RPG団,ABC団,CPU団,SOS団
1945年、広島に原子爆弾が投下されたのは何月何日?,6月6日,10月6日,8月6日,4月6日,8月6日
カエサルやポンペイウスといえは、何という古代国家で活躍した将軍 ?,古代ローマ,古代インド,古代バビロニア,古代メソポタミア,古代ローマ
条炊、おじや、焼きおにぎりに共通して使われる食材は次のうちどれ?,米,パン,そば,トウモロコシ,米
血液型がO型同士の両親から生まれた子どもの血液型は何型 ?,B型,0型,A型,AB型,0型
ツナ千の材料になることでも知られる、ヒレの色から名が付けらたマグ口の種は何 ?,キハダマグロ,ミドリハダマグロ,アカハダマグロ,モモハダマグロ,キハダマグロ
スポーツのリーグ戦などで、負けた数が勝った数を上回っている場合の差のことを俗に何という ?,貢金,借金,身代金,税金,借金
対戦ゲーム『電脳戦機バーチャロン』で、プレイヤーが操作するのはのひjpまっず< 4,巨大ロボット,宇宙人,F1カー,モンスター,巨大ロボット
車要人物のことを、アルファベット3文字で何という ?,VIP,PTA,CEO,UMA,VIP
テレビ朝日系の番組 『若大将のゆうゆう散歩」で散歩人を務めたのは誰 ?,グッチ裕三,山本有三,加山雄三,今井ゆうぞう,加山雄三
『さよならエレジー』『まちがいさカし』などの曲をリリースしている俳催は誰 ?,桐谷健太,濱田岳,松田翔太,営田将,営田将
OP曲が『地上の星』のNHKで放送さ:ていたドキュメンタリー番組は何 ?,プロジェクトA,プロジェクトZ,プロジェクトX,プロジェクトQ,プロジェクトX
「ファラオ」といえば、次のうちどとこの国の王の称号 ?,古代エジプト,オスマン錠国,紳聖ローマ市国,琉球王国,古代エジプト
次のうち、スポーツ選手がたんぱく質を補給するために飲むサプリメントはどれ?,プロテイン,プロピレン,プロキオン,プロイセン,プロテイン
"日清 「どん兵衛
]清「どん兵衛」のCMで、「どんぎつね」のキャラクターを演じていたのは誰 ?",橋本環奈,訪根京子,吉岡里帆,有村貯純,吉岡里帆
「明け方」や「あかつき」ともいう、東の空が薄明るくなる頃を何という ?,休み明け,夜明け,週明け,年明け,夜明け
日本の国民の祝日で、1年で一番最くすの】ち円有/,春分の日,元日,成人の日,建国記念の日,元日
ドラマ『サインはV』はどんなスポーツを描いた作品2,卓球,剣道,バレーボール,バドミントン,バレーボール
次のうち、夏の甲子園で過去に2回優勝した栃木県の高校はどれ ?,作詞学院,作新学院,作戦学院,作曲学院,作新学院
「F4」という男子グループが登場する、紳尾葉子の漫画は何 ?,独と私の金曜日,メイちゃんの執事,スイッチガール!!,化より男子,化より男子
『CLANNAD』」などのような、プレーヤーが感動して涙を流してしまうようなゲームを俗に何という ?,泣さゲー,笑いゲー,移りゲー,喜びゲー,泣さゲー
大相撲で、企業などが取組や力士に対してかける濾金を何という2?,違約金,値千金,懸綱金,埋蔵金,懸綱金
「三味線量」とも呼ばれる、ハートのような形の実が特徴的な植物は回角,ナズナ,ナバナ,ナボナ,ナツナ,ナズナ
次のうち、化学の実験に用いる容器にあるのはどれ2?   「,バラスコ,タラスコ,フラフラスコ,カラスコ,フラフラスコ
電気通信大学、一橋大学、お茶の水大学がともに本部を置く都道府県はとどこ?,東京都,京都府,北海道,大阪府,東京都
次の洋服のサイズのうち、最も大きいものはどとどれ?,SS,L,AL,M,AL
あだち充の漫画『タッチ』の主人公、上杉達也は次のうちどれ?,双子,三つ子,四つ子,五つ子,双子
西岸に有名な「たつこ像」が立つ、秋田県の湖は何 ?   -,琵琶湖,田沢潮,諏訪湖,浜名湖,田沢潮
人間の眼球内部の大部分を占める、ゼリー状の組織を何という ?,アルミ体,ビニール体,ガラス体,ゴム体,ガラス体
長い時間をかけて行うことのたとえとしても使われる、長距離走のことを何という ?,ワトソン,エジソン,ニクソン,マフソン,マフソン
松本規之の漫画『南鎌倉高校女子自転車部』の舞台となっている都道府県はどこ?,,碧奈川県,広島県,和歌山県,碧奈川県
物事が中途邊端に終ってしまうことを、ある昆虫を使って何という2?,尻切れチョウ,尻切れバッタ,尻切れホタル,尻切れトンボ,尻切れトンボ
泥美清が演じた「寅(とら)さん」を主人公とする、山田洋次監督の映画ンリーズは何 ?,女はつらいよ,大人はつらいよ,子供はつらいよ,男はつらいよ,男はつらいよ
次のうち、シロハラやヤンバルなどの種類がいる島はどれ?,ノミナ,クイナ,ヤスミナ,タベナ,クイナ
フラミンゴ打法とも呼ばれた、王貞治の代名詞的な打法は何 ?,一本足打法,三本足打法,七本足打法,五本足打法,一本足打法
ビールの香りづけに用いる植物は何2,ラップ,モップ,ホップ,カップ,ホップ
人間が呼吸する時に使う、酸素を取り入れる騰器は何 ?,ノ 一,いいえ,イエス,はい,はい
フォークソングユニット・かぐや姫のリーダーは誰 ?,東こうせつ,北こうせつ,南こうせつ,西こうせつ,南こうせつ
食材に衣をつけずに油で揚げることを何という ?    「,値上げ,胴上げ,凪揚げ,素揚げ,素揚げ
魚を調理する際に下ごしらえで取り味かれる、魚の内臓を何という ?,あさ,さぬ,ぬの,わた,わた
映画!クレヨンしんちゃん 爆睡 !ユメミーワールド大突撃』の脚本を手がけたお笑い芸人は誰 ?,劇団ひとり,土田晃之,有吉弘行,陣内智則,劇団ひとり
1986年発売のファミコンソフト「『「たけしの挑戦状』。このたけしって誰のこと2?,ビートたけし,つるの剛士,金城武,本郷猛,ビートたけし
クラシックの演奏会やオペラの公演などで、観客が賞賛の意を込めて発する言葉はどれ?,エルボー,ランボー,ブラボー,クリボー,ブラボー
ドラマ化もされた、新宿のある食富を舞台にした安倍夜郎の漫画作品は「何食富』 ?,午前食堂,深夜食堂,夕暮食堂,早朝食写,深夜食堂
次のうち、「失楽園」や「モーセの十戒」などの人逸話が記されている書物はどれ ?,イソップ物語,旧約聖書,アラビアンナイト,古事記,旧約聖書
トプカプ宮殿やカッパドキアといった世界遺産がある国はどこ ?,トルコ,イラク,シリア,イラン,トルコ
次のうち、フェンシングで競技に使う道具はどれ?,剣,ほうさきさ,魔導書,杖,剣
次のうち、実際にある化はどれ ?,ウレシンス,カナシンス,ソレンンス,ヒヤシンス,ヒヤシンス
次のうち、野球で「捕手」とも呼ばれるのはどれ2?   ー,キャッツナチャー,ピッチャー,バッター,ランナー,キャッツナチャー
全身赤色の服を着たカズレーザーとぼっちゃり体型の安藤なつからなるお笑いコンビは何 ?,メイプル超黄金,メイプル超純金,メイプル超合金,メイプル超大金,メイプル超合金
次のうち、中東の国・イエメン共和国産のコーヒー豆の銘柄はどれ?,ポカ,モカ,ロカ,ハカ,モカ
サッカーの試合中に、選手間で回したりつないだりするものは、次のうちとれ?,パス,シュート,プレス,タックル,パス
ピアノの鍵胡の色は、何色と何色 ?,曰と青,赤と星,日と黒,赤と青,日と黒
次のうち、青森県と陸続きで接している都道府県はどれ ?,滋賀県,秋田県,鳥取県,静岡県,秋田県
古代エジプト、毒ヘビ、エメラルド、エリザベス・テイラーから連想される歴史上の人物は誰 ?,クレオパトラ,マリー・キュリー,ジャンヌ・ダルク,マリー・アントワネット,クレオパトラ
犯罪捜査などに利用される、血液の跡を青白く光らせる反応を何という?,ルミノール反応,免疫反応,ツベルクリン反応,炎色反応,ルミノール反応
「芸能裏マンデー」や「シゴト屋」などのコーナーがある、王日の午後に生放送されている情報番組は何 ?,情報ライブセイジ屋,情報ライブヒロミ屋,情報ライブカワタ屋,情報ライブミヤネ屋,情報ライブミヤネ屋
岡山県ではトーチカ、関東の一部地域ではマッカチンと呼ばれる生物は回角,アメリカザリガニ,フランスザリガニ,ドイツザリガニ,スペインザリガニ,アメリカザリガニ
次の漫画のうち、日本を舞台にしていない作品はどれ ?,生徒会役員共,ヴィンランド・サガ,将太の寿司,探偵学園Q,ヴィンランド・サガ
