Q,K1,K2,K3,K4,A
大相撲の番付で、最も位が低いものは何 ?,序ノ耳,序ノロ,序ノ算,序ノ目,序ノロ
ザ・タイガースのメンバーで、シロー、一徳といえば名字は何 ?,岸部,沢田,森本,加橋,岸部
"一般に「恐竜」を
童」を大きく2つに分類すると、竜般類と何 ?",人毅類,申盤類,,,
血液の成分が作られる、骨の内部にある組織といえば何 ?   ー,骨央,骨核,"骨 た
IMN",骨身,骨身
陸上の走り高跳びで、バーの上で腹ばいになるような体勢で跳ぶジャンプの方法を何という ?,シャドーロール,エンドロール,ベリーロール,トリコロール,ベリーロール
ドラマ『誰かが彼女を愛してる』の主題歌であった、中山美穂&WANDSC曲は何 ?,地球中の誰よりきっと,世界中の誰よりきっと,宇宙中の誰よりきっと,日本中の誰よりきっと,世界中の誰よりきっと
毎年1月1日は、何という委日 ?,止月,元日,初日,若水,元日
ひざを曲げ腰を落とした体勢で前へをとって何という ?,うさぎ跳び,ひつじ跳び,さきつね跳び,からす跳び,うさぎ跳び
次のうち、地球上の水の大邊が存在する場所はどれ2,大気中,地下,海洋,湖沼,海洋
次のうち、病院で診察を受ける時に宗口に提出するのはどれ?,学生証,保険証,免許証,吐員証,保険証
ボクシングで、セコンドがタオルをリングに投げ入れた場合の意味は、のひjpまっず< 4,試合放棄,相手への敬意,勝利宣言,ジャッジへの異議,試合放棄
代表曲に !WHITE BREATH」などが#4る、西川貴教を中心に活動する音楽プロジェクトは何 ?,PM.Revolution,S.M.Revolution,TM.Revolution,A.M.Revolution,TM.Revolution
2016年に実写化されたマキノの漫画うくんの言いなりになんてならない』。〇〇は何 ?,白崎,,青崎,黒崎,黒崎
アミラーゼやペプシンなどのような、消化を促進する酵素を総称して何という3?,加水分解酵素,酸化酵素,脱水素酵素,消化桂素,消化桂素
毎年11月に関東地方の御往で開かれる、緑起物の「熊手」が売られることでおなじみの年中行事は何 ?,西の市,辰の市,寅の市,婦の市,西の市
中東の国・アフガニスタンの首都はとどこ?2,ナグール,モグール,サポボール,カブール,カブール
次のうち、アガサ・クリスティの小説はどれ?2          「,ポートピア連続殺人事件,曰ゆき姫殺人事件,オリエント人急行殺人事件,後島人伝説殺人事件,オリエント人急行殺人事件
映画『ミニオンズ』に登場するミニオンズたちの体の色は何色 ?,赤色,黄色,青色,日色,黄色
次のうち、通常、週に1回発売されている漫画雑誌はどれ?,少年マガジンR,月刊少年マガジン,別冊少年マガジン,週刊少年マガジン,週刊少年マガジン
柴田亜美の漫画『南国少年パプワく<ん』の主人公・パプワくんはどんな生き物?,鯛,人間,かたつむり,犬,人間
国友やすゆきの漫画『総理の椅子はどんな世界を舞台にした作品?_,政界,球界,楽界,芸能界,政界
次のうち、スポーツで、勝負に降参することを意味する言葉はどれ3?,ギブアップ,タッチアップ,パワーアップ,タイアップ,ギブアップ
アニメ『「それいけ ! アンパンマンで、次のうちアンパンマンの仲間で29夫Y】た中 : 所4,メロンパンナ,ばいきんまん,カレーパンマン,しょくばんまん,ばいきんまん
次のうち、「編は内、鬼は外」 と言いながら豆をまく風特がある行事はとれ?,部分,秋分,野分,春分,部分
関門海峡の「門」が指す「門司」といえば、どこの都市にある地名 ?,宇都宮市,北九州市,名古屋市,相模原市,北九州市
IC乗車券の「ICOCA」を開発した鉄道会往はどこ2       「,JR北海道,JR東日本,JR西日本,JR九州,JR西日本
気象庁の発表する気象警報に存在すとで)】ちの jpまっ2光明,困風警報,暴雪警報,,暴水警報,困風警報
かつて存在したテレビ朝日の2時間ドラマ枠は何2,土曜ライド劇場,土曜ワイド劇場,土曜ガイド劇場,土曜サイド劇場,土曜ワイド劇場
次のうち、ウォッカとグレープフルーツジュースで作るカクテルはどとれ?,プレーリードッグ,ソルティドッグ,ホットドッグ,アメリカンドッグ,ソルティドッグ
真実の口、テルミニ駅、カラカラ浴場などの観光名所がある都市はどご2,ローマ,シドニー,ナイロビ,サンパウロ,ローマ
その年で初めて、海水浴場が利用できるようになる日を何という ?,海始め,海入り,海開き,海送り,海開き
投高裁剤所がある都道府県はどこ ?,広島県,北海道,忠岡県,東京都,東京都
サッカーで得点を上げたときなど、選手同士で頭上で手を合わせる行為を何という ?,チャント,ウェーブ,ハイタッチ,クリンチ,ハイタッチ
1866年に発見された、「優性」「分離」「独立」の3法則からなる遺伝の法則は何 ?,ゴハンデルの法則,メンデルの法則,モヤシテルの法則,ウドンデルの法則,メンデルの法則
"「Wボケ」という芸風で知られる、相田幸治と哲夫
からなるお笑いコ
ンビは何 ?",導い飯,怠騰,中川家,NON STYLE,導い飯
メジャーリーグの往年の名選手、べーブ・〇〇〇。〇〇〇に入る名前は回角,カップ,ディマジオ,ルースズ,ライアン,ルースズ
気象庁が全国に配置している「地域気象観測システム」の通称を何という?,ハレダス,アメダス,ユレダス,ユキダス,アメダス
事件の現場などに、面白がって集まる人のことを、ある動物に例えて何という2,野次猿,野次猪,野次犬,野 次 馬,野 次 馬
次のうち、背中がかゆい時に使う道具はどれ2?,むすめの手,まごの手,むすこの手,おやの手,まごの手
ファミコンの野球ゲームシリーズ『ファミスタ』の「スタ」とは何の略 ?,スタリオン,スタジアム,スタイル,スタート,スタジアム
女優の衣奈、裕子、律子、美奈子に共通する名字は何2,谷中,畑中,山中,田中,田中
長方形の頂点の数はいくつ?,4つ,6つ,2Zつ,8つ,4つ
生物の体を作り上げるのに必要な遺伝子の1セットを何と呼ぶ?,プロテオーム,エクソン,ゲノム,イントロン,ゲノム
次のうち、最も早く起きた歴史上の出来事はどれ ?,天保の改革,大化の改新,明治維新,建武の新政,大化の改新
カーディガンを肩にかけ、袖を前で結ぶ着こなしを、ある職業にちなんで何という ?,アナウンサー巻き,カメラマン巻き,プロデューサー人巻き,アシスタント巻き,プロデューサー人巻き
学生時代は「ギブアップ住谷」として学生プロレスに参加していた経歴を持つお笑い芸人は誰 ?,ムーディー勝山,ダンディ坂野,レイザーラモンHG,木村晶寛,レイザーラモンHG
『エロティカ・セブン』や『菜のテーマ』などのヒット曲があるバンドは何 ?,サカナクション,ケツメイシ,ウルフルズ,サザンオールスターズ,サザンオールスターズ
男子ゴルフの4大大会、全米〇CO、全英OO〇つ〇。〇〇〇に共通して入る言葉は何 ?,ロード レース,トーナメント,オープン,デスマッチ,オープン
幕末に活躍した大久保利通、西郷隆盛といえば、出身地はどこ ?,長州落,,水戸藩,土佐落,
次のうち、ごはんを茶わんにつぐ時に使う道具はどれ?,いちもじ,おおもじ,しゃもじ,こもじ,しゃもじ
次のアニメのうち、原作がライトノベルではない作品はどれ2?,涼宮ハルヒの有憂鬱,提と香辛料,稀上限のシャナ,ハイキュー!!,ハイキュー!!
略称を「ドリキャス」という、セガから発売されたゲーム機は何 ?,ドリームキャスト,メガドライブ,マスターシステム,セガサターン,ドリームキャスト
漫画『ドラゴンボール』に登場する、トランクスの父親は誰 ?,ベジータ,天津飯,クリリン,孫悟空,ベジータ
"さきゃりーばみゆゅばみゆゅのアルバム第2痢のタイトルは『なんだ〇〇のりほ衝⑨,⑥(⑥)と を。",お一くしょん,これくしょん,みっしょん,くらくしょん,これくしょん
次のうち、お風呂で体をきれいにするものはとどれ?,はっけん,せっけん,たっけん,りっけん,せっけん
後ろに荷物を積むことができる車のことを何と言う ?,ライトバン,カンイバン,サンモンバン,タイコバン,ライトバン
俗に「赤ヘル軍団」と称される、日本プロ野球の球団はどこ 2?,広島,中日,ヤクルト,,広島
ボクシングのリングにある、ニュートラルコーナー以外のコーナーの色は、何と何?,赤と黒,赤と青,紫とピンク,黄と緑,赤と青
宇宙空間から飛来し、地球や惑星の表面に落下した物質を、一般に何という ?,了石,懐石,歯石,石,了石
SFアニメの作品のタイトルで、『超時空要塞』といえばこのあと何と続く?,マクロス,エヴァンゲリオン,イデオン,ガンダム,マクロス
