Q,Category,K1,K2,K3,K4,A
電車やバスの 「優先席」で行わないように注意されることは何 ?,雑学,居眠りをする,飲み物を飲む,携帯電話の使用,本を読む,携帯電話の使用
優しさと上厳しさの両方を用いる指導方法 「つ〇〇とムチ」。〇〇〇は回角,文系,アメ,プリン,アイス,ガム,アメ
ヒット曲『UFO』や『ペッパー警部』で知られるピンク・レディーは回めき|計,芸能,5人組,3人組,4人組,2人組,2人組
人生経験が豊かであることの例え「酸いも〇〇も噛み分ける」 。〇〇は何 ?,文系,甘い,若い,旨い,辛い,甘い
コンピューターの記憶媒体を初期化することを何という3?,理系,フォーマット,フォーメーション,フォーマル,フォーム,フォーマット
バスケットボールの反則「トラベリング」とは、ボールを持って何歩以上歩くこと?,スポーツ,4歩,3歩,5歩,2歩,3歩
「シミキン」の愛称で人気を博した、往年の喜劇俳優は誰 ?,芸能,榎本健一,清水金一,膝山寛美,箇我親家蝶六,清水金一
「軍師官兵衛』や『下清盛』 など、NHKが毎年放送している歴史長編ドラマシリーズは何 ?,芸能,河川ドラマ,大河ドラマ,氷河ドラマ,流水ドラマ,大河ドラマ
普段は閉じていて、舶の通行などの際にのみ上がる橋を何という 2?,理系,割り橋,上げ橋,跳ね橋,開き橋,跳ね橋
スキーのノルディック複合といえば、クロスカントリーと何の組み合わせ :,スポーツ,早食い,水泳,ジャンプ,クイズ,ジャンプ
最高時速が130kmを超えることもあるボブスレーの別名は次のうちどれ ?,スポーツ,氷上のチェス,氷上の格闘技,氷上のF1,氷上の女王,氷上のF1
アルファベット3文字で「JAL」と略される、鶴のマークでおなじみの航空会往は何?,雑学,日本航空,第一航空,朝日航空,東京航空,日本航空
1990年に発売された、「ファミリーコンピュータ」の後継機であるゲーム機は「何ファミコン」 ?,アニメゲーム,ミラクルファミコン,パワフルファミコン,ウルトラファミコン,スーパーファミコン,ミラクルファミコン
モータースポーツの車に取り付けるハンドルを指す言葉はどれ?,スポーツ,ステアリング,アイドリング,エンゲージリング,カウンセリング,ステアリング
「オームの法則」「フレミングの法則」といえば、どんな科学の分野と関連性が高い法則 ?,理系,有機化学,量子力学,流体力学,電磁気学,電磁気学
"人から音沙汰のないことを、 「無し     I
」と「梨」をかけて、「なしの何」という 2?",文系,つぶあたま,つぶくび,つぶて,つぶあし,つぶて
石川チカの漫画 !交番PB』に登場するコンビ、仙波と武田の職業は何 ?,アニメゲーム,郵便局員,消防士,韻察到,目衛,韻察到
テレビでおなじみ、天達武史、森田1光といえは職業は何 ?,理系,気象予報士,宇宙飛行士,歯科技工土,救急救命士,気象予報士
「月刊少年ガンガン』に連載されていた衛藤ヒロユキの漫画『魔法陣^〇つつ』。 〇〇〇は ?,アニメゲーム,ザラザラ,ドロドロ,グルグル,パリパリ,グルグル
次のうち、弦楽問はどれ ?,芸能,クラリネット,和太鼓,ハープ,フルート,ハープ
次のうち、ゲームにあるのはとれ?,雑学,ドリフ,ドミノ,ドリル,ドクロ,ドミノ
「顔シューティング』といえば、次のうちどのゲーム機に内蔵されているゲーム ?,アニメゲーム,PSVita,プレイステーション4,ニンテンドー3DS,XboxOne,ニンテンドー3DS
導電にに9月村さりいとるとボ何を表す単位 ?   -,理系,糸の太さ,糸の長さ,糸の硬さ,糸の重さ,糸の太さ
次のうち、料理番組はどれ ?,芸能,やべっちFC,おしゃべりクッキング,報道ステーション,Qさま!|,おしゃべりクッキング
1959年にプロ野球審誕の二出川延明が言った言葉は「俺がつ〇〇だ」。〇つ〇〇は ?,スポーツ,お品書き,ルールブック,パンフレット,電話帳,ルールブック
次のうち、物質の三体に含まれないのはどれ2?,理系,液体,気体,固体,プラズマ,プラズマ
"春頃に耳にする 「『開花宣言」といえば、普通、どんな花の開花に関するご つう
三時王還に",理系,セイタカアワダチソウ,つばき,さく,さくぐら,さくぐら
TBSの番組『ぴったんこカン・カン』で司会を務めたアナウンサーは誰?2,芸能,小笠原理,安住紳一郎,斉膝哲也,国山ハセン,安住紳一郎
イスラム教の聖典「コーラン」は、何語で書かれている 2?  「,文系,イタリア語,フランス語,アラビア語,ギリシャ語,アラビア語
「スペシウム光線」といえば、どんなヒーローが使う必殺技 ?,アニメゲーム,ゴレンジャー,月光仮面,ウルトラマン,仮面ライダー,ウルトラマン
ーー 『系』 『時代』『地上の星』などの楽曲で知られる女性歌手は誰 ?,芸能,遊佐未森,香西かおり,中島みゆき,イルカ,中島みゆき
バスケットボールなどの試合中に必要となる、濡れた床をモップなどで拭く人を何という?,スポーツ,ゾウキナー,ソウジキャー,フキナー,モッパー,モッパー
ウのがた:jEIのとコシシル:だコツ っ「ゴムゴムの銃」を使うのは誰 ?,アニメゲーム,孫情空,ゴン・フリークス,モンキー・D・ルフィ,星矢,モンキー・D・ルフィ
江戸時代に栄えた簡学とは、どこから伝わった西洋の学問のこと ?,文系,イタリア,オランダ,イギリス,ドイツ,オランダ
子ども素直にいうことを聞かない時期。「何期」 ?            「,雑学,反乱期,反抗其,反発其,反逆期,反抗其
次のうち、焼き物で有名な愛知県の都市はどこ ?   _,文系,水戸市,瀬戸市,紳戸市,八戸市,瀬戸市
「ある日、少女が空から隆ってきた」といえば、何というジブリ映画のキャッチコピー ?,アニメゲーム,となりのトトロロ,天空の城ラピュタ,かぐや姫の物語,在成旬合戦ぼんほこ,天空の城ラピュタ
日本のプロリーグで、「セ・リーグ」 「パ・リーグ」といえば、どんなスポーツのリーグ ?,スポーツ,サッカー,野球,バスケットボール,バレーボール,野球
アルプス、アンデス、ヒマラヤといえば、どんな地形の領域 ?,文系,山脈,海儲,不野,湖,山脈
ノロウイルス、カンピロバクター、サルモネラ菌といえば、次のうちどんな症状を引き起こすもの ?,理系,食中毒,湿疹,インフルエンザ,化粉症,食中毒
石川さゆりの演歌『津軽海峡・冬景色』の歌い出しは「〇〇〇発の夜行列車おりた時から」。 〇〇〇は ?,芸能,"こ上上
洲谷",上野,東京,新倫,上野
爪を切る際に、痛みが出るほどと切りすきぎてしまうことを何という ?,理系,短爪,深爪,少爪,小門,深爪
「競能』といえば、どんな動物によるレース競技 ?,スポーツ,ウン,ウサギ,ラクダ,ゾウ,ラクダ
次のうち、実際にある国民の祝日は 2,雑学,あおの日,さいろの日,あかの日,みとりの日,みとりの日
次のハロルド作石の漫画のうち、音楽バンドを題材にした作品はどれ ?,アニメゲーム,7人のシェイクスピア,ゴリラーマン,ストッパー毒島,BECK,BECK
ゲームの『ドシン』、スポ根漫画の『星』。 共通して前につく言葉は回角,アニメゲーム,巨人の,宇宙の,海底の,鋼鉄の,巨人の
次のうち、「寝具」はどれ?,雑学,ベッド,テレビ,テーブル,ラジオ,ベッド
洗浴物を干すときに使う、ハンガーなどを吊るすための棒を何という 2?,雑学,物干し竿,差し金,警棒,大黒柱,物干し竿
アメリカのTVドラマ『奥さまは魔女』で、主人公の奥さまの名前は回角,芸能,タバサ,サマンサ,ルイーズ,エンドラ,サマンサ
次のうち、犬の品種にあるのはどれ 2?,雑学,マルバター,マルチーズ,マルジャム,マルマーガリン,マルチーズ
本圭がえり、華甲、還暦といえば、数え年で何歳のことを指す ?,文系,81歳,61歳,41歳,21歳,61歳
「日本三大地鶏」の1つにも数えられる、愛知県生まれの鶏の品種は名古屋の〇〇」 。 の〇〇〇は ?,理系,サラブレッド,コーチン,ホルスタイン,ジャージー,コーチン
SHと略されるラグビーのポジション生和回記2,スポーツ,プロップ,スクラムハーフ,ロック,ウイング,スクラムハーフ
車に乗った時に体を固定する「C)〇つベルト」。〇〇〇は何 ?,雑学,シート,アート,レート,ボート,シート
「コネ入視」などという時の「コネ」は、何という言葉の略 ?,文系,コネクション,コネチカット,コネアワス,コネリガキ,コネクション
装館品・印材・光学機材などに利用される、六角柱状の石英を何という?,理系,土晶,金品,火晶,水晶,水晶
次のうち、作者が女性である漫画はとれ?,アニメゲーム,トリコ,宇宙兄弟,ちはやふる,深夜食写,ちはやふる
自動車についている、スピードを沙とす時に踏むペダルは何 ?,雑学,ブリーチ,ブレード,ブレーン,ブレーキ,ブレーキ
工業排水に含まれる有機水銀を原因として、熊本県の水俣湾周辺で発生した公害病は何 ?,理系,天草病,人吉病,八代病,水俣病,水俣病
次のうち、結婚式の定番ソングとして人気の、中島みゆきのヒット曲はとれ?,芸能,木,中,ル,終,終
次のうち、1ヶ月に1度発行される雑誌はどれ2?   _,雑学,しゅうかんし,げっかんし,にっかんし,じゅんかんし,げっかんし
二酸化炭素など一部を除いた、炭素を含む化合物の総称は何 2,理系,年代物,有機物,世話物,感動物,有機物
沼よしのぶの漫画『キャディ愛』の題材となっているスポーツは何 ?,アニメゲーム,テニス,バレーボール,サッカー,ゴルフ,ゴルフ
アニメ『アルプスの少女ハイジ』で、ハイジと仲良しのユキちゃんってどんねお動物 ?,アニメゲーム,ビーバー,ヤギ,イヌ,ヒツジ,ヤギ
次のうち、NHK連続テレビ小説を意味する言葉はどれ?,芸能,昼ドラ,夜ドラ,タドラ,朝ドラ,朝ドラ
"ー  ーー
リーコーナーがあるテレビ番組『噂の !〇つつ〇』。 の〇〇〇びは何 ?",芸能,大阪マガジン,東京マガジン,札幌マガジン,忠岡マガジン,東京マガジン
F1などのカーレースで、ドライバーがレース中に着用する服装を一般的に何という ?,スポーツ,レーシングマント,レーシングブルゾソゾン,レーシングブラウス,レーシングスーツ,レーシングスーツ
「氷上のお殿様」というブログを開設している、元フィギュアスケート選手であるタレントは誰 ?,芸能,篠原信一,織田信成,佐々木健介,須藤元気,織田信成
愛川欲也とともに劇団「キンケロ・シアター」を立ち上げたタレントは上:壮4,芸能,中村玉緒,五月みどり,野際陽子,うつみ宮土理,うつみ宮土理
フジテレビ系列の「バボちゃん」といえば、どんな競技に関するマスコットキャラクター ?,スポーツ,バレーボール,フィギュアスケート,テニス,駅伝,テニス
「月日は百代の過客にして・・・」という書き出しで始まる、松尾苗葉の紀行文は何 ?,文系,奥の少道,奥の細道,奥の多道,奥の太道,奥の細道
相対性理論の提唱で知られる、アルバート・アインシュタインの出身国はとどこ?,理系,ドイツ,バヌアツ,トンガ,フィジー,ドイツ
毎年春に「選抜高等学校野球大会」が行われる場所はどこ2,スポーツ,東京ドーム,日本武道館,札幌ドーム,甲子園球場,甲子園球場
次のコナミのゲームのうち、ブタをプッANY: まう 】とちずす2光中,アニメゲーム,プーヤン,けっきょよく南極大冒険,月風魔伝,フロッガー,プーヤン
ブリキ製の丸型のバッチのことを、一般に何という 2?,雑学,密バッチ,告バッチ,捕バッチ,樽バッチ,告バッチ
経済学で、国などを巨説的に見るものを「何経済学」という ?,文系,ジャイアント,ギガ,マクロ,ビッグ,マクロ
野球帽で「ひさし」のように出ている部分を何という ?,スポーツ,つば,つばき,よだれ,だえさ,つば
次のうち、「ユーロ」を通貨単位として導入している国はどこ ?,文系,エジプト,インド,アメリカ,イタリア,イタリア
「六本木ヒルズ」や「虎ノ門ヒルズ」などの開発・運営で知られるデベロッパーは何 ?,雑学,木ビル,森ビル,森林ビル,林ビル,森ビル
地震が起きた時に、地盤の水分が砂と一緒に噴き出す現象を何という 2?,理系,フェーン現象,液状化現象,ブラウン現象,チンダル現象,液状化現象
漫画 !じょしらく』に登場する、無維亭魔梨威、空琉美遊亭丸京らの職業は何 ?,アニメゲーム,落語家,プロレスラー,書道家,演歌歌手,落語家
涙の量が少なくなり、目の表面が乾燥して起こる病気を何という2?,理系,クールアイ,レッドアイ,タスケアイ,ドライアイ,ドライアイ
次のうち、舞台となった時代が最も古い間画はどれ ?,アニメゲーム,高速エイジ,Cafe吉笠寺で,源氏,丘の上のバンビーナ,源氏
元サッカー選手の橋崎正剛が担当したボポジションはどこ3?,スポーツ,ゴールキーパー,ミッドフィルダー,ディフェンダー,フォワード,ゴールキーパー
プロ野球で、シーズンの最多勝利投手を巡る争いのことを、何ダービーという2,スポーツ,コーシー,ムーネー,ヒーザー,ハーラー,ハーラー
西洋では「アダムの林檎」と呼ばれる、喉に見られる突起は何 ?,雑学,喉将軍,喉仏,喉紳,喉芋,喉仏
国土交通省の設置について定めた法律は何?,文系,覚醒剤取締法,似ノJ法,国土交通省設置法,楽事法,国土交通省設置法
預言書 『諸世紀』 を書いた、16世紀のフランスの占星術師は誰 ?,文系,サントラダムス,ノストラダムス,ウルトラダムス,リストラダムス,ノストラダムス
「マッハ」といえは何の単位 2,理系,明るさ,車さ,速さ,大きさ,明るさ
スポーツの一種『「カバディ」はどこEE:EオクシGtツだ,スポーツ,ベトナム,モンゴル,インド,中国,インド
萩尾望都の漫画『〇〇の一族』。〇)〇は何 ?                           -,アニメゲーム,ビー,パー,ペー,ポー,ポー
現代の科学では十分な説明ができない、予知や透河などの現象を何という?,理系,超常現象,和会現象,天文現象,生命現角,超常現象
_ 映画『ライフ・イズ・〇OO〇OO〇O』 と『OOO・マインド』の〇〇〇に共通する言葉は何 ?,芸能,ジョイフル,ビューティフル,ハートフル,ワンダフル,ビューティフル
「『「それいけ! アンパンマン』に登場する、「ハヒフへヘホー ! 」というセリフでおなじみのキャラは何 ?,アニメゲーム,しょくばぱんまん,ばいきんまん,カレーパンマン,アンパンマン,ばいきんまん
アメリカ合衆国の初代大統領は誰 ?,文系,マルキーニョス,エメルソン,ケネディ,ワシントン,ワシントン
次のうち、日本テレビのトーク番組「おしゃれイズム』のMCの1人だった俳優は誰 ?,芸能,藤木直人,八嶋智人,細川成樹,谷原章介,藤木直人
「東京中央銀行」という架空の銀行を舞台とする、堺雅人主演のTBSドラマは何 ?,芸能,リーガルハイ,年沢直樹,ジョーカー,大奥,年沢直樹
時代劇ドラマなどで役者が行う、格闘や斬り合いなどの演技を何という?,芸能,じゅうじ,よこ,たて,ななめ,たて
きりたんぼといえば、どこの郷土料埋 2,雑学,秋田県,広島県,愛知県,沖縄県,秋田県
日本語では堤堤という、水を溜めるために河川を横切って築かれる建築物は何 ?,雑学,ハム,ダム,ガム,エム,ダム
コンボ、乱入、投げハメといえば、次のうちどんなジャンルのゲームで使われる用語 ?,アニメゲーム,シューティングゲーム,アドベンチャーゲーム,音楽ゲーム,対戦格闘ゲーム,シューティングゲーム
野球場で、選手の名前をアナウンスする女性アナウンサーのことを俗に何という3?,スポーツ,コマドリ嬢,ホトトギス嬢,ウグイス嬢,メジロ嬢,メジロ嬢
「要求に応じて」という意味の通り、利用者の注文に応じてサービスを提供する方式を何という?,文系,アウトデマンド,オンデマンド,オフデマンド,インデマンド,オンデマンド
次のうち、太宰治の小説 『走れメロレ人軸KGある)のタロ三EDP2 1にAT!すず2ルコ明4,文系,中金を得るため,妹の結婚式に行くため,鬼から逃げるため,トイレに行くため,妹の結婚式に行くため
ゲームの中でも、クリアが困難なゲームのことを、総称して何ゲーという?,アニメゲーム,道断ゲー,無理ゲー,不可ゲー,邪ゲー,無理ゲー
次のうち、日本テレビの番組 『月曜から夜ふかし』でMCを努めているタレントは誰 ?,芸能,セツコ・デラックス,マツコ・デラックス,ミツコ・デラックス,エツコ・デラックス,マツコ・デラックス
京都料理のおそうざいのことを、俗に何という ?,雑学,おてびょうし,おてならし,おばんざい,おはくしゅ,おばんざい
次のうち、そうめんなどに使われるだしの効いた調味料はどれ ?,雑学,こてつゆ,たれつゆ,どうつゆ,めんつゆ,めんつゆ
次のうち、「バックトス」というプレーがある競技はどれ?,スポーツ,フェンシング,アマチュアレスリング,サーフィン,バレーボール,バレーボール
幼い頃の性格は年をとっても変わらないという意味のことわざ。 「何の魂折まで」 ?,文系,七つ子,九つ子,三つ子,五つ子,三つ子
バーで、カクテルなどを作る人のことを何と言う ?,雑学,パーバリー,バーテンダー,バーコード,バーレーン,バーテンダー
RPG『ファンタジーライフ』に登場する職業で、原石から素材となる鉱2の:PA2Tnrgcっきり】たとき 半/,アニメゲーム,衝人,抹掘師,裁縫師,大工,抹掘師
化学式H2S04で表される、金属をよく溶かす硫黄のオキソ酸のひとつは回角,理系,硫金,硫液,硫酸,硫石,硫酸
次のうち、経営学者のピーター・ドレムツル eiのた:生ヨちず2ル 4 2,文系,アポイントメント,トリートメント,マネジメント,ジャッジメント,マネジメント
世界遺産にも登録された「石見銀山」がある都道府県はどこ ?,文系,島根県,奈良県,広島県,北海首,島根県
秋田県の県庁所在地は何市 ?,文系,大館市,男鹿市,秋田市,横手市,秋田市
次のうち、基本的に、試合中に審放kao9/NAァを eky4とす2ル 4 E,スポーツ,アイスホッケー,サッカー,テニス,ラグビー,テニス
リオデジャネイロロ五輪のテニスで、日本勢として96年ぶりにメダルを和欠得した選手は誰 ?,スポーツ,ダニエル太郎,杉田征一,松岡修造,病織主,病織主
相撲はどこの国で生まれたスポーン 2,スポーツ,日本,中国,イギリス,アメリカ,日本
"野球のメジャーリーグのことを、日本語では
唱
名「何リーグ
」 と
いつ 2?",スポーツ,最リーグ,来リーグ,外リーグ,大リーグ,大リーグ
198S年発売のゲーム『スーパーマリオブラザーズ』の対応マシンは次のうちとれ?,アニメゲーム,カセットビジョン,ファミリーコンピュータ,プレイステーション,セガマークIl,ファミリーコンピュータ
もともとはトマス・モアの小説に由来する、理想卿という意味の言葉は回角,文系,ユートピア,シャンバラ,アルカディア,エルドラド,ユートピア
"アニメ『マガンダム』の「Y」は何と読
す) 2",アニメゲーム,アンチエー,サイドエー,ターンエー,バックエー,ターンエー
しし座のデネボラ、うしかい座のアークトウルス、おとめ座のスピカを結んだ図形を何という ?,理系,春のセンバツ,春の祭典,春の大三角,春の七草,春の大三角
次のうち、動きがにぶい人を意味する言葉はどれ?,雑学,よろい,くろい,とろい,しろい,とろい
煮詰めたリンゴの上にタルト生地をのせて焼き、ひっくり返して出すフランスのお県子は何 2,雑学,カルト・カカン,ナルト・ナナン,タルト・タタン,マルト・ママン,タルト・タタン
次のうち、日本を舞台にしたゲームはどれ2?,アニメゲーム,シェリフ,ポパイ,源邊討魔伝,天地を喰らう,源邊討魔伝
次のうち、人循環問はどれ ?,理系,"==|
月",小腸,大腸,心臓,心臓
宇宙船「エンタープライズ号」の乗組員たちを描いた、アメリカのSFテレビドラマンシリーズは何 ?,芸能,スタートラック,スタートリック,スタートレック,スタートロック,スタートレック
木の樹脂が長い年月をかけて固まってできた宝石は何 ?,理系,預唆,水晶,真珠,琉垢,琉垢
宝石のダイヤモンドの重さを表す単位は何 ?,雑学,シレット,クルット,ケロット,カラット,カラット
次のうち、ドラマ【「電車男』」のヒロインの名前はどれ ?   -,芸能,シャネル,ヴィトン,エルメス,コーチ,エルメス
整形手術の「豊胸術」を受けることによって叶うのは、次のうちどんなこと?,理系,あごが渡せる,腰回りが細くなる,バストアップする,凌の所が増える,バストアップする
4 用 理|通何時のこと ?   -,芸能,15時,0時,9時,6時,0時
Drワイリーという科学者が登場する、カプコンのゲームシリーズは回角,アニメゲーム,戦国BASARA,モンスターハンター,ロックマン,逆転裁列,ロックマン
テレビ業界で「河聴率三先王」といえば、「全日」「プライムタイム」と何でトップになること?,芸能,ブロンズタイム,シルバータイム,プラチナタイム,ゴールデンタイム,ゴールデンタイム
次のうち、AKB48で初代総監督を務めた元メンバーは誰 2,芸能,高橋きた,高橋にし,高橋みなみ,高橋ひがし,高橋みなみ
合金の一種「ニクロム」に含まれている、元素記号「Ni」の元素は何 ?,理系,ニッケル,ネオン,ナトリウム,守素,ニッケル
次のうち、最も年齢が低いのは誰 ?,スポーツ,移生結弦,高橋大輔,町田樹,小塚崇彦,移生結弦
相撲で行司といえば、どういった役目の人 ?,スポーツ,特定力士への肩入れ,負傷者の手当て,配当の調整,勝負の剤定,勝負の剤定
ゲーム 『!妖怪ウォッチ』に登場する、猫の地縛霊妖怪の名前は何 ?,アニメゲーム,ジバニャン,ツチノコ,ウィスパー,ノガッパ,ジバニャン
次のうち、女性推理作家は誰 ?,文系,古野まほろ,宮部みゆき,綾辻行人,麻耶雄高,宮部みゆき
ドイツの地質学者の名前がつけられた、かつて日本に生息していたゾウの仲間は何 ?,理系,ナウマンゾウ,モースゾウ,フェルスマンゾウ,クラークゾウ,ナウマンゾウ
次のうち、体を、木の枝や葉に似せることで知られる昆虫はどれ?,理系,ハチフン,ナナフシ,キュウフン,ロクフン,ナナフシ
"野球用語で、『:
    ナイー」の後ろに続く言葉は何 ?",スポーツ,ヒント,テント,バント,マント,バント
次のうち、最も丈が長いズボンはどれ 2?,雑学,七分丈ズボン,五分ズボン,九分丈ズボン,三分丈ズボン,九分丈ズボン
次のうち、自動車の燃料がなくなってしまうことを指す言葉はどれ3?,雑学,パンク,エンスト,バースト,ガス欠,ガス欠
次のうち、オランダ原産のウサギの品丁はどれ ?,雑学,ミニレッキス,ネザーランドドワーフ,日本白色種,ジャージウーリー,ネザーランドドワーフ
次のうち、アニメ『ポケットモンスター』 に登場しないキャラクターはとれ?,アニメゲーム,ニャース,ゼニガメ,ジバニャン,ピカチュウ,ジバニャン
粘土を使ってキャラクターを作り、1コマずつ撮影して作られるアニメを何アニメという?,アニメゲーム,オリジナルアニメ,クレイアニメ,CGアニメ,セルアニメ,クレイアニメ
宝塚歌劇団の舞台『ファントム』の題材となっている、ガストン・ルルーの小説は何 ?,芸能,風と共に去りぬ,オペラ座の怪人,ロロミオとジュリエット,誰がために鍵は鳴る,オペラ座の怪人
小西良幸という名前でも活躍する、ファッションチェックで有名な日本のデザイナーは誰 ?,芸能,ノン小西,ゴン小西,ドン小西,ボン小西,ゴン小西
設楽統と日村田紀からなるお笑いコンビは何2 。,芸能,メロンマン,バナナマン,レモンマン,スイカマン,バナナマン
次の俳優のうち、年齢が一番上なのに誰?,芸能,ムロツヨンシン,田中詩,吉田鋼太郎,,吉田鋼太郎
Jリーグのサッカークラブ「サガン」がホームタウンとする佐賀県の市はどこ?,スポーツ,ぶろつく,,とす,ご ーー.ぶ,とす
次のうち、手塚治虫の漫画はどれ ?,アニメゲーム,ホワイト・ジャック,ブラック・ジャック,パープル・ジャック,オレンジ・ジャック,ブラック・ジャック
細い穴から押し出される様子が滝のようであることに由来して名づけられた細長いこんにゃくは何 ?,雑学,しらかわ,しらたさき,しらうみ,しらなみ,しらたさき
お笑いコンビ、南海キャンティーズの山里宮太の愛称といえば「何ちゃん」 2,芸能,況ちゃん,太ちゃん,里ちゃん,山ちゃん,山ちゃん
日本の歴代総理大臣で、「赴夫」とちあ導還ESまことにコと 円時,文系,野田,安倍,貴田,麻生,貴田
"』よ 一 小己> が
玄導三蔵、孫悟空、沙悟浄などが登場する、中国・明の時代の小説は回角",文系,北遊記,西遊記,東遊記,南遊記,西遊記
TRh式」 「ABO式」といえば、何の分類?       ー,理系,紳経,血液型,遺伝子,細胞,血液型
"利用距離に応じてポイントが貯まる、航空会仁のサ
ービスを
何という?",文系,キャンドルサービス,マイレージサービス,シークレットサービス,セルフサービス,マイレージサービス
父を探すためにハンターになった、漫画 『HUNTERxHUNTER』 の主のた本 記一アスリピニンルレ9/,アニメゲーム,ジン,ガン,ゴン,ビン,ゴン
次のうち、ロサンゼルス五輪で金メダルを獲得した陸上選手・吉岡隆徳につけられた異名はどれ?,スポーツ,暁の超特急,暁の超鈍行列車,暁の超三輪車,暁の超一輪車,暁の超特急
次のうち、タイ原産のネコの品種はとれ?,雑学,ジャパニーズボブテイル,アメリカンショートヘア,シャム,ロシアンブルー,シャム
おせち料理などを詰めて、何段にもかさねられる容器を何という ?2,文系,とび御,くつ箱,筆箱,生稲,生稲
ー           ーーササイズといえば何?2,スポーツ,アネロビクス,テトラビクス,ロシアビクス,エアロビクス,エアロビクス
"漫画『青空
g画『青空エール』で、ヒロインの小野つばさが所属している部活は回角",アニメゲーム,吹奏楽部,手芸部,料理部,新体操部,吹奏楽部
別名を「カリブー」という、サンタクロースのソリを引くシカ科の動物は何 ?,理系,トナカイ,エゾシカ,インパラ,バイソン,トナカイ
