Q,Category,K1,K2,K3,K4,A
「メリケンサック」や「メリケン粉」の「メリケン」が指す国はどご2,雑学,アメリカ,イギリス,ドイツ,フフンス,アメリカ
次のうち、イベントなどに参加を申し込むことを意味する言葉はどれ 2?,雑学,エントリー,カントリー,サントリー,パントリー,エントリー
_ 寄り道をすることを「〇〇〇をくう」。〇〇〇は ?,雑学,道端,道筋,,道曲,道曲
余計な飾りや無駄なものはない方が良いという言葉「〇〇〇・イズ・ベべスト」。 の〇〇〇は ?,雑学,シンプル,アンプル,サンプル,テンプル,シンプル
サーモン、ショッキングなどの種類7ジウとsslたる円肢4,雑学,ブルー,ピンク,ブラック,ホワイト,ピンク
競馬や陸上の競争などで、激しい争いのことを「〇OO〇OO〇ヒート」 。〇〇2,雑学,バッド,ゴッド,テデテッド,ガッド,テデテッド
害の日などに、車が滑ることを何と言う ?,雑学,ステップ,スコップ,スキップ,スリップ,スリップ
次のうち、作家や脚本家など、文章を書く人を意味する言葉はどれ?,雑学,マッナチ,チャツカ,ライター,テンカ,ライター
次のうち、「大型のゴミ」を意味する言葉はどれ?    -,雑学,肥大ゴミ,増大ゴミ,粗大ごみ,拡大ゴミ,粗大ごみ
俗に、嘘をつくと間魔大王に抜かれるといわれる体の部分はどこ ?,雑学,まつ毛,古,へその緒,足の爪,古
十二支で、ねずみ年の次は何年 2,雑学,うま年,いぬ年,うし年,さる年,うし年
男性が着る礼服のことを何という ?,雑学,タキシード,ダグアウト,タグボート,ダイオード,タキシード
ニワトリの頭の上にあるものは何 ?,雑学,えさか,とさか,こごか,まさか,とさか
ウシやトラなどの大きね動物を数えとで==LITAちも 計?,雑学,豆,局,胸,中,豆
次のうち、のんびりとして慌てない性格の人を意味する言葉はどれ?,雑学,てんさ,はんきさ,りんき,のんきさ,のんきさ
LINEアプリの用語で、「スタ連」「スタ爆」の「スタ」とは何のこと?,雑学,スタンス,スタイル,スタート,スタンプ,スタンプ
「スリーサイズ」のうち、尻の寸法を何という?2,雑学,バスト,ヒップ,ウエスト,ランク,ヒップ
英語では「pillow fight」 という、修学旅行の夜などに行われる遊びといえはばは何 ?,雑学,枕投げ,,ベーゴマ,メンコ,枕投げ
「白バイ」と呼ばれるオートバイを運転する人の職業は何 ?,雑学,警察巨,弁護士,消防士,医者,警察巨
次の日本の硬貨のうち、水に浮かべることができるのはどれ?,雑学,5円玉,10円玉,1円玉,100円玉,1円玉
重要な人物の警護にあみたる人を「ボティ〇の〇〇」という。〇〇〇は何 ?,雑学,サード,リード,ガード,ボード,ガード
ジグソーパズルで、パズルを構成する1つ1つの小片を何という ?,雑学,バンク,パイ,リトル,ビピース,ビピース
次のうち、水に溶けやすい絵の具を用いた絵画はどれ ?,雑学,"金勿
シ男","火彩
2画",水彩画,"木彩
シ男",水彩画
次のうち、普通、目かくしをして行う遊びはどれ?,雑学,物根つき,忠笑い,すごろく,カルタ,忠笑い
次のうち、お米をスープで炊いて作るイタリア料理はどれ ?,雑学,リキッド,リリット,リゾット,リミット,リキッド
次のうち、ノルウェーの画家・ムンクの代表作はどれ2?,雑学,叫び,咳き,微笑み,寺しみ,叫び
牛肉と野茶を割りしたと呼ばれるタレで煮こんだ鋼料理を何と言う ?,雑学,すき焼き,さらい焼き,いや焼き,いい焼き,すき焼き
なめらかで、よく滑る様子を意味すと生ま:ゴちず2,雑学,テルテル,クルクル,プルツル,アルアル,プルツル
次のうち、「お茶づけ海苔」などの商品でおなじみの食品メーカーはどご2,雑学,甲子園,後楽園,失楽園,氷谷園,氷谷園
大阪万博のシンボル「太陽の塔」をデザインした芸術家は誰 ?,雑学,田中太郎,$木太郎,山本太郎,岡本太郎,岡本太郎
