「捕鯨船」が捕まえる海の生き物は何2,理系,クジラ,アシカ,ウミガメ,ペンギン,クジラ
電力は電流x電圧で表されますが、5Vの電圧で3Aの電流を流した時の電力は何W ?,理系,20W,15W,SW,10W,15W
毎年月22日、地球を環境破壊・汚染から守るために行動する「地球の日」のことを何という ?,理系,アースデー,サンデー,ムーンデー,マーズデー,アースデー
アレルゲンに対して過剰に免疫が反応することによって起こる症状は回角,理系,アレルミー,アレルリー,アレルギー,アレルピー,アレルギー
次のうち、水田や池沼などに生育する、細長い管状の細胞が連結してできた往生物はどれ ?,理系,キミドロ,ミドリミドロ,アカミドロ,アオミドロ,アオミドロ
次のうち、その多くが土に巨大な巣穴を掘って生活する躍はどれ?,理系,アリ,ハチ,ハエ,クモ,アリ
普通、川上から川下に向かうにしたがって、河原の岩はどうなっていく?,理系,小さく角ばる,大きく角ばる,大きく丸くなる,小さく丸くなる,小さく丸くなる
クロロフルオロカーボンなど、才素原子を多く含み、オゾン層を破壊する働きを持つ物質は何 ?,理系,ヘロン,ハロン,ホロン,ノプロン,ハロン
カモノハシ、コアラ、カンガルーなどの動物が生息している地域はどご2,理系,アフリカ,南アメリカ,オーストラリア,"東南アジ
ン ア",オーストラリア
次のうち、「不導体」とも呼ばれるの】とちず2ル4 且2   -,理系,絶縁体,異性体,染色体,同位体,絶縁体
雨上がりの空に、七色の光のアーチがかかる現象を何という ?,理系,政,蜂,蝶,虹,虹
駆除のためにマングースが利用されたことでも知られる、沖縄などに分布する毒ヘベビといえば何 ?,理系,コブラ,マンバ,ハブ,アダー,ハブ
ジャガイモにヨウ素液をたらすと、ジャガイモは何色に変化する ?,理系,青紫色,朱色,黄土色,黄緑色,青紫色
ゲンジ、ヘイケなどの種類がいる、夜間に光を放つ昆虫は何 ?,理系,カブトムシ,ホタル,カナブン,クワガタムシ,ホタル
殺男・消毒に使われる、濃度が約3⑳の過酸化水素水のことを何という?,理系,ビスクドール,パルムドール,オキンドール,ベビードール,オキンドール
目動車や自転車の「ブレーキ」は、次のうち、どんな力を利用した装直 2?,理系,浮力,垂直抗力,摩擦力,重力,摩擦力
分子式「03」で表される、大気中の成居圏に多く存在し、太陽からの紫外線を吸収する気体は何 ?,理系,アルゴン,ネオン,ヘリウム,オゾン,ヘリウム
「リレンザ」「タタミフル」といえばフ  4の,理系,水ぼうそう,お た バ く 風邪,インフルエンザ,風疹,インフルエンザ
命に関わる事故のあとに起こる「心的外傷後ストレス障害」の略称を何という2,理系,USSR,CTBT,SPQR,PTSD,PTSD
ガスバーナーにある2つのねじは、ガス調節ねじと何?,理系,炎調節ねじ,空気調節ねじ,明るさ調節ねじ,温度調節ねじ,空気調節ねじ
車力の単位 「N」とは何のこと ?,理系,ニューグラム,ニューポンド,ニューオンス,ニュートン,ニュートン
宇宙から飛来する紫外線が地上に届く量を減らしている、大気中にある層は何 ?,理系,無党派層,オゾン居,メタン層,デボン層,オゾン居
松の木の実のことを「松〇〇OO〇つ」という。〇〇〇は何 ?     」,理系,とっくり,ざっくり,そっくり,ほっくり,ほっくり
「味の素」の主成分である、お人茶や昆布のうま味成分となっている物質は何 ?,理系,イノシン酸,アスコルビン酸,スルホン酸,グルタミン酸,グルタミン酸
次のうち、人間の血液に最も多く含まれているものはどれ?,理系,リンパ球,赤血球,血小板,白血球,赤血球
海に生息する次の生き物のうち、人魚引はどれ2?2,理系,クジラ,シャナ,サメ,アシカ,サメ
変化の様子をわかりやすくするため、グラフ上の点同士を線でつないだグラフは何 ?,理系,円グラフ,折れ線グラフ,棒グラフ,負グラフ,折れ線グラフ
次のうち、黄色と黒の結模様の体を持つ動物はどれ ?,理系,ダチョウ,ウン,パンダ,トラ,トラ
映画などでもおなじみの、膜状の細で空を飛んでいたとされる、 白亜紀に生息した恐竜は何 2,理系,ディメトロドン,イグアノドン,プテラノドン,メガロドン,メガロドン
算数で、1から9までの数を互いに掛け合わせた数の一覧を何という ?,理系,七七,,九九,五五,九九
数学などで、条件に当てはまらないものを除き、最後に残った選択肢を正解とする考え方を何という ?,理系,因果法,加点法,矛盾法,消去法,消去法
人間の消化管や呼吸器などの臓器の内面を覆う、やわらかく湿った膜を何という3?,理系,鼓膜,網膜,角膜,粘膜,粘膜
皮ふが赤く細長く腫れあがることを俗に「O〇〇腫れ」という。〇〇〇は何 ?,理系,"ミミズ
es
人",トカゲ,ヘビ,ドラゴン,"ミミズ
es
人"
守素肥料として使われる「硫安」とは何の略 ?,理系,硫酸アンモニウム,硫酸アントシアニウム,硫酸アンチモニウム,硫酸アントラセニウム,硫酸アンモニウム
七夕の伝説に由来する、こと座のベべPEのり1たる円肢4,理系,繊姫星,シンデレラ星,しらゆき星,オーロラ星,繊姫星
ルビーは何色の宝石 ?,理系,赤色,緑色,黄色,青色,赤色
「オゾン層」の「オゾン」を構成する元素は何 ?     -,理系,窒素,水素,,酸素,酸素
タンポポの花が咲いた後にできる、種子と一体になったふわふわの毛のことを、普通、何という ?,理系,糸毛,麻毛,絹毛,綿毛,綿毛
_。 「モルモット」は「テンジク〇〇〇つ」の別名。 のOO〇は何 ?,理系,ネズミ,リス,ムササビ,モモンガ,ネズミ
石癌の成分である硫酸カルシウムは何色の結晶をしている ?,理系,曰色,緑色,青色,赤色,曰色
次のうち、「人魚姫伝説」の元とされる海の生物はどれ2,理系,サメ,ジュゴン,ヒトデ,クラゲ,ジュゴン
バチスタ手術といえば、人間の体のどの部分に対して行われる手術 ?,理系,肺,脳,心臓,中,心臓
乳がんの検査に使われる、和乳房専用のレントゲン写真を撮る装置を何という ?,理系,バイオグラフィー,サーモグラフィー,ホログラフィー,マンモグラフィー,マンモグラフィー
1分は何秒 ?,理系,60秒,90秒,30秒,15秒,60秒
次の魚のうち、雲の名前にもついてしるのはどれ?    「,理系,ヒラメ,イワン,カツオ,サンマ,イワン
カルシウムの元素記号は何 ?,理系,K,Ca,C,Kr,Ca
次のうち、騰臓から分泌され、血糖値を低下させる働きのあるホルモンはとどれ?,理系,グルカゴン,インスリン,ガストリン,プロラクチン,インスリン
研究が行われたアメリカのカリフォルニア大学にちなんで名付けられた、元素記号「Cf」 の元素は何 ?,理系,ロサンゼリウム,カリホルニウム,サンフランシウム,ニューヨーキウム,カリホルニウム
理科の実験でよく使われる小さな電5みるとすとる中,理系,梅電球,豆電球,,麦電球,豆電球
ニシンの別名「〇告魚」とウグイスの別名「〇告島」の〇に共通して入る和李節は何 ?,理系,秋,春,冬,夏,春
痛みや熱さ、冷たさなどが分類されとの)】ち向くじ7 pまっ1の』 円計2,理系,司覚,触覚,聴濾,吊覚,触覚
細紗やウイルスへの感染によって生じ、人から人へと集団的に流行する病気のことを何という ?,理系,伝言病,伝染病,伝説病,伝奇病,伝染病
「カンデラ」や「ルクス」といった単位で表されるのはどういうもの ?,理系,美しさ,明るさ,優しさ,臣さ,明るさ
次のうち、よく混布楽や抗炎症楽に使われる物質はどれ?,理系,ドイツメタンシン,ロシアメタシン,インドメタシン,トルコメタシン,インドメタシン
"w ゃヾ  内 いさ 種
:  「波浪」などの
「大雨」 「洪水」 「波類がある、和気象庁が発表するものといえはばは何 ?",理系,警報,時報,吉報,通報,警報
「トン」と「ツー」で表される符号を使った信号「〇OO〇OO〇OO〇信号」。 〇のの]たき口。,理系,ビールス,モールス,セールス,ダブルス,モールス
室内の温度上昇を防ぐための「緑のカーテン」は、次のうち何を利用したカーテン 2?,理系,こけ,つる植物,すだれ,敷帳,つる植物
太陽の表面にあり、周囲より温度が低い部分を何という ?,理系,北極点,黒点,"yム、
/ロ 点",暗点,黒点
この気体を吸うと声が高くなることでも知られる、原子番号2の元素は回角,理系,ネオン,ヘリウム,酸素,守素,ヘリウム
威跡のために、ゴリラが自分の胸を両手で叩く行為を何という ?,理系,ベーシング,ドラミング,ボーカリング,ギタリング,ドラミング
次のうち、「ナツ」や「アキ」の後ろにつくとトンボの名前になるのはとれ?,理系,ミユキ,コマチ,サナエ,アカネ,アカネ
次のうち、苦みがある植物「ホップ」を使ってできるお酒として正しいのはどれ?,理系,焼酎,日本酒,ウォッカ,ビール,ビール
次のうち、「ネズミ」や「モグラ」の前に付けると別の動物になるのはとれ?,理系,イガ,ハリ,トゲ,ニードル,ハリ
昆虫が、さなぎになる段階を経て、成申になることを何という ?,理系,二段階進化,メガ進化,石進化,完全変態,完全変態
灯油と重油の中間の沸点を持つ、小型ディーゼルエンジンなどに使われる燃料は何 ?,理系,軽湯,軽油,凌油,,軽油
記号「M」で表される、地震のエネルギーの大きさを表す指標は何 ?,理系,マグニチュード,マーベラフス,ムーブメント,モード,マグニチュード
尼肉を好むため「革原の掃除屋」などと呼ばれる、タカ科の鳥は何 ?,理系,ヅラワシ,植毛ワシ,ハゲワンシ,育毛ワシ,ハゲワンシ
次のうち、砂糖に含まれない元素はとれ?,理系,,プルトニウム,酸素,水素,プルトニウム
「ドライアイス」はどんな気体を回体にしたもの2,理系,酸素,水素,室素,二酸化炭素,二酸化炭素
常温で液体である数少ない元素でもある、体温計などに使われる物質は回角,理系,水金,水鉄,水鋼,水銀,水金
次のうち、炭素の元素記号はどれ ?,理系,D,C,B,A,C
次のうち、生泉としては「十薬」や「重楽」などと呼ばれる植物はどれ?,理系,マヒダミ,コンランダミ,ドクダミ,ネムリダミ,ドクダミ
血液が循璃することを、「血の〇〇)〇つつ」という。〇〇〇は何 ?,理系,めぐり,なぐり,もぐり,さぐり,めぐり
内出血などによって皮膚の一部に生じる、赤や青の斑紋を何という 2?,理系,わざ,ほざ,あざ,"am  \
ござさ",あざ
次のうち、昆虫はどれ ?,理系,キュウカンチョウ,モモンガ,ブンチョウ,カイコガ,キュウカンチョウ
バナメイ、テナガ、サクラ、クルマなどの種類がある生き物は何 ?,理系,カニ,エビ,タコ,イカ,エビ
ここからスペースシャトルが打ち上げられた、フロリダ州にある宇宙センターは何 ?,理系,リンカーン宇宙センター,オバマ宇宙センター,ブッシュ宇宙センター,ケネディ宇宙センター,ケネディ宇宙センター
ヒト、イヌ、サル、キジのうち員乳痢でないのはどれ?,理系,イヌ,キジ,サル,ヒト,キジ
次のうち、太陽に最も近い軌道を周る惑星はどれ?     「,理系,金星,水星,地球,火星,水星
次のうち、葉っぱが強いにおいを放つことから名が付けられた低木はどれ?,理系,アサガオ,コムギ,クサギ,ヒマワリ,クサギ
四角形の内角の和と外角の和は、共に何度?      「,理系,960庶,560度,360度,760庶,360度
ある動物に似た鳴き声で鳴くことから名が付いた、北米の草原に生息するリスの仲間は何 ?,理系,プレーリーベア,プレーリーキャット,プレーリードッグ,プレーリーラビット,プレーリードッグ
次のうち、答えが「15」になる九九の計算はどれ?   -,理系,ほたて,さんご,うみうし,ひとで,さんご
2人でじゃんけんをする時と、3人でじゃんけんをする時、あいこになる確率はともに何分の1 ?,理系,3分の1,2分の1,6分の1,4分の1,3分の1
『ペリカン」は、次のうちどんな特徴を持つ鳥 ?         「,理系,飛べないが泳ぎは得意,袋がある大きなくちばし,羽状の美しい和改,片足で立つ,飛べないが泳ぎは得意
樹木の幹を水在に切ったときに断面にみられる、同心円状の木目を何という ?,理系,時輪,樹輪,株輪,年輸,年輸
鉄や銅などのように、産出量が多く第人重が間単な金属を何という3?,理系,ボーカルメタル,ドラムメタル,ギターメタル,ベースメタル,ベースメタル
uc4たどらあ/さク】 にゴン1ュrfc!た、イギリス原族の犬の種類は何 ?,理系,ブルラビット,ブルキャット,ブルバード,ブルドッグ,ブルドッグ
カルシウムやマグネシウムを多く含んだ水を、「較水」に対して何という?,理系,高水,風水,硬水,車水,硬水
アミラーゼやリパーゼなど、食物の栄養分を加水分解して、吸収しやすい形にする酵素を何という?,理系,抑制酵素,消化酵素,呼吸酵素,補酵素,消化酵素
「優性の法則」 「!分離の法則」 「独立の法則」という遺伝の3法則を発見した生物学者は誰 ?,理系,メンデル,ド・フリース,モーガン,ラマルク,メンデル
記号 「cal」 で表される熱量の単位は何?,理系,カルシウム,カラー,カロリー,カルボナーラ,カロリー
「網膜」がある人間の体の問官はどこ 2,理系,肺,最,脳,心臓,最
次のうち、人間の下后身にある筋肉はどれ ?,理系,ヒラメ筋,上腕二頭筋,腹筋,僧帆筋,ヒラメ筋
ジョージ・ガモフによって提唱された、宇宙の始まりに起こったとされる大爆発は何 ?,理系,ビッグサイト,ビッグバン,ビッグクランチ,ビッグベン,ビッグベン
病院の「緊愛外来」のことを、アルファベット2文字で何という ?,理系,EZ,ER,ET,EX,ER
胆のうや尿管などに生じる、石のようなかたまりを何という ?,理系,了石,宝石,化石,結石,結石
漢方」とは、どこの国から日本に伝わった医学 ?  「,理系,タイ,インド,韓国,中国,中国
風がやんで、海がおだやかになることを何という?,理系,ふち,しけ,なぎ,とろ,なぎ
"気象用語では填量
は雲量が9以上である状琵を指す、空の大部分を雲が義った天気を何という?",理系,とちり,かげり,はやり,くもり,くもり
傷口が治るにしたがってできる、皮の膜を何という ?,理系,かさぶた,とじぶた,いのぶた,なべぶた,かさぶた
約150億年前に起こったとされる、宇宙の始まりとなった大爆発のことを何という ?,理系,ビッグバン,ビッグブン,ビッグビン,ビッグベン,ビッグバン
コケから得られる紫色の染料で、化字の実験では指示楽として用いられるものは何 ?,理系,リトサケ,リトアユ,リトタイ,リトマス,リトマス
工業的に重要な「レアメタル」の「メタル」とはどういう物質 ?,理系,金属,織物,木材,磁器,金属
「理研」と略される、文部科学省所官の自然科学系総合研究所は何 ?,理系,理科系研究所,理科総合研究所,理数研究所,理化学研究所,理化学研究所
次のうち、シーラカンスなど、 古代から形状を変えずに残った生物を指まま:ヨちず<ル 果/,理系,生きた標本,生きた記憶,生きた歴史,生きた化石,生きた化石
次のうち、了肉食恐竜はどれ ?,理系,ティラノサウルス,ステゴサウルス,イグアノドン,トリケラトプス,ティラノサウルス
血液中の酸素が欠乏し、皮慮やロ唇が青紫色になる症状を何という ?,理系,チアガール,チアシード,チアダンス,チアノーゼ,チアノーゼ
導線をらせん状にぐるぐる巻きにしたものを何という3?,理系,レアコイル,ギアル,コイル,ジバコイル,コイル
「オーロラ」の語源となった、ローマ得話の紳様は誰 ?,理系,ウェヌス,ミネルヴァ,ユピテル,アウロラ,アウロラ
次のうち、シーラカンスなど、 古代から形状を変えずに残った生物を指まま:ヨちず<ル 果/,理系,生きた化石,生きた記憶,生きた標本,生きた歴史,生きた標本
クラーク数が最も大きい、元素記号6I還のち』中た6円4,理系,酸素,窒素,ホウ素,水素,酸素
病気に対する免疫をつけるために、予めワクチンを投与することを何という ?,理系,楽用接種,防護接種,防犯接種,予防接種,予防接種
次のうち、「レム」「ノフンレム」の2種類に分けられるものはどれ ?,理系,消化,睡眠,呼吸,記憶,睡眠
あることが必ず起こる場合、その「発生確率」はいくつになる 2?,理系,2,3,],0,]
動物実験用のマウスの体の色は、一般的に、何色 ?,理系,曰色,黒色,紫色,余包,曰色
巨大なものを表す例えにもなっている、氷河期に絶減した巨大な牙を持つソゾウは何 ?,理系,チラノザウルス,ネッシー,マンモス,ラフレンア,チラノザウルス
「鍵骨」とは、次のうち体のどのあたりにある骨 2?,理系,自の下,膝の下,人額の下,尻の下,自の下
マイヤーやヘルムホルツが提唱した「エネルギーの総量は変化しない」という法則を何という ?,理系,エネルギー加速の法則,エネルギー圧迫の法則,エネルギー保存の法則,エネルギー遮断の法則,エネルギー保存の法則
「ヨーキー」という愛称で呼ばれる、ペットとしておなじみの犬の品種は何 ?,理系,ヨークシャーテリア,ナチワワ,バーニーズマウンテン,シンベリアンハスキー,ヨークシャーテリア
医学的には「母斑細胞性母斑」という、皮膚の黒い斑点を何という ?,理系,かさぶた,ほくろ,みみずばれ,あざ,ほくろ
「あばら骨」の別名もある、人間の胸の部分に左右12対ある骨を何という?,理系,りっ骨,れっ崩,ろっ骨,らつ崩,ろっ骨
ーー 「O〇OOハチ」や「〇のセミ」の〇の〇に共通して入る動物の名前は何 ?,理系,サル,ネコ,クマ,イヌ,クマ
先の細長いピペットにも名前を残している、組菌学の先駆者として知られるフランスの生化学者は誰 2,理系,パスアイテム,パスグッツ,パスツール,パスハック,パスツール
生糸の原料になるカイコは、成長するとどんな生き物になる ?,理系,カマキリ,ガ,カ,"ーー
ノミ
ee",ガ
2つのベクトルを合わせてひとつにすることを「ベクトルの何」 という?,理系,育成,分解,合成,合体,合成
高血圧や糖尿病など、日常の生活によって発症する病気のことを何という?,理系,食生活病,自己責任病,通常生活病,生活省慣病,生活省慣病
「タランチュラ」といえば、どんな動物の一種?,理系,クモ,カニ,エビ,ムカデ,クモ
三角形の対角線の本数は何本 ?,理系,1本,3本,0本,2本,0本
遠心力、向心力といえば、どんな運動をする物体に働く力 ?,理系,等速直線連動,等加速度直線運動,自由落下,円連動,円連動
太陽系の衛星では最大である、木星のに: E当や9円計0,理系,ガニメデ,タコメデ,エビメデ,イカメデ,ガニメデ
1935年にアメリカで発明された、世界初の合成繊維は何2,理系,ナイロン,バイロン,タイロン,アイロン,ナイロン
ルナ計画、アボロ計画といったら、研究対象となった天体は何 ?,理系,火星,月,太陽,水星,月
血糖値を下げる働きを持つため、糖尿病患者の治療に用いられるホルモンは次のうちどれ?,理系,ビレトリン,インスリン,ブロメリン,プトマイン,インスリン
食べ物を体に吸収できるよう分解する働きのことを何という?,理系,酸化,代謝,文化,消化,消化
薬が持つ、本来の目的以外の好ましくない働きのことを何という 2?2,理系,服作用,複作用,伏作用,副作用,副作用
色素でよく染まったことにちなんで命名された、DNAとヒストンを主成分とする遺伝情報物質は何 ?,理系,発色体,染色体,色素体,感染価,染色体
次のうち、酸性の液体はどれ ?,理系,塩酸,アンモニア水,石放水,砂糖水,塩酸
電気容量の単位「ファラド」の語源となった科学者は誰2,理系,ファインマン,フェルミ,ファン・デル・ワールス,"ファラ
ァラデー","ファラ
ァラデー"
「電気抵抗」「気体定数」 「生径」を表す際に共通して用いられるアルファベットは何 ?,理系,B,S,L,R,R
次の太陽系の天体のうち、表面温度が最も高いのはどれ?,理系,小惑星,恒星,,衛星,恒星
次のうち、「正方形」 と同じ意味なのはどれ2?  間組,理系,正四角形,正六角形,正五角形,正三角形,正四角形
ある果物の房のように実がなることから名がついた、ミカン科の大型相橘類は何 ?,理系,レモンフルーツン,グレープフルーツ,アップルフルーツ,バナナフルーツ,グレープフルーツ
環境にやさしい「汚れ落とし」として掃除にも使われる、「重炭酸ソーダ」の通称は何 ?,理系,車草,重心,車役,重鎮,重鎮
"植物が、光            一          C
パ、光エネルギーによって、水
ーー  ーー  ーー      ーー ヽ ーー ノと二酸化炭素から炭水化物と酸素を作り出す作用を一般に何という ?",理系,成長,光合成,細胞分列,呼吸,光合成
次の人体の骨のうち、下生身にあるの】とちず2ル4 且2,理系,膝蓋骨,胸骨,鼻骨,頭蓋骨,膝蓋骨
次のうち、アルコールはどれ?,理系,アセトン,エタノール,酢酸,ベンゼン,エタノール
中経を興奮させる働きや中毒性がある、タバコに含まれるアルカロイドは何 ?,理系,タコチン,ナコチン,アコチン,ニコチン,ニコチン
地球の内部構造で、地殻と核の間の層のことを何という ?    「,理系,マントルピース,マンボウ,ロマン,マントル,マントル
次のうち、不等号はどれ ?,理系,十,,"TRRKW5モセシモモぎtぎtぎ〒YTIEI1WmWmQ9ワ99
る",,"TRRKW5モセシモモぎtぎtぎ〒YTIEI1WmWmQ9ワ99
る"
「プレパラート」とは、どんな器具で試料を観察するときに使うもの ?2,理系,顕微鏡,万華鏡,,双最鏡,顕微鏡
罰ま5/2YnrPカEEi【ひちゆ値のことを特に何風速という ?,理系,利那風速,寸時風速,即刻風速,瞬間風速,瞬間風速
昆虫が、さなぎから成虫になることを何という?,理系,閉化,人化,物化,翔化,物化
道路の舗装に用いられる、和石油を原材料とした黒い物質は何 ?,理系,キョウファルト,キノワウファルト,オトトイファルト,アスファルト,アスファルト
"陽子とともに原子核を構成している、電気を帯
帯び
びていない素粒子は回角",理系,男性子,両性子,女性子,中性子,中性子
陽子と中性子からなる原子の構成要を何という ?,理系,原子格,原子角,原子核,原子閣,原子核
液体の表面で、液体が気体になることを何という?,理系,触発,挑発,,蒸発,蒸発
日本酒や醤油などの製造に使われる、米や大豆を発酵させる人性質を持つ菌は何?,理系,麹菌,大腸秋,ビフィズス菌,納豆國,麹菌
日本語では「紅玉」と呼ばれる鉱石は何 ?        ーー,理系,ラピスラズリ,ペリドット,オパール,ルビー,ルビー
金をも溶かす「王水」は、塩酸と何を混合してできる液体 ?    「,理系,硝酸,里酸,表酸,灰酸,硝酸
次のうち、Googleが開発したスマートフォン向けOSの名前はどれ 2?,理系,Humanoid,Android,Robot,Cyborg,Android
次の生物のうち、魚類に分類されないものはどとどれ?,理系,ヨウジウオ,サンショウウオ,キュワウリウオ,マツカサウオ,サンショウウオ
"水の沸点は、摂氏でおよそ何""C ?",理系,1000C,100で,10C,10000C,100で
見た目がある妖怪に似ていることから名がついた、ボルネオ島に生息するサルの仲間は何 ?,理系,ヌリカベザル,カッパザル,ウミボウズザル,テングザル,テングザル
次のうち、花の種類にあるのはどれ 2?,理系,ワンタンメン,カントンメン,シクラメン,フーメン,シクラメン
和名を三色スミレという、園芸でおなじみの花は何 ?,理系,ダリア,ポインセチア,パンジー,エーデルワイス,パンジー
地球以外の天体を、人間が居住できる環境に作りかえることを何という?,理系,テラフォーミング,ペタフォーミング,ギガフォーミング,メガフォーミング,テラフォーミング
体形はリュウキンと同じだが、目が大きく飛び出している金魚の種類は回角,理系,ランチュワウ,アズマニシキ,デメキン,トサキン,デメキン
消化液に含まれていて、デンプンやタンパク質を分解する物質は何?,理系,酵素,塩素,酸素,解素,酵素
だ液に和含まれている消化酵素は何?,理系,ペプチターゼ,トリプシン,アミラーゼ,ペプシン,アミラーゼ
次のうち、鳥類の生き物はどれ ?,理系,イヌ,キジ,ヒト,サル,キジ
