Q,Category,K1,K2,K3,K4,A
スクウェア・エニックスのゲーム !ナナン ノ ゲエム」は、ジャンルでいうと何ゲーム ?,アニメゲーム,音楽ゲーム,スポーツゲーム,ホラーゲーム,シューティングゲーム,ホラーゲーム
RPG『ファイナルファンタジー』」の職業で、攻撃魔法を中心に唱えるのは何魔術士 ?,アニメゲーム,系魔術士,黒魔術士,黄魔術士,衣魔術士,系魔術士
RPG『ドラゴンクエスト』で、ゲームを再開するためのパスワードは「何のじゅもん」 ?,アニメゲーム,さいせいのじゅもん,さいかいのじゅもん,ふつかつのじ ゆゅもん,こうりんのじゅもん,ふつかつのじ ゆゅもん
漫画『うちはサスケの写輸眼伝』は何という漫画のスピンオフ作品 ?,アニメゲーム,NARUTO,暗殺教室,ONE PIECE,銀魂,NARUTO
次のうち、2008年から日本テレビでリメイク版が放送されたアニメはどれ?,アニメゲーム,ゼンダマン,ヤットデタマン,タイムボカン,ヤッターマン,ヤッターマン
_ アニメ『遊広戯京王』の続編のタイトル 『遊奴戯尋王〇つ〇〇モンスターズ』。〇の〇〇は ?,アニメゲーム,クライム,デュエル,ラジカル,パワフル,デュエル
次のスポーツ漫画のうち、野球を描いたものでないのはどれ2?2,アニメゲーム,タッチ,キャプテン胃,MAJOR,プレイボール,キャプテン胃
漫画『金田一少年の事件簿』で、明呑健吾や剣持田が務めているのは次のうちどとどこ?,アニメゲーム,消防庁,教育庁,交通局,次富庁,次富庁
"アニメ『それいけ! アンパンマン』の登場
キャラクタ
ーで
アンパンチを得意技とするのは誰 ?",アニメゲーム,アンパンマン,しょくばんまん,ばいきんまん,カレーパンマン,アンパンマン
にンジルトど中還KG症三52)のことを「ワガハイ」と呼ぶキャラクターは誰 ?,アニメゲーム,コロ助,みよちゃん,キテレツ,意三さん,キテレツ
ゲーム 「スーーパードンキーコング』で、ドンキーコングが投げて敵を攻撃するのは次のうちどれ?,アニメゲーム,ペットボトル,タル,空き和缶,ビン,タル
音楽ゲーム『リズム怪盗R 皇帝ナポレオンの遺産』。 舞台の国はどこ ?,アニメゲーム,アメリカ,ロンア,インド,フフンス,フフンス
アニメ 1!美少女戦士セーラームーン』で、セーラームーンに変身する女の子は誰 ?,アニメゲーム,水野亜美,火野レイ,月野うさぎ,木野まこと,月野うさぎ
超一流のスナイパー、デューク東郷が主人公である、さいとう・たかをの漫画は何 ?,アニメゲーム,どろろ,ゴルゴ13,エイトマン,その名は101,ゴルゴ13
llに1のた:】間EXる:当で、怪盗キッドがかぶっているシルクハットの色は何色 ?,アニメゲーム,青色,日色,赤色,黒色,日色
アニメ「『ONE PIECE』で、主人公のルフィの声をあてている声優は誰 ?,アニメゲーム,山口由里子,田中真弓,岡村明美,大谷育江,田中真弓
しけげの秀一の漫画『〇文字D』の〇に入る言葉は何 ?   ーー,アニメゲーム,腕,征,豆,胸,豆
次の『ガンダム』シリーズのうち、「種」や「種ガン」などと略される作品はどれ ?,アニメゲーム,機動新世紀ガンダムX,機動戦士ガサンダムAGE,機動戦士ガンダムSEED,機動戦士ガンダム00,機動戦士ガンダムSEED
「大リーグボール」という魔球が登場する野球漫画は何 ?,アニメゲーム,巨人の量,侍ジャイアンツ,ドカベン,タッチ,巨人の量
漫画『ドラえもん』の登場人物、剛田武のニックネームは何 ?,アニメゲーム,ジャイアン,ニャイアン,ライアン,ダイアン,ジャイアン
ファミコンゲーム 『アイスクライマー」ほはどんな場所を舞台にしたゲーム ?,アニメゲーム,海底,水の山,砂漠,ビル,水の山
アパート「一刻館」が舞台となっている高橋劉美子の漫画は何 ?,アニメゲーム,めぞん一亡,境界のRINNE,犬夜叉,うる星やつら,めぞん一亡
格闘ゲーム『ストリートファイターI に登場する「エドモンド本田」ののjn中4たす呈2,アニメゲーム,インド,日本,アメリカ,ブラジル,日本
ヒロインの園田なるみら5人の男女の青春模様を描いた、柴門ふみの漫画は『〇OO〇OO〇自書』。 の〇〇〇は ?,アニメゲーム,あすなろ,せこいあ,ゆりのきさ,くすのき,あすなろ
次の小山ゆうの漫画のうち、陸上を描いているものはどれ?,アニメゲーム,スプリンター,がんばれ元気,おてい!竜馬,あずみ,スプリンター
「月刊少年エース』連載の漫画『たのしい甲子園』」はどんなスポーツを押いたギャグ漫画 ?,アニメゲーム,野球,サッカー,ゴルフ,テニス,野球
セガのキャラクター 「ソニック・ザ・ヘッジホッグ」は、何といウリレン【のヒンルンルン: とこ/,アニメゲーム,ウォンバット,カモノハンシ,ハリモグラ,ハリネズミ,ハリネズミ
アメリカンコミックのヒーロー、スーーパーマンのマントの色は何色 ?,アニメゲーム,赤,日,"に ゴ
月",県,赤
漫画『ドラえもん』で、ドラえもんに誰を助けに未来からやってきた ?,アニメゲーム,のび太,ジャイアン,スネ夫,しずか,のび太
『金田一少年の事件簿』の主人公、金田一の宜父にあたるのは誰 ?,アニメゲーム,金田一耕助,金田一京助,金田一秀穂,金田一春彦,金田一耕助
映画『トイ・ストーリー」に登場する、ジャガイモの顔をした人形の名前は次のうちどれ?,アニメゲーム,ウッディ,ミスター・ポテトヘッド,バズ・ライトイヤー,レックス,ミスター・ポテトヘッド
原始時代風の世界を舞台とする、園山俊二の代表作であるギャグ漫画は回角,アニメゲーム,ビャートルズ,ピャートルズ,ジャートルズ,ギャートルズ,ギャートルズ
漫画家「とりやまあきら」の名前を漢字ではどう書く2,アニメゲーム,鳥山章,鳥山晃,鳥山明,鳥山昭,鳥山明
釣木央の漫画『七つの大罪』に登場する「七つの大罪」の次のメンバーのまっ8了*4にた : 半/,アニメゲーム,"デ   さN
イアンメ",ゴウセル,バン,メリオダス,"デ   さN
イアンメ"
ゲーム 『レイトン教授』シリーズ第1作のタイトル『レイトン教授とご〇つ〇』。 の〇〇〇は何 3,アニメゲーム,悪魔の箱,魔御の笛,何跡の仮面,不思議な町,不思議な町
南の島で様々なレジャーゲームやスポーツゲームを楽しむという内容のWiのゲームは何 ?,アニメゲーム,GO VACATION,たべモン,風のクロノア,太鼓の達人Wii,GO VACATION
小田扉の漫画『模須賀にずえ』の舞でとなっている県はどこ ?  -,アニメゲーム,埼玉県,碧奈川県,千葉県,茨城県,碧奈川県
4コマ漫画の構成は「起承転結」という四字熟語で表されますが、3コマ目にあたるのはとどれ?,アニメゲーム,結,承,転,EE,EE
アニメ映画 『シュレック』の主人公シュレックの体の色は何色 ?,アニメゲーム,緑,赤,黄,県,緑
村川和宏の漫画『歩武の駒』の題材となっているのは次のうちどれ2,アニメゲーム,オセロ,将棋,チェエス,囲碁,将棋
次のうち、ゲーム 『マリオゴルフワールドツアー』に登場しないキャラクターはとれ?,アニメゲーム,マリオ,クッパ,リンク,ヨッシー,リンク
漫画『ドラえもん』で、ドラえもんがネズミに食べられたのは体のどこの部分 ?,アニメゲーム,へでそ,"芋
呈紅",耳,尻尾,耳
漫画『ONE PIECE』に登場する「ゴムゴムの実」などの果実のことを何という2,アニメゲーム,愚者の実,盟者の実,天使の実,悪魔の実,悪魔の実
水沢めぐみの漫画『姫ちゃんのてCX)〇つ』。〇OO〇は何?,アニメゲーム,リード,リング,リボン,リスト,リボン
2019年に『のひび太の月面探査記」と【う劇場版の作品が公開されたアニメに回角,アニメゲーム,名探偵コナン,ドラえもん,クレヨンしんちゃん,ちびまる子ちゃん,ドラえもん
アニメ『ドラえもん』で、ドラえもんが生まれたのは何世紀 ?,アニメゲーム,16世紀,20世紀,18世紀,22世紀,22世紀
アニメ !シティーハンター』のエンディング曲『Get Wild』を歌ったグループは何 ?,アニメゲーム,TM NETWORK,SEX MACHINEGUNS,AURA,PSY・S,TM NETWORK
次のうち、アニメ『ルパン三世』に登場しないのは誰 ?,アニメゲーム,七瀬美雪,壮形登部,次元大介,石川五工門,七瀬美雪
ゲーム 『ファイナルファンタジーJの第1作目に登場する2種類の魔法とは、黒魔法と何?,アニメゲーム,曰魔法,銀魔法,欄魔法,系魔法,曰魔法
次の漫画のうち、主人公が眼鏡をかけているのはどれ2?,アニメゲーム,ONE PIECE,ハイキュー!!,斉木楠雄のW難,銀魂,斉木楠雄のW難
「ドラクエ」の愛称で呼ばれるゲームシリーズといえば何 ?,アニメゲーム,ドラマクエスチョン,ドラマクエスト,ドラゴンクエスト,ドラゴンクエスチョン,ドラゴンクエスト
ゲーム『太鼓の達人』で、太鼓のフチを叩く音は何と表現されている ?,アニメゲーム,カッ,キッ,ゴツ,クッ,カッ
「ビッグコミックスピリッツ』連載の次の漫画のうち、実写映画化された作品はどれ?,アニメゲーム,団地ともお,じみへん,間金ウシジマくん,気まぐれコンセプト,間金ウシジマくん
次のうち、「光線銃」を使って遊ぶたこ アル すんとすっル,アニメゲーム,アイスクライマー,ドンキーコング,ホーガンズアレイ,エキサイトバイク,ホーガンズアレイ
東宝の映画に登場する怪獣、キングギドラの頭の数はいくつ?,アニメゲーム,2Zつ,3つ,Sつ,4つ,3つ
関口将太を主人公とする寺沢大介の料理漫画のタイトルは『将太の何』 ?,アニメゲーム,フーメン,中華,寿可,カレー,寿可
次のうち、セガ・インタラクティブが2015年に稼働した音楽ゲームのタイトルはとれ?,アニメゲーム,コウイチズム,チュウイチズム,チュウニズム,チュウサンズム,チュウニズム
赤塚不二夫の漫画『おそ松くん』に登場するヒロインの女の子の名前は回角,アニメゲーム,ママ,トト子,ルル子,ペペ,トト子
apア/3のが:JE間674還のたとシュアメコなった児童文学は何 ?,アニメゲーム,オズの腐法使い,小公子,赤毛のアン,トム・ソーヤーの冒険,オズの腐法使い
アニメ『ドラえもん』で、水田わさびの前にドラえもんの声を演じていた声優は誰 ?,アニメゲーム,大山のぶ代,小原乃梨子,野村道子,肝付無太,大山のぶ代
次のうち、「じゅんじゅん」という愛称で呼ばれる男性声優は誰 ?,アニメゲーム,森川智之,玉山潤,紳谷浩史,梶裕貴,玉山潤
7つ集めると願いを叶えてくれる龍が出てくるという球が登場する漫画は何 ?,アニメゲーム,キン肉マン,ドラゴンボール,ハイスクール ! 奇面組,北斗の人挙,ドラゴンボール
クリス・ミラー監督で公開された、ネコを主人公としたアニメ映画は「何をはいたネコ』 ?,アニメゲーム,ブーツ,長ぐつ,ハイヒール,わらじ,長ぐつ
シャーロック・シェリンフォードなどの4人で構成される「ミルキィホームズ」とはどんなチーム ?,アニメゲーム,探偵,バスケ,落語,バンド,探偵
クトウゥルー斬話の「ニャルラトホテプ」がヒロインのアニメは『造いよれ!〇〇〇』 。 の〇び〇は ?,アニメゲーム,まひろさん,クー了チさん,ハス太さん,ニャル子さん,ニャル子さん
iaレルウンクンで攻39セたンシルンターが登場する鳥山明の漫画は何 ?,アニメゲーム,ウイングマン,キャプテン胃,キン肉マン,Drスランプ,Drスランプ
「夢の超人タッグ編」といえば、何という漫画の中のシリーズ ?  「,アニメゲーム,秀近戯交王,SLAM DUNK,ONE PIECE,キン肉マン,キン肉マン
漫画家のアシスタントを務める浪川睦を主人公とする、タアモの温画は回角,アニメゲーム,姉の結婚,アシさん,海街diary,さんすぐくみ,アシさん
漫画『こちら葛飾区亀有公園前派出所』の主人公、両さんのフルネームは「両津何」 ?,アニメゲーム,速人,基吉,大次郎,"主-ー
二",基吉
氷尾まるの漫画『猫絵十兵衛 御伽草紙』の舞台となっているのは何時代 ?,アニメゲーム,弥生時代,在安時代,明治時代,江戸時代,江戸時代
漫画『からくりサーカス』で、加藤鳴海がかかったのは、人をどうしないと死んでしまう病気 ?,アニメゲーム,泣かせる,甘らせる,笑わせる,穴らせる,笑わせる
佐野茶見の漫画『坂本ですが〇』 の〇に入るマークは何 ?,アニメゲーム,,?,ーー,J,?
漫画『うる星やつら』で、ラムのビネキォニの柄はどれ?,アニメゲーム,水玉,虎縮,無地,チェック,虎縮
アニメ『北斗の挙』で、主人公・ケンシロウの声を演じた声優は誰 ?,アニメゲーム,紳谷明,古川登志夫,古谷徹,ニツ矢雄二,紳谷明
漫画 リテニスの王子様』の主人公である、帰国子女の少年の名前は何 ?,アニメゲーム,橘枯在,不二裕太,越前リョーマ,千石清純,越前リョーマ
IEのた:間が:当還ひだたんの)と=た円7     -,アニメゲーム,日向翔陽,磯部磯兵衛,黒子テツヤ,坂田銀時,坂田銀時
次の藤子不二雄Aの漫画のキャラクターのうち、シンゾウという弟がいとの】と中 : 者4,アニメゲーム,鍋者ハットリくん,怪物くん,プロゴルファー猿,オバケのQ太郎,鍋者ハットリくん
投強の力を手に入れたサイタマを主人公とする、ONEと村田雄介の漫画のタイトルは何 ?,アニメゲーム,タンパンマン,ワンパンマン,ザンパンマン,カンパンマン,ワンパンマン
漫画 リテチツぼん』で、主人公は何のヾニア?,アニメゲーム,鉄道,カメラ,ゲーム,切手,鉄道
次のうち、宇宙人が登場する漫画はどれ?,アニメゲーム,オールラウンダー廻,かくかくしかじか,恐竜大紀行,ラブラブエイリアン,ラブラブエイリアン
アニメ『「はじめ人間ギャートルズの主人公の男の子の名前は何2,アニメゲーム,ゴン,ボン,ドン,パン,ゴン
「WJ」と表されることもある漫画雑生和回記2,アニメゲーム,週刊少年ジャンプ,週刊少年マガジン,週刊少年サンデー,週刊少年チャンピオン,週刊少年ジャンプ
人間の体内を舞台に、擬人化された赤血球や白血球が活躍する、清水茜の漫画は何 ?,アニメゲーム,将国のアルタイル,はたらく細胞,大江戸妖怪かわら版,蒼宮のファフナー,はたらく細胞
アニメ 『機動戦士メガンダム』。この「Z」は何と読む ?2       -,アニメゲーム,ズータ,ゼット,ゼータ,ズィー,ゼータ
2014年に続編も発売されたRPG『俺の〇を越えてゆけ』。〇に入るのは回角,アニメゲーム,慎,脳,位,頭,慎
ティズニー映画『アナと雪の女王』で、アナの姉エルサの声を演じた女優は誰 ?,アニメゲーム,篠原涼子,松たか子,広未涼子,藤原紀香,松たか子
「ドラえもん』の登場人物・ジャイかガクルて1たく7,アニメゲーム,出木杉英才,剛田武,野比のび太,骨川スネ夫,剛田武
漫画のジャンルで、恋愛をベースにした喜劇漫画のことを何という ?,アニメゲーム,ラブケメ,ラブコメ,ラブカメ,ラブキメ,ラブコメ
原作を西尾維新が手掛けた、週刊少年ジャンプで連載された暁月あきらの漫画は何 ?,アニメゲーム,どじょうボックス,めだかボックス,いわなボックス,やまめボックス,めだかボックス
漫画『寸劇の巨人』といえば、何という漫画のスピンオフ作品2?,アニメゲーム,進撃の巨人,アホガール,トモダチゲーム,悪の華,進撃の巨人
2014年に公開された『ドラえもん』のアニメ映画『〇OO〇OO〇 BY ME ドラえもん』。 〇〇〇は何 ?,アニメゲーム,SIT,STAND,RUN,WALK,STAND
やなせたかしの絵本が原作のアニメ『OOO!アンパンマン』。「〇〇〇」の中に入るのは何 ?,アニメゲーム,それいけ,たたかえ,がんばれ,まけるな,それいけ
住天堂のゲームのタイトルで、『ゼセルダの』とくれば何と続く?,アニメゲーム,伝説,,鏡,株,伝説
次の小山ゆうの漫画のうち、舞台となっている世界が最も古い作品はどれ?,アニメゲーム,あずみ,おれは直角,スプリンター,がんばれ元気,あずみ
2013年公開のアニメ映画『風立ちぬ』の監督は誰 ?,アニメゲーム,宮崎駿,細田守,押井守,庵野秀明,宮崎駿
漫画『美味しんぼ』。 主人公、山固本【1の9】唱本ヨちる円,アニメゲーム,フリーカメラマン,JR職員,俳優,新聞記者,新聞記者
次のうち、ゲーム『ゼルダの伝説』シリーズの副題にないものはどれ2?,アニメゲーム,ムジュラの仮面,監獄島のわらべ唄,時のオカリナ,碧々のトライフォース,監獄島のわらべ唄
