もともとはトマス・モアの小説に由来する、理想卿という意味の言葉は回角,文系,ユートピア,シャンバラ,アルカディア,エルドラド,ユートピア
次のうち、女性推理作家は誰 ?,文系,古野まほろ,宮部みゆき,綾辻行人,麻耶雄高,宮部みゆき
日本の歴代総理大臣で、「赴夫」とちあ導還ESまことにコと 円時,文系,野田,安倍,貴田,麻生,貴田
"』よ 一 小己> が
玄導三蔵、孫悟空、沙悟浄などが登場する、中国・明の時代の小説は回角",文系,北遊記,西遊記,東遊記,南遊記,西遊記
"利用距離に応じてポイントが貯まる、航空会仁のサ
ービスを
何という?",文系,キャンドルサービス,マイレージサービス,シークレットサービス,セルフサービス,マイレージサービス
おせち料理などを詰めて、何段にもかさねられる容器を何という ?2,文系,とび御,くつ箱,筆箱,生稲,生稲
毎年7月に京都の八坂紳往で行われる祭り「〇〇祭り」。〇〇に入る言葉は何 ?,文系,表眼,里酸,"疑念
N",太園,表眼
"作家のゲーテが死の間際に残した言葉「Mehr Licht!」。 日本語ではどのような意味 ?
W
にあこ  ゃ",文系,もっと音を !,もっと水を!,もっと風を!,もっと光を !,もっと光を !
日本にキリスト教を伝えた宣教師は誰?,文系,バリニャーノ,ザビエル,フロイス,ロヨラフ,ザビエル
世界最高峰のエベレストは、チベットでは何とよばれている2?,文系,チヨョモランマ,トウゥマウンテン,マントーキン,モンブラン,チヨョモランマ
明治天皇が崩御した1912年に始まった、日本の元号は何 2,文系,大正,小林,大塚,エスエス,大正
織田信長の性格を表した言葉「鳴かぬなら〇〇〇ほととぎす」。〇〇〇は何 ?,文系,逃がしてしまえ,殺してしまえ,鳴くまで待とう,鳴かせてみよう,殺してしまえ
次のうち、言葉の発音の高低・強弱や、話し方の調子を意味する言葉はとれ?,文系,パーセント,クレセント,アクセント,コンセント,アクセント
ことわざ「弘法にも筆の誤り」の「弘法」が指す僧介は誰2,文系,最海,道元,親牧,空海,空海
刺身を中国語で書くとどれ?,文系,餃子,麻姿豆腐,提球,生魚片,生魚片
津田塾大学の前身・女子英学塾を創した人物は誰?  ーー,文系,津田桜子,津田松子,津田梅子,津田多子,津田梅子
苦しいことも時間が経てば忘れるという意味のことわざ「〇〇〇過ぎれは熱さを忘れる」。〇の〇〇は何 ?,文系,みぞでおち,えりあし,くるぶし,のどもと,のどもと
インドの衝都はどこ?,文系,ニューデリー,ニュージーランド,ニューギニア,ニューヨーク,ニューデリー
縁起のいい初夢とされているのは、一冨士・二鷹、三に何?,文系,加子,高楽,胡所,南爪,加子
東海道新幹線で、東京駅を出て最初のちる幅7    「,文系,小田原駅,nn川駅,,,nn川駅
次のうち、うわべだけ元気なように見せかけることを意味する言葉はどれ?,文系,海元気,山元気,空元気,川元気,空元気
章話『オズの魔法使い』」に登場する「木こり」は、何からできている ?,文系,レンガ,ブリキ,ガラス,トタン,ブリキ
三菱電機のエアコンの名前にもなっている、長野県にある山は何 ?,文系,雨ケ峰,雪ヶケ峰,晴ヶ峰,霧ヶ峰,霧ヶ峰
江戸幕府の5代将軍徳川綱吉は何公方と呼ばれた?          「     「,文系,狂,犬,米,,犬
文字のひらがなやカタカナが発明された国はどこ ?,文系,日本,ネパール,北朝鮮,インド,日本
日本では、ふつう「ハイジャック」とはどんな乗り物を乗っ取ることを指す?,文系,航空機,タクシー,路面電車,バス,航空機
日本には6世紀頃に伝わった、お釈5あの)お各具すう4と円肝?,文系,仏教,イスラム教,キリスト教,ユダヤ教,仏教
「伊州」とも呼ばれる旧国名は何 ?,文系,伊賀国,日向国,,加伯国,伊賀国
カボチャの馬車やガラスの靴が登場する、有名な童話といえば何 ?,文系,親指姫,シンデレラ,眠れる森の美女,白雪姫,シンデレラ
次のうち、見割うべき人や物事を意味する言葉はどれ?,文系,足本,口本,手本,目本,手本
次のうち、中東の都市ドーハに本拠を置く航空会吐はどれ?,文系,エール・フフンス,カタール航空,デルタタ航空,日本航空,カタール航空
小説『舞姫』や『高瀬月』を書いたた:考信             -,文系,森了鳴外,代川龍之介,夏目激石,沢賢治,森了鳴外
選挙で、各党が獲得した得票数に応じて当選者を振り分ける制度を何という ?,文系,比例代表制,相似代表制,分数代表制,微分代表制,比例代表制
明らかな嘘のことを、ある色を使って何という?,文系,真っ赤な嘘,真っ青な嘘,真っ黒な距,真っ白な中,真っ赤な嘘
次のうち、「おけらになる」という言葉の意味はどれ ?2   」,文系,大声で歌う,お茶を飲む,賭け事で勝つ,所持金がなくなる,所持金がなくなる
ギリシャ紳ち話に登場するポセイドンといえば、何の旨様 2,文系,リリ,海,酒,太陽,海
国王や大統領など、外国に対して国家の代表を務める役割を持つ国家機関を何という?,文系,元腕,元自,元彰,元中,元自
いらだちを表す仕草を、ある体の一部を使って何という 2?,文系,足打ち,舌打ち,目打ち,手打ち,舌打ち
新型の自動車を、1つの会場に数多く集めた展示会を何という ?,文系,ワイドショー,モーターショー,レイトショー,ディナーショー,モーターショー
次のうち、「結局のところ」という意味の言葉はどれ ?   」,文系,すずのつまり,とどのつまり,ほぼのつまり,ただのつまり,とどのつまり
日本の新幹線で、路線名に「山」とつくのは、山形新幹線と何 ?,文系,じょうえつ新幹線,とうかいどう新幹線,さんよう新幹線,あきた新幹線,さんよう新幹線
「何事も成し遂げるには時間がかかる」という意味のことわざは、「桃栗三年のO〇」。 〇〇の〇は ?,文系,柿八年,梅八年,梨八年,杏八年,柿八年
中国の小説『西遊記』で、和孫悟空たちを従えて天生を目指す僧は誰 ?,文系,ー寸法師,癌撲法師,三蔵法師,琵琶法師,三蔵法師
フランス国歌の名前は?,文系,君が代,星条旗,女王陸下万歳,ラ・マルセイエーズ,ラ・マルセイエーズ
ノートルダム大聖堂、シテ島、オランジュリー美術館などの観光名所がある都市はどこ ?,文系,デトロイト,バンコク,パリ,ナイロビ,パリ
局沢賢治の著作はどれ?,文系,風の又三郎,知れ髪,月に咲える,おらが春,風の又三郎
中東の国・アフガニスタンの首都はとどこ?2,文系,サボール,カブール,ナグール,モグール,カブール
主人公の男子大学生がどのサークルを選ぶかで大学生活がどう変わるかを所いた、森見登美彦の小説は何 ?,文系,八崩生紳話大系,四畳生紳話大系,六畳年紳話大系,二畳生紳話大系,四畳生紳話大系
一見関係がないように見えて実は同類であることの例え「同じ穴の〇〇(〇」 o 〇〇〇は何 ?,文系,むじな,うさぎ,もぐら,いたち,むじな
トヨタ自動車が本視を置く豊田市といえば、どこの都道府県にある都市 ?,文系,忠岡県,北海道,岡山県,愛知県,愛知県
「みにくいアヒルの子」は、おとなになったら何になった?,文系,白島,がちょう,アヒル,カモ,白島
街頭などで通行人に声をかけ、言葉巧みに商品を売り付ける販売法を何という2,文系,ディプロマミル,ネガティブオプション,クーリングオフ,キャッナセールス,キャッナセールス
次のうち、子どもをあやす声をタイトルにした、 草川龍之介の小説はどれ?,文系,あペぺペぺペペ,あめぬぬめぬぬ,あばばばば,あんんんん,あばばばば
どの方向にも障害があって手の打ちようがないことを、陰陽道に由来する言葉で何という ?,文系,八方ふさがり,二方ふさがり,六方ふさがり,四方ふさがり,八方ふさがり
中国の古代王朝・唐の都が置かれた都市はどこ2,文系,長安,重慶,潮陽,成都,長安
姓名の頭文字をアルファベットで表記したものを何という ?2,文系,スペンシャル,ポテンシャル,イニシャル,コマーシャル,イニシャル
「三陸地方」の「三陸」が意味する3つの旧国は、陸前、陸中と何 ?,文系,陸後,陸下,陸奥,陸横,陸奥
物事に興味や関心が生じることを、「食指が動く」といいますが、この「食指」とは何のこと?,文系,楽指,中指,人差し指,小指,人差し指
別れた男女が再び元の関係になることをいった言葉「〇〇を戻す」。 で)つつは何 ?,文系,とり,ほり,より,もり,より
IAにゴリニミレん9ミ【クルアル醒めのち市場の暴落をきっかけとする世界的な景気後退を何という?,文系,世界終陽,世界角角,世界絶滅,世界恐慌,世界恐慌
「日本アルプス」の「南アルプス」がまたがる県はどこ ?2,文系,広島、岡山、兵庫,熊本、鹿児島、宮崎,長野、静岡、山礎,和歌山、奈良、三車,長野、静岡、山礎
九州にある都道府県で、九州本土にない「奄美市」と「西之表市」 といえばどこの都道府県の市?,文系,鹿児島県,長崎県,熊本県,忠岡県,鹿児島県
次のうち、アフリカ大陸にある国はとれ?,文系,ガード,ガーナ,ガール,ガーゼ,ガーナ
アテネ近郊の森を舞台にした、シェイクスピアの代表的喜劇は ?,文系,秋の夜の夢,夏の夜の夢,春の夜の夢,冬の夜の夢,夏の夜の夢
次のうち、純粋で傷つきやすい性質を意味する言葉はどれ?,文系,オリーブ,グローブ,ナイーブ,スリーブ,ナイーブ
スペイン語で「草原」を意味する、アメリカ・ネバダ州の「カジノの街」はどこ2?,文系,ニューヨーク,ラスベガス,"ン
アトル",ワシントン,ラスベガス
次のうち、大阪、紳戸、明石などの都市が面している湾はどれ ?,文系,伊勢湾,博多湾,大阪湾,東京湾,大阪湾
SAと略される、高速道路にある給油・食事・手洗いなどの設備を整えた休憩所は何 ?,文系,ジャンクション,サービスエリア,パーキングエリア,インターチェンジ,サービスエリア
津軽下野や長野盆地で生産が盛んな果物は何2,文系,ミカン,リンゴ,ザクロ,バナナ,リンゴ
"章話『おおきなかぶ』は、主に、かぶをどのようにする様子を描いた物ほ』
品= ?",文系,育てる,調理する,食べる,地面から引き抜く,地面から引き抜く
沙化生の生産が日本一の都道府県はとどこ?2,文系,千葉県,山梨県,奈川県,埼玉県,千葉県
江戸時代に与謝林村が詠んだ俳句「茶の花や月は東にOO〇OO〇」。 〇〇つつは何 ?,文系,日は西に,日は北に,日は南に,日は東に,日は西に
ローマの「トレビの泉」の言い伝えで、投げ入れると願いが叶うと言われるものは何 ?,文系,トマト,マカロニ,,コイン,コイン
「富士には、月見草がよく似合う」という一節が有名な、太宰治の小説は何?,文系,富獄百景,北岳百景,天保山百景,剣岳白景,富獄百景
T甲信越地方」の「越」が指す旧国名は何? 。     -,文系,越境,越権,越後,越南,越後
『本陣殺人事件」 で初登場した、横溝正まが生み出した名探偵は誰 ?,文系,江戸川コナン,シャーロック・ホームズ,オーギュスト・デュパン,金田一耕助,金田一耕助
学校の新入生や会往の新壮員が、新しい環境に慣れずに陥る精利的な不安定症状を何という ?,文系,九月病,三月病,五月病,七月病,七月病
次のうち、順番や位置が本来とは逆であることを意味する言葉はどれ 2?,文系,やまこべ,あべこべ,だてこベべ,はまこベべ,あべこべ
和田竜の小説『のぼうの城』は、次のうち、どのジャンルの小説 ?,文系,推理小説,歴史小説,冒険小説,SF小説,歴史小説
アメリカの通貨 「ドル」のマークの由来となったアルファベットは何 ?,文系,Y,S,C,P,S
俗に、地震を引き起こすといわれるのはどれ?2,文系,エイ,メダカ,サメ,ナマズ,ナマズ
成功した時こそ気を引き締めよ、という意味のことわざ「勝って〇〇〇の緒を締めよ」。 〇〇〇は何 ?,文系,腔当て,男,小手,上,上
1867年、大政奉本によって江戸城を明け渡した、江戸幕府最後の将軍は上:壮4,文系,豊臣秀吉,徳川慶喜,織田信長,徳川家康,徳川慶喜
廃藩置県、地租改正、徴兵制、殖産興業などの政策が行われた、日本の歴史的な変時といえば何 ?,文系,明治維新,,昭和維新,大正維新,明治維新
次のうち、ポルトガル語に由来して名づけられたお旧子はどれ ?,文系,ようかん,まんじゅう,カステラ,かさ氷,カステラ
所沢市、川越市、川口市、草加市などの市がある都道府県はどこ?,文系,長崎県,秋田県,兵庫県,埼玉県,埼玉県
古代中国で同盟を結ぶ際に行われた習慣に由来する、団体の支配者になることを指す言葉は何 ?,文系,多古を執る,犬省を執る,和牛耳を執る,豚邊を吾る,和牛耳を執る
オーディン、トール、ワルキューレなどが登場する紳話は何 ?,文系,中東紳話,相域紳話,北欧紳話,南米紳話,北欧紳話
元々は「偶像」という意味がある、あこがれの的や、熱狂的ファンを持つ人を指す言葉は何 ?,文系,アイドル,コンドル,プードル,ハンドル,プードル
中国の人口抑制政策の呼称は?,文系,一人っ子政策,結婚抽選制政策,去勢政策,所得倍増政策,一人っ子政策
阿票湖といえば、何で有名?,文系,"ミミズ
es
人",カエル,ホタテ,マリモ,マリモ
スペイン語で「豊かな海岸」という意味がある中南米の国はコスタ〇^)〇つ。〇の〇〇は ?,文系,リカ,シャカイ,コクゴ,サンスウ,リカ
ヨーロッパとアメリカ大陸の間にあとと                           「,文系,日本海,インド洋,オホーツク海,大西洋,大西洋
京都の観光名所で、思い切った行動を「ここの舞台から飛び降りる」といわれるのはどこ?,文系,清水寺,龍安寺,天龍寺,南禅寺,清水寺
次のうち、「六法」 に含まれる法律はどれ ?    -,文系,合法,"憲法
へ/","負法
と",手法,"憲法
へ/"
「イチゴパンツ」という語呂合わせもある、「本能寺の変」が起きた年は西暦何年 ?,文系,1482年,1382年,1582年,1282年,1582年
次のうち、相手の機嫌を取ろうとしてこびへつらうことを意味する言葉はとどれ?,文系,おべっか,れべっか,とらいべっつか,かべっか,おべっか
伊達政示の幼名 !拓天〇」や源義経の幼名「牛若つ」の〇に共通して入る文字は何 ?,文系,三角,丸,円,四角,丸
「共同企業体」を意味する「ジョイントベンチャー」を、アルファベット2文字で何という ?,文系,JV,DH,EU,PC,JV
ルネサンスの中心地となった、「和花の都」という意味があるイタリアの都市はどこ?,文系,グラナダ,ブリュージュ,フィレンツェ,ベルン,フィレンツェ
アシアナ航空、大韓航空といえは、どこの国の航空会計 ?,文系,韓国,アメリカ,中国,日本,韓国
昔話 !すさるかに合戦』で、カニが、サルにおにぎりを渡す代わりに手に入れたものは何 ?,文系,ブドウの種,枕の種,スイカの種,柿の種,柿の種
これまでの日本の元号の中で、使用された年数が最も長いのは何 ?,文系,在成,大正,昭和,明治,昭和
介川賞や直木賞を手がけている出版往は「文藝Oひ〇つ〇O」。〇〇〇は2 ー,文系,南北,春秋,東西,左右,春秋
規制緩和などによって日本経済の発展を目指す、安倍首相による経済政レル】9のずのep】たく [7,文系,保存戦略,登頂戦略,成長戦略,生存戦略,成長戦略
ワバのjpまっ8還ミレに)ュニョとす<交る員2,文系,さ,あ,か,た,あ
間叶一や鴨沢宮などの人物が登場する尾崎紅葉の小説は何 ?,文系,金色夜叉,銀色夜叉,白色夜叉,黒色夜叉,金色夜叉
「土佐日記』の作者として知られる安時代の歌人は誰 ?,文系,紀員之,大件家持,党原道真,在原業企,紀員之
次のうち、「あえてはっきり言わない方が良いこともある」という意味のことわざはどれ?,文系,言わぬが鳥,言わめぬが風,言わぬが人花,言わぬが月,言わめぬが風
小説 『ハリー・ポボッター』シリーズの第7作目は『ハリー・ポッターと〇つつ〇』。 の〇〇〇びは何 ?,文系,死の秘策,死の秘楽,死の秘境,死の秘宝,死の秘宝
「南さつま市」といえば、何県にあと    -       「,文系,山口県,和歌山県,鹿児島県,青森県,鹿児島県
美濃地方といえば、どこの都道府県にある地方 ?,文系,忠岡県,岐阜県,広島県,北海首,岐阜県
ccゴゴ生きytム39りにた6とこの国の車人 ?,文系,フフランス,イギリス,ロンア,アメリカ,フフランス
親や教師に反旗をひるがえす中学生たちを摺いた、宗田理の小説は何 ?,文系,ほぼくらの七時間戦争,ほぼほくらの七年間戦争,ほくらの七日間戦争,ぼくらの七か月戦争,ほくらの七日間戦争
山形県の県店所在地は何市 ?2,文系,鶴岡市,米沢市,山形市,天草市,山形市
日本で、「千年の都」と呼ばれる都市はどこ ?    ーー,文系,京都,中戸,大阪,東京,京都
全ての国民が活躍する祉会を実現させるという内容の、第3次安倍普三改造内開のスローガンは何 ?,文系,5億総活躍視会,1億総活躍視会,7億総活躍往会,3億総活躍視会,1億総活躍視会
書道の墨をすらずに済む代用品の名EE                           「,文系,青汗,墨汁,お汁粉,レモン汁,墨汁
ジュール・ヴェルヌ、アントワーヌ・ド・サン=テテグジュペリといえばどこの国の作家 ?,文系,オーストラリア,フフンス,ブラジル,カナダ,フフンス
チンギス・ハンやフビライ・ハンが皇再となって治めた帝国はどこ2?,文系,ムガール帝国,インカカ帝国,モンゴル帝国,アステカ帝国,モンゴル帝国
室町幕府の第8代将軍・足利義政によって建てられた、山号を「東山」の:ちりゴたる円肝。,文系,昭閣寺,鉄閣寺,銅閣寺,銀閣寺,銀閣寺
「門松は冥土の旅の一里塚」という言葉をのこした、室町時代の臨済宗の』にと:半4,文系,四休,一休,三休,二休,一休
ことわざ「男は度胸、女は〇〇」。CXうに入る言葉は何 ?,文系,勉強,未教,仕偽,愛巡,愛巡
「青い目の大君」の異名をもつ、元GHQ総司令官であるアメリカの軍人は誰 ?,文系,マックローサー,マッカーサー,マッキーサー,マッサオーサー,マッサオーサー
ゴレ島や原爆ドームなど、悲惨な出来事を後世に伝える世界遺産を一般に何という ?,文系,間の世界遺産,負の世界遺産,死の世界遺産,悪の世界遺産,負の世界遺産
アメリカの国旗に描かれている星の数はいくつ?,文系,10個,50個,5個,100個,50個
2年以上連続して凍結した状態にある土壌のことを何という ?,文系,純粋凍土,一瞬凍土,永久凍土,一般凍土,永久凍土
日本一高い山である富士山は、どことどこの都道府県の境界にある ?,文系,熊本県と大分県,秋田県と岩手県,山梨県と静岡県,徳島県と高知県,山梨県と静岡県
計算に入れないことをいう「ノーカン」の「カン」とは、何という言葉の略 ?,文系,カルスト,カレント,カンスト,カウント,カウント
次のうち、新幹線の愛称として使われているのはどれ?2,文系,けづめ,つばさ,くちばし,とさか,つばさ
昔話『かちかち山』で、悪さをしたため、ウサギにこらしめられる動物は何 ?,文系,ウン,キリン,ゾウ,タヌキ,タヌキ
「くさや」「明日葉」「黄八丈」などの特産品で知られる、伊豆諸島の島は何 ?,文系,四丈島,八丈島,十丈島,一丈島,八丈島
「電車のダイヤが乱れる」という時の「ダイヤ」ほは、何という言葉の略 ?,文系,ダイヤメートル,ダイヤリットル,ダイヤパスカル,ダイヤグラム,ダイヤグラム
古紙を一定の割合以上使った紙製品につけられるマークは何マーク ?,文系,レッド,ブルー,イエロー,グリーン,グリーン
江戸時代の加資落のことを、米の収稚量から「加賀つ〇〇」という。〇(つうは何 ?,文系,百万関,百万城,白万中,白万石,白万石
「ボリショイ劇場」や「赤の広場」があるモスクワといえば、どこの国の』三E:党4,文系,スウェーデン,ノルウェー,フィンランド,ロンシア,ロンシア
高さ世界一のビル、ブルジュ・ハリーファのブルジュの意味は?,文系,仏教,柔道,東京,塔,塔
次のうち「わいろ」を意味する言葉はどれ ?    -,文系,補の下,脇の下,鼻の下,線の下,補の下
自動車の大量生産に成功し、「自動車土」と呼ばれたアメリカの実業家は誰 ?,文系,フォード,フォーク,フォーム,フォール,フォード
次のうち、東京23区にある区はとどれ 2?,文系,北区,南区,四区,東区,北区
特都をソウルに置く国はどこ?,文系,韓国,日本,中国,台湾,韓国
本州四国連絡橋の、岡山県倉敷市と香川県坂出市を結ぶ「児島・坂出ルート」の通称は次のうちどれ?,文系,若岳大橋,青函大橋,関門大橋,瀬戸大橋,若岳大橋
『アラビアンナイト』の『アリババと40人の盗賊』 で岩の扉を開ける合言葉「開け〇〇」 。 の〇〇は何 ?,文系,ゴマ,マメ,イモ,ムギ,ムギ
ポルトガル語で「1月の川」という意味がある、カーニバルで有名なブラジルの都市はどこ ?,文系,サンパウロ,サントス,ブラジリア,リオデジャネイロ,リオデジャネイロ
林野庁と水産庁という外局を持つ省庁はどこ2            「,文系,厚生労働省,文部科学省,農林水産省,国土交通省,農林水産省
お風呂に入る時間が短いことを、「何の行水」という 2?2,文系,スズメ,カラス,メジロ,ツバメ,カラス
ヘンゼルとグレーテルが森で初委い辿り着いたのは2?,文系,お旧子の家,不思議の国,竜宮城,鬼ヶ島,お旧子の家
サイコロで狙っていた目を出せることから転じて、意図していた通りになることを何という ?,文系,思う箱,思う缶,思う需,思う放,思う需
章話「うさぎとかめ」でお昼寝をしたのは誰?            -,文系,かめ,オオカミ,キジ,うさぎ,うさぎ
ハムを中国語で書くとどれ?,文系,卓球,麻姿豆腐,火有9,珈琲,火有9
江戸時代末期、幕府の大老・井伊直敵が吉田松陰らを処罰した事件はどれ?,文系,安政の大獄,大逆事件,節往の獄,芽政異学の禁,安政の大獄
次のうち、「国民の三大義務」に含EZNREYの1ちず2ル時2   」,文系,有動労,納税,介護,教育,介護
"英単語の意味
の意味や使い方を日本語で解説した辞典は何?",文系,仏和辞典,央和辞典,露和辞典,独和辞典,央和辞典
「夫人」や「奥様」といった意味がある、既に結婚した女性に対する菩称は何 ?,文系,ドム,ガンダム,ザク,マダム,マダム
壮園に認められた特権の1]つである不入の権は、誰を荘園内に入らせない権利 ?,文系,ラーメン職人,恋人,友人,役人,役人
ウパのる208是上:にににゴに3りも51来航したのはどこ?,文系,浦賀 (利奈川県),博多 (詞岡県),函館 (北海道),紳戸 (兵庫県),浦賀 (利奈川県)
古書店の店主・茶子をヒロインとする小説 『OO〇つ古書堂の事件手貼』。〇〇〇に入る言葉は何?,文系,ビブリア,ビビピビンバ,ビジネス,ビストロ,ビブリア
次のうち、九州地方の温泉地ではないのはとれ?,文系,黒川温泉,指宿温泉,草津温泉,別府温泉,草津温泉
「大きな鳥」という意味がある、東京国際空港のターミナルビルの名前は何 ?,文系,ビッグドッグ,ビッグラビット,ビッグバード,ビッグキャット,ビッグドッグ
イギリスの絵本に登場する「ピーターラビット」といえば、どんねな動物のヒスアルンルンだ?,文系,ネコ,イヌ,ウサギ,キツネ,ウサギ
「道産子」と呼ばれるのは、どこの都道府県生まれの人のこと ?,文系,京都府,北海道,"圭
表森県",高知県,北海道
アメリカの武力征服に対する抵抗で知られたジェロニモといえば、何とロビコミゴルさゆ】三Eこ守4,文系,クラッチ族,イノッチ族,スイッチ族,アパッチ族,クラッチ族
"ロンフ           ーロ
アの作    こ
作家、ミハイル・ショホフの小説『静かな〇OO〇』。〇〇に入る言葉は何 ?",文系,ジン,ボン,ガン,ドン,ドン
次のうち、シェイクスピアの「四大悲」に人各まれる作品はどれ3?,文系,冬物語,ハムレット,ヴェニスの商人,お気に召すまま,ハムレット
"聖武天皇が奈良の
大仏を作ったのはなぜ?",文系,仏教の力で国を守るため,彼女にあげるため,賭けに負けたから,観光地にするため,仏教の力で国を守るため
服装や化粧に気を配り、着飾ることを何という?,文系,あしゃれ,いしゃれ,おしゃれ,えしゃれ,おしゃれ
次のうち、アメリカの1セント硬貨の俗称はどれ?,文系,ハバハニー,ポニー,ペペ ニ,サニー,ペペ ニ
208年に中国で起こった、曹操軍と孫権・劉備連合軍との間の戦いは回角,文系,白壁の戦い,青壁の戦い,赤壁の戦い,黒壁の戦い,赤壁の戦い
回欠あ本PAMIUIE【の077克信二とう入りの文書のことを、漢字2文字で何という3?,文系,娘書,兄書,親書,丈書,親書
国家の不当な検閥から本を守ろうとする人々の戦いを描いた、有有川浩の小説は何?,文系,映画館戦争,博物館戦争,図書館戦争,美術館戦争,図書館戦争
おじいさん、おばあさん、ねずみが登場する昔話 『〇OO〇OO〇ころりん』。0あ!] faあべもミメムシン|たる円半/,文系,おもち,おむすび,おだんご,おはぎ,おむすび
文永・弘安の役ともいう、13世紀後邊に2度にわたってモンゴルが日本に来襲したことを何という ?,文系,唐惑,"*主ごご
/月葉",元惑,際臣,元惑
戦国武将・成田長親を主人公とした、和田竜の歴史小説のタイトルは回角,文系,のぼうの村,のぼうの森,のぼうの城,のぼうの畑,のぼうの城
経済的に親に頼って生活することを、体の部分を使って「どこをかじる」という2?,文系,ひじ,すね,もも,こし,すね
次のうち、ロシアの作家ドフトエフスキーの小説はどれ?,文系,罪と六,海と視,器と視,己と市,罪と六
ウパひjpょ208還2ミにドウアマン /ロクニを舞台にした物語はどれ?,文系,編のない絵本,みにくいアヒルの子,マッチ売りの少女,裸の土様,マッチ売りの少女
1582年の「本能寺の変」で、明智光秀の裏切りにあい自刀した戦国武将は誰 ?,文系,豊臣秀吉,伊達政宗,徳川家康,織田信長,織田信長
。 ことわざ「〇O〇は動変す」と「〇〇は独りを慎む」の〇〇に共通する言葉は何 ?,文系,双子,電子,女子,君子,君子
劉備、関狗、張飛、諸葛孔明といった人物が登場する、中国の長編小説は何 ?,文系,三国志,二国志,四国志,ー国志,三国志
「カメダ」という言葉を手がかりに事件の謎を解く主人公を描いた、松本清張の推理小説は何?,文系,娠の如,泥の商,石の尊,砂の問,砂の問
東京都渋谷区に本部を置く、国際連合の教育研究機関といえば何 ?,文系,国連中学,国連小学,国連高校,国連大学,国連大学
