Q,Category,K1,K2,K3,K4,A
スポーツ漫画「キャプテン細」で題材となるスポーツは何?  」,スポーツ,プロレス,野球,サッカー,バスケットボール,サッカー
次の球技のうち、使用するコートがうとLST】とちず,スポーツ,卓球,ハンドボール,テニス,野球,卓球
バスケットボールのダンクシュート。シュートの方法で正しいのは次のうちどれ?,スポーツ,遠くから投げる,上から叩きつける,ワンバウンドで入れる,脇からそっと投げる,上から叩きつける
ゴルフでパーより1打少なくホールアウトすることを何という2?,スポーツ,アホウドリ,雀,バーディー,ツーオーバー,バーディー
次のうち、オリンピックの種目にあるものはとどれ?,スポーツ,太極挙,バンジージャンプ,カヌー,スカイダイビング,カヌー
ポール・ラッシュといえば何の競技の父と称される人物 ?,スポーツ,ソフトボール,アメリカンフットボール,バドミントン,バレーボール,アメリカンフットボール
野球で、投手が打ち込まれるなどして別の投手と交代することを何という?,スポーツ,こうばん,びょういん,としょかん,さんこう,こうばん
女子新体操で使われる「輪」の事を英語でなんと言う ?2   」,スポーツ,ホープ,ヒープ,フープ,ハープ,フープ
野球のポジションで「1B」「2B」と表記するときの「B」は何の略 ?,スポーツ,バック,ブレイク,ベースズ,ビッグ,ベースズ
次のうち、野球で、守備側の選手を指す言葉はどれ?  「,スポーツ,素手,野手,座手,逆手,野手
相撲で、相手を土伝際まで追い詰めながら、勢い余って自分の足が土令の外に出ることを何という ?,スポーツ,負び足,後ろ足,揚げ足,男み中,男み中
プロレスで、2人対2人で行われる試合を何マッチという?2,スポーツ,ミスマッナチ,ダービーマッチ,タッグマッチ,チャリティーマッチ,タッグマッチ
野球のニュースの見出しに書かれる「満暴HRj」 の「HR」は何のこと ?,スポーツ,ハードロック,ハイリスク,ホームルーム,ホームラン,ホームラン
カーレースで、  1位でゴールイン した車に対して振られる市松模様の旗を何という ?,スポーツ,オフサイドフラッグ,ナショナルフラッグ,コーナーフラッグ,チェッカーフラッグ,チェッカーフラッグ
サッカーJリーグの試合が行われる、通称「味スタ」と呼ばれる競技場。「味」は何の略 ?,スポーツ,三味線,不気味,味の素,醍醐味,味の素
サッカーの試合を対象にした「スポーツ振興くじ」の愛称は何 ?,スポーツ,ナンバーズ,totO,ロト,WINS,totO
次のうち、MLBでプレーした川崎款則の愛称はどれ ?,スポーツ,カワリン,ノリリン,サキリン,ムネリン,ムネリン
スポーツで、競技や試合を一時中断することやその命令のことを何という?,スポーツ,ライム,ハイム,タイム,スイム,タイム
高校野球の名門校で東邦、中京大中京といえば何県の学校 ?,スポーツ,広島県,愛知県,山梨県,品城県,愛知県
東京五輪招致のプレゼンで、滝川クリステルがジェスチャー付きで言った「決め台詞」は何 ?,スポーツ,お・り・か・え・し,ろ・く・で・な・し,お・も・て・な・し,お・く・り・び・と,お・り・か・え・し
「サーキット」といえば、一般に、どんなスポーツの競技場 ?,スポーツ,野球,サッカー,モータースポーツ,ボートレース,モータースポーツ
スキーのジャンプ競技で主流となっているジャンプ方法は何ジャンプ ?,スポーツ,"A字
ジ
ャンプ","M字
ジ
ャンプ","Y字
ジ
ャンプ",V字ジャンプ,V字ジャンプ
日本語で「拳闘」とも呼ばれる格闘技は何? 。    「,スポーツ,ボクシング,ムエタイ,フェンシング,レスリング,ボクシング
ボウリングで、ボールが当たった後のピンの動きを何という ?,スポーツ,ビピンヒール,ピンフォルム,ピンアクション,ピンクレディー,ピンアクション
元プロレスラーの佐々木健介を夫に持つ、元女子プロレスラーは誰 ?2,スポーツ,ジャガー横田,香取鍋,北斗卓,アジャコング,北斗卓
次のうち、水着を着て行うスポーツはどれ?2    _,スポーツ,水球,トランボリン,ボブスレー,車量学げ,水球
サッカーの基本となる、ボールを就りながら進むプレーを何という ?,スポーツ,トス,ジャブ,ドリブル,リード,ドリブル
次のうち、サッカーチームの名古屋グランパスのマスコットキャラクターはとれ?,スポーツ,グランパスニキ,グランパスおじさん,グランパスくん,グランパス星人,グランパスおじさん
陸上競技の種目で、「ヨンパー」と中ばれるものは何 ?,スポーツ,4x100mリレー,400mハードル,4x400mリレー,110mハードル,400mハードル
次のうち、「デテーブ」の愛称で知られる、元プロ野球選手は誰 ?,スポーツ,金本知責,達川光男,大久保博元,佐藤和弘,大久保博元
次の陸上競技の種目のうち、クラウヲングスタートを行うものはどれ?,スポーツ,1500m,円盤投げ,200m,800m,200m
「おかわり君」の愛称で知られる、西武ライオンズの選手は誰 ?,スポーツ,中村剛也,内川聖一,坂本勇人,中田翔,中村剛也
バスケットボール用語「レイアップ」は英語で「置く」という意味ですが、何を置く?,スポーツ,ひと呼吸,シューズ,ボール,ファンとの距離,ボール
プロ野球で、球団と契約しているものの、1軍の公式戦には出られない選手を指す言葉は次のうちどれ ?,スポーツ,合成選手,育成選手,成選手,完成選手,合成選手
バスケットボールで、スローインはボールを渡されて何秒以内に行わなければならない?,スポーツ,120秒,45秒,600秒,5秒,5秒
ラグビーでフォワードのリーダーとなる背番号8のポジションはどこ?,スポーツ,ナンバーエイト,ナンバーセブン,ナンバーナイン,ナンバーシックス,ナンバーエイト
ボウリングのストライク。倒したピンは全部で何本 ?,スポーツ,5本,1本,10本,0本,10本
テニスで、ガットをラケットに張る強さのことを何という?,スポーツ,テンション,フィーリング,アトモスフィア,ムード,テンション
Jリーグのサッカークラブ、サガンがホームタウンとする佐賀県の市はとどこ?,スポーツ,伊万里市,武雄市,唐津市,鳥栖市,鳥栖市
ボウリングの球に空けられる「サムホール」といえば、何指を入れる只 ?,スポーツ,親指,薬指,中指,人差し指,親指
プロボクシングの試合では、セコンドは何人まで認められている ?,スポーツ,30人,認められていない,3人,300人,3人
次のうち、甲子園の高校野球全国大会が開催される季節はどれ ?,スポーツ,春と秋,夏と秋,秋と冬,春と明,春と明
野球で、「ウイニングショット」を投げることができるポジションは、次のうちとどこ?,スポーツ,キャッツナチャー,ピッチャー,ファースト,センター,ピッチャー
「球団」といえば普通、どんなスポーツのチームのこと2,スポーツ,サッカー,目球,ラグビー,野球,野球
ゴルフで、グリーン上のボールをホールに向けて打つことを何という ?,スポーツ,ミット,パット,ヒット,カット,パット
スポーツ選手が着る「スタジャン」の「スタ」は何という言葉の略 ?,スポーツ,スタイル,スタジアム,スターリン,スタミナ,スタジアム
"レミプア     の
ーー ノ ーー
プレミアリーグのクラブ「〇〇〇・ユナイテッド」「〇〇〇・シティ.」に共に入る語は何 ?",スポーツ,ブリティッシュ,マンチェスター,グラスゴー,スコットランド,マンチェスター
次のうち、中国では「足球」と呼ばれるスポーツはどれ2,スポーツ,マフソン,フェンシング,サッカー,レスリング,サッカー
「ダイナマイト」とも呼ばれる、ゴルフで、バンカーから脱出する際などに用いられるクラブは何 ?,スポーツ,イチドウェッジ,ヨンドウェッジ,サンドウェッジ,ニドウェッジ,サンドウェッジ
次のうち、基本的に屋外で行われるの】とちず2ル4 且2      _,スポーツ,スカッシュ,説歩,ビリヤード,フィギュアスケート,説歩
スポーツの ドーピング検査で、違反にあたるのは次のうちどれ?,スポーツ,陽性,個性,展性,粘性,陽性
野球で、野手の間をきれいに抜けたヒットを特に何という ?,スポーツ,クリーンヒット,マリーンヒット,グリーンヒット,スクリーンヒット,クリーンヒット
野球で、「指名打者」のことをアルファベット2文字で何という ?,スポーツ,DH,GM,HR,SD,DH
優秀な学生やアマチュア選手を見つけ、自チームへの入団を誘う役目の人を何という ?,スポーツ,コミッショナー,スカウト,ジャッジ,チェアマン,スカウト
ゴルフの「スライス」「フック」とは、次のうち何に関する用語 ?,スポーツ,周囲の風向き,クラブの種類,コースの難易度,打球の曲がり方,打球の曲がり方
「パック」という円艦を、スティックで打ち合う、氷上のスポーツは回角,スポーツ,カーリング,スケルトン,リュージュ,アイスホッケー,アイスホッケー
サッカーで、相手チームより点数が上回っている状態を英語で何という?,スポーツ,イーブン,アンダー,リード,プッシュ,リード
元ラグビー選手、五郎丸歩の出身大学はどこ2?,スポーツ,京都大学,大阪大学,早稲田大学,東京大学,早稲田大学
次のうち、剣道の構えの種類にあるEYの1ちず2ル4 2,スポーツ,ひにく,どくぜつ,じょうだん,だじゃれ,じょうだん
スポーツ大会の開会式での選手家著でよく使われる言葉は「何シップ」 2,スポーツ,スポーツマンシップ,フレンドシップ,スキンシップ,ゴシップ,スポーツマンシップ
スキーのジャンプの団体戦。1チームの選手は何人 ?,スポーツ,2人,4人,6人,8人,4人
ゴルフコースに設けられる次の場所のうち、ふつう砂が敷かれているのはとれ?,スポーツ,グリーン,ティーグラウンド,バンカー,フェアワウェイ,バンカー
大相撲の相撲部屋はどれくらいある ?,スポーツ,約50勝,約300勝,約200騰,約120騰,約50勝
「競泳」といえば、そこで競われるのゆ】たも円半?,スポーツ,速さ,息継ぎの少なさ,フォームの美しさ,水着のかっこよさ,速さ
空手などで、攻撃する部位に挙や蹴りが当たらないように、ギリギリで止めることを何という?,スポーツ,口止め,寸止め,足止め,滑止め,寸止め
次の都市のうち、大相撲の本場所がわれるのはどこ2?,スポーツ,食敷,名古屋,,館,名古屋
読売巨人軍の監督を務めた川上哲治が、チームを日本一に導いたのは何年連続 ?,スポーツ,9年,39年,29年,19年,9年
「フットボール」の「フット」とは足のことですが、「ハンドボール」の「ハンド」とは何のこと ?,スポーツ,腹,胸,手,頭,手
スポーツの試合で、計時係を務める「時間記録員」のことを何という 2?,スポーツ,タイムフォワード,タイムボランチ,タイムディフェンス,タイムキーパー,タイムキーパー
一般的な野球のルールで、攻守が交替となるのに必要なアウトの数はいくつ?,スポーツ,7,3,S,10,3
スケートで、音楽に合わせて演技し、その技術や美しさを競う競技は回角,スポーツ,フィギュアスケート,アイスホッケー,ショートトラック,スピードスケート,フィギュアスケート
体の筋肉や関節を伸ばす和柔軟体操を、「伸ばす」という意味の英語で何という3?,スポーツ,ストレッチ,ストレート,ストイック,ストレンジ,ストレッチ
"野球用語
野球用語の「ア
アウトハイ」を、日
、日本語では何という 2?   -",スポーツ,外角低め,内角高め,内角低め,外角高め,外角高め
次のうち、サッカーのフォワードがよく例えられるのはどれ2?,スポーツ,逐居小屋,ちんどん居,人1問屋,点取り屋,点取り屋
1947年に始まった「甲子園ボウル」といえば、どんなスポーツの大会 ?,スポーツ,ヨット,柔道,アメフト,ドッジボール,アメフト
プロ野球選手で、ロッテの投手・歩と、ヤクルトの投手・雅規に共通する名字は何 ?,スポーツ,石川,忠井,富山,,石川
次のうち、普通、ドリブルを手で行うスポーツはどれ2?    「,スポーツ,アイスホッケー,バスケットボール,サッカー,グラウンドホッケー,バスケットボール
野球などで、チームの攻撃の中心となる強打者のことを兵器に例えて何という2,スポーツ,水鉄砲,速射砲,豆鉄砲,主砲,主砲
バスケットボールの試合が行われる長方形のエリアを何という ?,スポーツ,フィールド,リング,コート,ピット,コート
陸上やカーレースで、ある選手が先頭から1周以上遅れている状態を何という2,スポーツ,"集合遅
れ",周年遅れ,周回遅れ,週間遅れ,周回遅れ
次のうち、アルペンスキーの種目にあるものはどれ 2?,スポーツ,滑走,飛込,回転,跳躍,回転
両手を組む独特のルーティーンでもおなじみの、元ラグビー選手は誰 ?,スポーツ,三郎丸歩,一郎丸歩,七郎丸歩,五郎丸歩,五郎丸歩
卓球の試合で使われるボールの重さは、次のうちどれくらい ?,スポーツ,2.7kg,2.7{,2.7q,2.7mq,2.7q
に導0間還三Pyiのが北:少ヒビゴムル】トEE31掛け、払い上げて投げる技を何という?,スポーツ,がに股,うち股,ねこ股,さす股,うち股
サッカーのフィールドに「センターサークル」はいくつある 2?,スポーツ,4つ,2つ,1つ,3つ,1つ
プロレスで悪玉レスラーのことを、「ベビーフェイス」に対して何という?,スポーツ,ヒール,アンクル,ソール,レッグ,ヒール
次の野球のポジションのうち、内野手に含まれないのはどれ?  「,スポーツ,センター,ファースト,セカンド,サード,センター
海などで、長い距離を泳ぐことを何という ?        「      「,スポーツ,速泳,背泳,群泳,近泳,速泳
Jリーグで、編岡県にホームタウンがあるクラブは全部でいくつ?,スポーツ,4,0,6,2,2
陸上男子100mの世界記録保持者、ウサイン・ボルトの出身国はどこ ?,スポーツ,カナダ,アメリカ,ジャマイカ,ケニア,ジャマイカ
ボクシングの「TKO」のTは何の略 ?,スポーツ,タイミング,トータル,テクニカル,スルー,テクニカル
ボクシング用語で、「ジョー」や「チン」といえば、体のどの部分のこと?,スポーツ,こめかみ,且,下腹部,あご,こめかみ
大相撲で、「大銀杏」といえば、次のうち何のこと2,スポーツ,まわし,腹の肉,尻の肉,ちょんまげ,ちょんまげ
陸上の国際ルールによると、100m走でのフライングは、1人あたり何回で失格となる ?,スポーツ,5回,1回,3回,何回してもよい,1回
ビリヤードが楽しめるバーのことを「何バー」という?,スポーツ,フィールドバー,ジムバー,ボールバー,プールバー,プールバー
マーくんこと田中将大投手の妻であるタレントは誰?,スポーツ,仲根かすみ,スザンヌ,中井美穂,里田まい,里田まい
相撲で、太って腹の突き出た体型の車量級力士のことを何という ?,スポーツ,だんご型,あんこ型,おもち型,こんばち型,あんこ型
新体操の選手が試合中に着る、体にフィットした衣服を何という ?,スポーツ,アオザイ,レオタード,ネグリジェ,ウェットスーツ,レオタード
"ポケット、キュー、ナインボールといえば、どんな競技で使われる用ほ』
品= ?",スポーツ,フィギュアスケート,アーチェリー,バレーボール,ビリヤード,ビリヤード
野球で「マスクをかぶる」と言えばどのポジションで試合に出場すること?,スポーツ,外野手,投手,内野手,捕手,捕手
野球などで、「選手后任監督」のことを何マネージャーという2,スポーツ,ブーイングマネージャー,ラッピングマネージャー,プレイングマネージャー,フライングマネージャー,プレイングマネージャー
サッカーの「オウンゴール」、以前は何と呼ばれていた ?      」,スポーツ,自殺点,自衛点,自供点,目爆点,自殺点
野球で「アーチをかける」などという時、この「アーチ」が意味するものは何 ?,スポーツ,本塁打,ポップフライ,ダブルプレー,三振,本塁打
三重県にある、F1日本グランプリが開催されるサーキット場は何?,スポーツ,四日市サーキット,釣鹿サーキット,亀山サーキット,津サーキット,釣鹿サーキット
板の上に立ってバランスを取り、波に乗るスポーツは何 ?,スポーツ,カヌー,サーフィン,ダイビング,ヨット,サーフィン
次のサッカー代表チームのうち、地理的にはイギリスに属するものはとれ?,スポーツ,ラップランド代表,フィンランド代表,ニュージーランド代表,スコットランド代表,ラップランド代表
テニスボールの色は、普通、何色 ?,スポーツ,赤色,緑色,黄色,青色,黄色
ボウリングで、1投目で1番ピンを倒せないことを何という ?,スポーツ,ノープロブレム,ノーコメント,ノーリターン,ノーヘッド,ノーヘッド
次のうち「大外刈り」、「大内刈り」という技がある競技はどれ ?2,スポーツ,ボクシング,体操,ハンドボール,柔道,柔道
柔道で、黒帯を締めるのは何段から ?,スポーツ,初段,三段,四段,二段,初段
次のうち、「プレイボール」で試合が始まるスポーツはどれ?,スポーツ,駅伝,フィギュアスケート,ソフトボール,フェンシング,駅伝
月曜に登板した野球の投手。中4日だと、次に投げるのは何曜日 ?,スポーツ,日曜日,土曜日,火曜日,水曜日,土曜日
バドミントンで使う羽根のついた玉は何 ?          ー,スポーツ,シャトルコック,フライ,スペースシャトル,弥子,シャトルコック
スキーで用いられる杖を指すドイツ語は何 ?,スポーツ,ピッケル,ポール,ピン,ストック,ストック
ニューヨーク・ブロンコス区にあるMLBニューヨーク・ヤンキースの本拠地球場はどこ ?,スポーツ,トロピカーナフィールド,ヤンキースタジアム,ロジャースセンター,フェンウェイパーク,ヤンキースタジアム
アマチュアレスリングで、選手が着用するユニフォームを何という 2,スポーツ,トリプレット,シングレット,ダブレット,クアドラプレット,シングレット
日本プロ野球で、セ・パ両リーグで勝ち上がった2チームが日本一を決めるシリーズは何 ?,スポーツ,真・ワールドシリーズ,日本シリーズ,アジアシリーズ,ワールドシリーズ,日本シリーズ
女子の体操競技で、唯一音楽に合わせて演技するのは何 ?,スポーツ,在均台,段違い在行棒,床,呪馬,床
次のうち、サッカーの得点方法としKa内Yの】たす2光員?,スポーツ,ピンを倒す,土偽から押し出す,ゴールにボールを入れる,本塁を踏む,ゴールにボールを入れる
一般に、野球で外野のフェンスを越えたフェアフライのことを何という?,スポーツ,ダブルプレー,デッドボール,ホームラン,バント,ホームラン
ボウリング場にある貸出専用のボールのことを何という3?,スポーツ,ハウスポボール,永谷園ボール,はごろもフーズボール,エスビーボール,ハウスポボール
テニスの得点で「ラブ」といえば、得点が何点のこと?,スポーツ,20点,40点,-] 点,0点,0点
かつてのバドミントンのコンビ「オグンシオ」のメンバーは、潮田玲子と上:壮4,スポーツ,池田信太郎,前田美順,未網聡子,小棟久美子,小棟久美子
日本プロサッカーリーグのことを、アルファベットを使って何という?,スポーツ,Nリーグ,Jリーグ,Pリーグ,Sリーグ,Jリーグ
飛び込み競技において、入水の際に上がる水しぶきのことを何という ?,スポーツ,ソリオ,スペーンジア,スプラッシュ,ワゴンR,スプラッシュ
サッカーやフットサルの反則「ハンド」を略さずにいうと何?,スポーツ,ハンドメイド,ハンドリング,ハンドタオル,ハンドスタンド,ハンドリング
ザ・グレート・サスケが中心となって設立された、東北地方を中心に活動するプロレス団体は何 ?,スポーツ,みちのくプロレス,かみのくプロレス,こしのくプロレス,しものくプロレス,みちのくプロレス
トーナメントの決勝戦を、英語では何という?,スポーツ,フルコースズス,フィニッシュ,ファイナル,フィナーレ,ファイナル
空を飛ぶスポーツの「ハン〇OO〇OO「パラ〇の〇〇」、共通して入る言葉は何 ?,スポーツ,ダイビング,クルーズ,ボード,グライダー,グライダー
次のうち、バスケットボールのポジンションにあるのはとどれ?,スポーツ,スモールピッチャー,スモールキーパー,スモールバックス,スモールフォワード,スモールフォワード
ゴルフで「ギャラリー」が指すものは、次のうちどれ2?,スポーツ,員金総額,服装,観客,コースの難易度,観客
章顔のため「赤ん坊」という意味の愛称がつけられた、往年のメジャーリーガーは誰 ?,スポーツ,タイ・カップブ,ベーブ・ルース,ハンク・アーロン,ピート・ローズ,ベーブ・ルース
スポーツのリーグ戦で、優勝や順位が確定した後に行われる試合のことを何という ?,スポーツ,泌尿試合,消化試合,循環試合,呼吸試合,消化試合
オリンピックの旗に描かれた5つの輸は世界の何を意味している ?,スポーツ,海,大陸,山,"ワロ
こコ",大陸
「箱根駅伝」の正式名は「東京稲根間往復OO〇O」。〇〇〇は何 ?,スポーツ,吐会人駅伝競走,高校駅伝競走,大学駅伝競走,中学駅伝競走,大学駅伝競走
サッカーブラジル代表のことを、ユニフォームの色がある島に似ていることから何と呼ぶ?,スポーツ,カラス軍団,スズメ軍団,カナリア還団,ハヤブサザ軍団,カナリア還団
プロ野球の東京ヤクルトスワローズのにルレをにヒッッルルだ当とす2の作パ動物 ?,スポーツ,トラ,ウサギ,ツバメ,コイ,ツバメ
IPにゴクドミーした、エチオピア出身の陸上選手は上:壮4,スポーツ,モリリ・ビギラ,ハララ・ビギラ,キシシ・ビギラ,アベべベベべ・ビギラ,アベべベベべ・ビギラ
次のうち、プロ野球で外国人選手を言い表すときに使われる表現はどれ?,スポーツ,ちけっと,ばけっと,すけっと,ほけっと,すけっと
野球で、俗に「女房役」と呼ばれるポジションは何 ?,スポーツ,セカンド,ショート,ピッチャー,キャッチャー,キャッチャー
ボクシングの試合で聞かれる「KO」とは何という言葉の略 ?,スポーツ,キックアウト,ノックオフ,キックオフ,ノックアウト,ノックアウト
膝を深く曲げてしゃがんだ姿勢からジャンプする、トレーニング方法は回角,スポーツ,かえる跳び,うさぎ跳び,かんがる一跳び,さる跳び,かえる跳び
一般にサッカーではゴールキーパーを、野球では抑え投手を意味する言葉は何 ?,スポーツ,破壊紳,守護紳,貧乏東,現人得,守護紳
テニスで、サーブを返して相手がそれに触れることなく得点になったものを何という2?,スポーツ,リターンエース,リターンクラブ,リターンダイヤ,リターンスペード,リターンエース
プロレスなどで、悪役に対抗する番玉役を、「ヒール」に対して何という?,スポーツ,レザーフェイス,ベビーフェイス,ポーカーフェイス,トウゥウーフェイス,ベビーフェイス
野球で、打撃のことをバッティングといいますが、投球のことを何という?,スポーツ,ストレッチング,マッチング,ウォッチング,ピッチング,ウォッチング
"サッカーで「キックオフ」といえば、どのようなことを意味する用ほ』
品= ?",スポーツ,試合終了,"試合
開始",無効試合,没収試合,"試合
開始"
ボクシング選手などが、脚力や持久力を鍛えるために行う路上トレーニングを何という ?,スポーツ,ホームワーク,ロードワーク,アートワーク,ハローワーク,ロードワーク
NBAで、最多優勝回数、最多勝率を持つロサンゼルスのチームは何 ?,スポーツ,レイカーズ,ヒート,ジャズ,ホークス,レイカーズ
男子ゴルフで全米、全英オープン、全米プロ、マスターズをすべて制することを何という ?,スポーツ,グランドスラム,グランドキャニオン,グランドクロス,グランドピアノ,グランドスラム
大相撲で俗に「初日が出た」といえば、次のうちどんなことを指す ?,スポーツ,その場所初勝利,結婚をする,四股名が変わる,弟弟子ができる,その場所初勝利
フットボールの一種であるサッカーとラグビーは、ともにどこの国発詳のスポーツ ?,スポーツ,フフランス,スペイン,ドイツ,イギリス,イギリス
次のうち、アメリカンフットボールのポジションにあるのはどれ?,スポーツ,ピッチャー,キャツナャー,センター,ファースト,センター
プロ野球・広島の正式名称「広島に)〇つカープ」。〇〇は何?,スポーツ,東洋,東海,東北,東京,東洋
次のうち、元マラソン選手の高橋沿子の愛称はどれ ?,スポーツ,Rちゃん,Nちゃん,Qちゃん,Tちゃん,Qちゃん
「鯉」という意味の愛称を持つ、プロロ野球のチームはどこ2,スポーツ,中日,広島,巨人,阪旨,広島
野球で、打球を捕った外野手から内野手一捕手などとボールが渡るプレイを、普通、何という ?,スポーツ,中継プレー,接続プレー,補完プレー,再現プレー,中継プレー
一般的なゴルフで、1ラウンドは何ホールからなる 2?      「,スポーツ,18ホール,17ホール,1 5ホール,16ホール,18ホール
次のうち、「ラフティング」が行われる場所はどこ ?    」,スポーツ,砂漠,崖,川,,川
かつての福名を「『米山製作所」といったスポーツ用品メーカーは何 ?,スポーツ,マネックス,ゼロックス,ヨネックス,オリックス,ヨネックス
